,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
8715240,391,2016-01-01,1,40,64,0,10110,0.0
8715241,391,2016-01-01,2,40,69,0,10110,0.0
8715242,391,2016-01-01,3,30,67,0,10110,0.0
8715243,391,2016-01-01,4,20,61,0,10110,0.0
8715244,391,2016-01-01,5,20,46,0,10110,0.0
8715245,391,2016-01-01,6,20,39,0,10110,0.0
8715246,391,2016-01-01,7,20,31,0,10110,0.0
8715247,391,2016-01-01,8,10,34,1,10110,0.0
8715248,391,2016-01-01,9,10,43,21,10110,0.0
8715249,391,2016-01-01,10,10,53,36,10110,0.0
8715250,391,2016-01-01,11,20,60,41,10110,0.0
8715251,391,2016-01-01,12,20,66,50,10110,562.4706566285762
8715252,391,2016-01-01,13,10,72,67,10110,534.5100097702287
8715253,391,2016-01-01,14,20,69,39,10110,55.96804532696478
8715254,391,2016-01-01,15,20,61,16,10110,-26.25053221715251
8715255,391,2016-01-01,16,20,59,2,10110,-112.6988661751523
8715256,391,2016-01-01,17,30,58,0,10110,0.0
8715257,391,2016-01-01,18,30,57,0,10110,0.0
8715258,391,2016-01-01,19,40,54,0,10110,0.0
8715259,391,2016-01-01,20,40,59,0,10110,0.0
8715260,391,2016-01-01,21,30,59,0,10110,0.0
8715261,391,2016-01-01,22,40,67,0,10110,0.0
8715262,391,2016-01-01,23,50,62,0,10110,0.0
8715263,391,2016-01-01,24,50,61,0,10110,0.0
8715264,391,2016-01-02,1,60,61,0,10110,0.0
8715265,391,2016-01-02,2,60,58,0,10110,0.0
8715266,391,2016-01-02,3,50,55,0,10110,0.0
8715267,391,2016-01-02,4,50,55,0,10110,0.0
8715268,391,2016-01-02,5,60,53,0,10110,0.0
8715269,391,2016-01-02,6,60,52,0,10110,0.0
8715270,391,2016-01-02,7,50,53,0,10110,0.0
8715271,391,2016-01-02,8,50,44,0,10110,0.0
8715272,391,2016-01-02,9,50,44,3,10110,0.0
8715273,391,2016-01-02,10,60,45,11,10110,0.0
8715274,391,2016-01-02,11,50,48,16,10110,0.0
8715275,391,2016-01-02,12,50,49,11,10110,-44.9524690390633
8715276,391,2016-01-02,13,50,47,9,10110,-52.89837871597629
8715277,391,2016-01-02,14,50,50,22,10110,-10.61764383719213
8715278,391,2016-01-02,15,40,52,30,10110,17.71787084420943
8715279,391,2016-01-02,16,40,45,5,10110,-84.27286666421224
8715280,391,2016-01-02,17,40,49,0,10110,0.0
8715281,391,2016-01-02,18,50,52,0,10110,0.0
8715282,391,2016-01-02,19,60,54,0,10110,0.0
8715283,391,2016-01-02,20,60,54,0,10110,0.0
8715284,391,2016-01-02,21,50,55,0,10110,0.0
8715285,391,2016-01-02,22,60,55,0,10110,0.0
8715286,391,2016-01-02,23,60,56,0,10110,0.0
8715287,391,2016-01-02,24,40,58,0,10110,0.0
8715288,391,2016-01-03,1,40,56,0,10110,0.0
8715289,391,2016-01-03,2,50,58,0,10110,0.0
8715290,391,2016-01-03,3,40,56,0,10110,0.0
8715291,391,2016-01-03,4,40,57,0,10110,0.0
8715292,391,2016-01-03,5,40,60,0,10110,0.0
8715293,391,2016-01-03,6,40,61,0,10110,0.0
8715294,391,2016-01-03,7,30,68,0,10110,0.0
8715295,391,2016-01-03,8,40,69,1,10110,0.0
8715296,391,2016-01-03,9,40,70,10,10110,0.0
8715297,391,2016-01-03,10,40,74,24,10110,0.0
8715298,391,2016-01-03,11,50,81,49,10110,0.0
8715299,391,2016-01-03,12,50,82,74,10110,698.2584585548904
8715300,391,2016-01-03,13,50,80,58,10110,344.6307216631277
8715301,391,2016-01-03,14,50,77,33,10110,23.02968866148064
8715302,391,2016-01-03,15,40,75,9,10110,-51.41804555503789
8715303,391,2016-01-03,16,40,70,2,10110,-111.1638207641269
8715304,391,2016-01-03,17,40,65,0,10110,0.0
8715305,391,2016-01-03,18,50,66,0,10110,0.0
8715306,391,2016-01-03,19,50,66,0,10110,0.0
8715307,391,2016-01-03,20,60,60,0,10110,0.0
8715308,391,2016-01-03,21,60,57,0,10110,0.0
8715309,391,2016-01-03,22,60,54,0,10110,0.0
8715310,391,2016-01-03,23,60,53,0,10110,0.0
8715311,391,2016-01-03,24,60,53,0,10110,0.0
8715312,391,2016-01-04,1,50,50,0,10110,0.0
8715313,391,2016-01-04,2,50,46,0,10110,0.0
8715314,391,2016-01-04,3,50,42,0,10110,0.0
8715315,391,2016-01-04,4,40,39,0,10110,0.0
8715316,391,2016-01-04,5,30,39,0,10110,0.0
8715317,391,2016-01-04,6,30,41,0,10110,0.0
8715318,391,2016-01-04,7,20,42,0,10110,0.0
8715319,391,2016-01-04,8,30,46,0,10110,0.0
8715320,391,2016-01-04,9,20,51,5,10110,0.0
8715321,391,2016-01-04,10,10,58,11,10110,0.0
8715322,391,2016-01-04,11,10,68,20,10110,0.0
8715323,391,2016-01-04,12,20,75,19,10110,-0.5548131617550258
8715324,391,2016-01-04,13,20,76,16,10110,-26.28227705779771
8715325,391,2016-01-04,14,20,71,13,10110,-34.71588542006312
8715326,391,2016-01-04,15,20,71,7,10110,-60.84921002686033
8715327,391,2016-01-04,16,20,69,2,10110,-110.3339639366817
8715328,391,2016-01-04,17,20,68,0,10110,0.0
8715329,391,2016-01-04,18,20,68,0,10110,0.0
8715330,391,2016-01-04,19,20,67,0,10110,0.0
8715331,391,2016-01-04,20,20,63,0,10110,0.0
8715332,391,2016-01-04,21,20,60,0,10110,0.0
8715333,391,2016-01-04,22,20,57,0,10110,0.0
8715334,391,2016-01-04,23,20,56,0,10110,0.0
8715335,391,2016-01-04,24,30,60,0,10110,0.0
8715336,391,2016-01-05,1,20,62,0,10110,0.0
8715337,391,2016-01-05,2,30,65,0,10110,0.0
8715338,391,2016-01-05,3,30,65,0,10110,0.0
8715339,391,2016-01-05,4,30,65,0,10110,0.0
8715340,391,2016-01-05,5,30,64,0,10110,0.0
8715341,391,2016-01-05,6,30,63,0,10110,0.0
8715342,391,2016-01-05,7,30,59,0,10110,0.0
8715343,391,2016-01-05,8,30,64,1,10110,0.0
8715344,391,2016-01-05,9,30,66,6,10110,0.0
8715345,391,2016-01-05,10,30,71,15,10110,0.0
8715346,391,2016-01-05,11,30,76,24,10110,0.0
8715347,391,2016-01-05,12,30,78,22,10110,19.73051788413017
8715348,391,2016-01-05,13,20,81,28,10110,12.54987953399117
8715349,391,2016-01-05,14,20,82,15,10110,-28.52339611993587
8715350,391,2016-01-05,15,20,79,6,10110,-65.87181057304966
8715351,391,2016-01-05,16,20,78,1,10110,-119.8389138203555
8715352,391,2016-01-05,17,20,77,0,10110,0.0
8715353,391,2016-01-05,18,20,76,0,10110,0.0
8715354,391,2016-01-05,19,20,72,0,10110,0.0
8715355,391,2016-01-05,20,20,69,0,10110,0.0
8715356,391,2016-01-05,21,20,65,0,10110,0.0
8715357,391,2016-01-05,22,20,65,0,10110,0.0
