,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
7378440,348,2009-01-01,1,10,-19,0,10285,0.0
7378441,348,2009-01-01,2,10,-18,0,10289,0.0
7378442,348,2009-01-01,3,10,-18,0,10287,0.0
7378443,348,2009-01-01,4,20,-17,0,10291,0.0
7378444,348,2009-01-01,5,10,-16,0,10295,0.0
7378445,348,2009-01-01,6,10,-15,0,10297,0.0
7378446,348,2009-01-01,7,10,-15,0,10300,0.0
7378447,348,2009-01-01,8,10,-14,0,10302,0.0
7378448,348,2009-01-01,9,20,-11,1,10305,0.0
7378449,348,2009-01-01,10,20,-8,4,10307,0.0
7378450,348,2009-01-01,11,30,-7,5,10308,0.0
7378451,348,2009-01-01,12,30,-4,8,10305,0.0
7378452,348,2009-01-01,13,30,-4,11,10301,-46.09357864756561
7378453,348,2009-01-01,14,30,-2,13,10299,-36.67637900441994
7378454,348,2009-01-01,15,20,-2,8,10300,-58.6685503178222
7378455,348,2009-01-01,16,20,-5,0,10299,0.0
7378456,348,2009-01-01,17,20,-6,0,10296,0.0
7378457,348,2009-01-01,18,20,-6,0,10298,0.0
7378458,348,2009-01-01,19,20,-7,0,10296,0.0
7378459,348,2009-01-01,20,30,-6,0,10295,0.0
7378460,348,2009-01-01,21,30,-5,0,10292,0.0
7378461,348,2009-01-01,22,20,-5,0,10288,0.0
7378462,348,2009-01-01,23,20,-7,0,10288,0.0
7378463,348,2009-01-01,24,20,-6,0,10281,0.0
7378464,348,2009-01-02,1,30,-6,0,10277,0.0
7378465,348,2009-01-02,2,20,-3,0,10276,0.0
7378466,348,2009-01-02,3,20,0,0,10273,0.0
7378467,348,2009-01-02,4,10,1,0,10270,0.0
7378468,348,2009-01-02,5,10,5,0,10269,0.0
7378469,348,2009-01-02,6,10,8,0,10270,0.0
7378470,348,2009-01-02,7,10,8,0,10272,0.0
7378471,348,2009-01-02,8,20,6,0,10275,0.0
7378472,348,2009-01-02,9,20,9,4,10280,0.0
7378473,348,2009-01-02,10,20,18,19,10286,0.0
7378474,348,2009-01-02,11,30,27,53,10286,0.0
7378475,348,2009-01-02,12,40,11,32,10294,0.0
7378476,348,2009-01-02,13,50,11,24,10295,1.620043008483918
7378477,348,2009-01-02,14,50,11,15,10298,-30.11533330539002
7378478,348,2009-01-02,15,50,7,15,10303,-30.4026354169743
7378479,348,2009-01-02,16,30,-6,3,10307,-104.4446759465546
7378480,348,2009-01-02,17,20,-19,0,10311,0.0
7378481,348,2009-01-02,18,20,-21,0,10316,0.0
7378482,348,2009-01-02,19,20,-29,0,10321,0.0
7378483,348,2009-01-02,20,20,-29,0,10322,0.0
7378484,348,2009-01-02,21,20,-32,0,10324,0.0
7378485,348,2009-01-02,22,20,-33,0,10322,0.0
7378486,348,2009-01-02,23,20,-45,0,10320,0.0
7378487,348,2009-01-02,24,20,-55,0,10317,0.0
7378488,348,2009-01-03,1,10,-68,0,10314,0.0
7378489,348,2009-01-03,2,10,-75,0,10314,0.0
7378490,348,2009-01-03,3,10,-81,0,10312,0.0
7378491,348,2009-01-03,4,10,-87,0,10309,0.0
7378492,348,2009-01-03,5,10,-92,0,10303,0.0
7378493,348,2009-01-03,6,0,-91,0,10301,0.0
7378494,348,2009-01-03,7,10,-85,0,10300,0.0
7378495,348,2009-01-03,8,10,-77,0,10299,0.0
7378496,348,2009-01-03,9,10,-63,7,10299,0.0
7378497,348,2009-01-03,10,10,-45,15,10295,0.0
7378498,348,2009-01-03,11,20,-32,17,10291,0.0
7378499,348,2009-01-03,12,20,-23,17,10284,0.0
7378500,348,2009-01-03,13,20,-15,14,10277,-33.86080905802679
7378501,348,2009-01-03,14,20,-12,8,10273,-56.61566153436097
7378502,348,2009-01-03,15,20,-9,4,10268,-81.32708568027215
7378503,348,2009-01-03,16,30,-6,1,10265,-124.3416016898041
7378504,348,2009-01-03,17,30,-6,0,10260,0.0
7378505,348,2009-01-03,18,30,-1,0,10257,0.0
7378506,348,2009-01-03,19,30,-9,0,10253,0.0
7378507,348,2009-01-03,20,30,-2,0,10252,0.0
7378508,348,2009-01-03,21,30,0,0,10250,0.0
7378509,348,2009-01-03,22,30,3,0,10246,0.0
7378510,348,2009-01-03,23,30,4,0,10243,0.0
7378511,348,2009-01-03,24,30,4,0,10237,0.0
7378512,348,2009-01-04,1,30,5,0,10233,0.0
7378513,348,2009-01-04,2,30,14,0,10230,0.0
7378514,348,2009-01-04,3,30,14,0,10228,0.0
7378515,348,2009-01-04,4,50,17,0,10223,0.0
7378516,348,2009-01-04,5,50,12,0,10217,0.0
7378517,348,2009-01-04,6,60,14,0,10213,0.0
7378518,348,2009-01-04,7,50,13,0,10210,0.0
7378519,348,2009-01-04,8,50,16,0,10207,0.0
7378520,348,2009-01-04,9,40,13,2,10207,0.0
7378521,348,2009-01-04,10,50,18,10,10203,0.0
7378522,348,2009-01-04,11,50,27,21,10195,0.0
7378523,348,2009-01-04,12,50,31,28,10189,0.0
7378524,348,2009-01-04,13,60,32,27,10183,14.09474630844975
7378525,348,2009-01-04,14,60,32,20,10180,-15.69230849318945
7378526,348,2009-01-04,15,50,29,12,10175,-39.86759528525371
7378527,348,2009-01-04,16,50,28,1,10174,-122.326341736055
7378528,348,2009-01-04,17,50,25,0,10170,0.0
7378529,348,2009-01-04,18,40,22,0,10167,0.0
7378530,348,2009-01-04,19,40,20,0,10165,0.0
7378531,348,2009-01-04,20,40,20,0,10162,0.0
7378532,348,2009-01-04,21,50,19,0,10157,0.0
7378533,348,2009-01-04,22,50,16,0,10153,0.0
7378534,348,2009-01-04,23,50,16,0,10147,0.0
7378535,348,2009-01-04,24,50,15,0,10141,0.0
7378536,348,2009-01-05,1,40,14,0,10137,0.0
7378537,348,2009-01-05,2,30,6,0,10137,0.0
7378538,348,2009-01-05,3,10,3,0,10139,0.0
7378539,348,2009-01-05,4,40,5,0,10145,0.0
7378540,348,2009-01-05,5,50,7,0,10154,0.0
7378541,348,2009-01-05,6,70,6,0,10163,0.0
7378542,348,2009-01-05,7,70,6,0,10174,0.0
7378543,348,2009-01-05,8,80,2,0,10187,0.0
7378544,348,2009-01-05,9,80,-2,5,10200,0.0
7378545,348,2009-01-05,10,70,-4,15,10211,0.0
7378546,348,2009-01-05,11,80,-6,35,10218,0.0
7378547,348,2009-01-05,12,70,-2,82,10221,0.0
7378548,348,2009-01-05,13,60,-11,85,10226,775.0094140213744
7378549,348,2009-01-05,14,60,-10,65,10229,374.5716886767494
7378550,348,2009-01-05,15,60,-18,36,10234,49.26910759220708
7378551,348,2009-01-05,16,50,-21,6,10243,-76.77391475476969
7378552,348,2009-01-05,17,60,-24,0,10252,0.0
7378553,348,2009-01-05,18,40,-19,0,10259,0.0
7378554,348,2009-01-05,19,50,-19,0,10265,0.0
7378555,348,2009-01-05,20,40,-23,0,10268,0.0
7378556,348,2009-01-05,21,30,-36,0,10272,0.0
7378557,348,2009-01-05,22,30,-32,0,10274,0.0
7378558,348,2009-01-05,23,40,-35,0,10276,0.0
7378559,348,2009-01-05,24,40,-42,0,10273,0.0
7378560,348,2009-01-06,1,40,-48,0,10275,0.0
7378561,348,2009-01-06,2,40,-54,0,10277,0.0
7378562,348,2009-01-06,3,30,-63,0,10279,0.0
7378563,348,2009-01-06,4,30,-67,0,10279,0.0
7378564,348,2009-01-06,5,30,-71,0,10279,0.0
7378565,348,2009-01-06,6,30,-74,0,10277,0.0
7378566,348,2009-01-06,7,30,-80,0,10277,0.0
7378567,348,2009-01-06,8,20,-80,0,10279,0.0
7378568,348,2009-01-06,9,20,-64,26,10281,0.0
7378569,348,2009-01-06,10,30,-49,64,10279,0.0
7378570,348,2009-01-06,11,30,-32,85,10275,0.0
7378571,348,2009-01-06,12,30,-24,98,10268,0.0
7378572,348,2009-01-06,13,30,-14,91,10262,770.6446731303596
7378573,348,2009-01-06,14,30,-12,70,10256,455.7481281677776
7378574,348,2009-01-06,15,20,-22,37,10256,53.78601531904317
7378575,348,2009-01-06,16,20,-39,6,10255,-76.46193329343951
7378576,348,2009-01-06,17,20,-67,0,10253,0.0
7378577,348,2009-01-06,18,20,-67,0,10252,0.0
7378578,348,2009-01-06,19,10,-78,0,10249,0.0
7378579,348,2009-01-06,20,10,-86,0,10246,0.0
7378580,348,2009-01-06,21,10,-97,0,10245,0.0
7378581,348,2009-01-06,22,10,-91,0,10244,0.0
7378582,348,2009-01-06,23,20,-91,0,10238,0.0
7378583,348,2009-01-06,24,20,-67,0,10231,0.0
7378584,348,2009-01-07,1,30,-57,0,10226,0.0
7378585,348,2009-01-07,2,30,-48,0,10225,0.0
7378586,348,2009-01-07,3,40,-45,0,10222,0.0
7378587,348,2009-01-07,4,50,-42,0,10218,0.0
7378588,348,2009-01-07,5,50,-36,0,10213,0.0
7378589,348,2009-01-07,6,60,-31,0,10210,0.0
7378590,348,2009-01-07,7,50,-26,0,10211,0.0
7378591,348,2009-01-07,8,50,-23,0,10211,0.0
7378592,348,2009-01-07,9,40,-20,10,10214,0.0
7378593,348,2009-01-07,10,30,-8,48,10218,0.0
7378594,348,2009-01-07,11,30,4,60,10221,0.0
7378595,348,2009-01-07,12,10,11,51,10220,0.0
7378596,348,2009-01-07,13,20,18,47,10219,190.832846513184
7378597,348,2009-01-07,14,10,28,37,10222,43.40377513946099
7378598,348,2009-01-07,15,20,34,14,10228,-32.90371781829398
7378599,348,2009-01-07,16,30,22,2,10235,-109.5513542847409
7378600,348,2009-01-07,17,20,18,0,10240,0.0
7378601,348,2009-01-07,18,10,16,0,10248,0.0
7378602,348,2009-01-07,19,20,-7,0,10254,0.0
7378603,348,2009-01-07,20,20,6,0,10261,0.0
7378604,348,2009-01-07,21,20,0,0,10266,0.0
7378605,348,2009-01-07,22,10,3,0,10271,0.0
7378606,348,2009-01-07,23,10,-9,0,10276,0.0
7378607,348,2009-01-07,24,10,-14,0,10280,0.0
7378608,348,2009-01-08,1,0,-37,0,10284,0.0
7378609,348,2009-01-08,2,10,-48,0,10289,0.0
7378610,348,2009-01-08,3,0,-53,0,10290,0.0
7378611,348,2009-01-08,4,10,-54,0,10293,0.0
7378612,348,2009-01-08,5,10,-66,0,10295,0.0
7378613,348,2009-01-08,6,20,-35,0,10297,0.0
7378614,348,2009-01-08,7,20,-35,0,10300,0.0
7378615,348,2009-01-08,8,20,-39,0,10307,0.0
7378616,348,2009-01-08,9,30,-35,5,10310,0.0
7378617,348,2009-01-08,10,30,-32,13,10314,0.0
7378618,348,2009-01-08,11,30,-33,21,10314,0.0
7378619,348,2009-01-08,12,30,-34,27,10311,0.0
7378620,348,2009-01-08,13,20,-31,24,10308,-1.055988621349032
7378621,348,2009-01-08,14,20,-32,17,10306,-24.14539586478044
7378622,348,2009-01-08,15,20,-33,9,10305,-52.20660091500753
7378623,348,2009-01-08,16,20,-38,2,10306,-109.308206559822
7378624,348,2009-01-08,17,20,-40,0,10307,0.0
7378625,348,2009-01-08,18,30,-44,0,10309,0.0
7378626,348,2009-01-08,19,20,-47,0,10310,0.0
7378627,348,2009-01-08,20,20,-50,0,10310,0.0
7378628,348,2009-01-08,21,20,-56,0,10310,0.0
7378629,348,2009-01-08,22,20,-65,0,10311,0.0
7378630,348,2009-01-08,23,10,-67,0,10310,0.0
7378631,348,2009-01-08,24,20,-68,0,10305,0.0
7378632,348,2009-01-09,1,10,-73,0,10304,0.0
7378633,348,2009-01-09,2,10,-73,0,10304,0.0
7378634,348,2009-01-09,3,10,-77,0,10303,0.0
7378635,348,2009-01-09,4,10,-82,0,10301,0.0
7378636,348,2009-01-09,5,10,-85,0,10302,0.0
7378637,348,2009-01-09,6,10,-90,0,10298,0.0
7378638,348,2009-01-09,7,10,-89,0,10303,0.0
7378639,348,2009-01-09,8,10,-92,0,10306,0.0
7378640,348,2009-01-09,9,10,-69,15,10309,0.0
7378641,348,2009-01-09,10,10,-59,40,10312,0.0
7378642,348,2009-01-09,11,10,-54,60,10310,0.0
7378643,348,2009-01-09,12,10,-45,90,10308,514.2120237242897
7378644,348,2009-01-09,13,10,-40,100,10303,776.4474390670521
7378645,348,2009-01-09,14,10,-32,60,10300,263.6323725929722
7378646,348,2009-01-09,15,20,-36,34,10300,30.99913832092399
7378647,348,2009-01-09,16,10,-44,9,10302,-56.92323559295795
7378648,348,2009-01-09,17,10,-47,0,10301,0.0
7378649,348,2009-01-09,18,10,-56,0,10304,0.0
7378650,348,2009-01-09,19,10,-55,0,10305,0.0
7378651,348,2009-01-09,20,10,-66,0,10306,0.0
7378652,348,2009-01-09,21,10,-74,0,10308,0.0
7378653,348,2009-01-09,22,10,-75,0,10307,0.0
7378654,348,2009-01-09,23,10,-72,0,10305,0.0
7378655,348,2009-01-09,24,10,-67,0,10302,0.0
7378656,348,2009-01-10,1,10,-64,0,10296,0.0
7378657,348,2009-01-10,2,20,-81,0,10295,0.0
7378658,348,2009-01-10,3,10,-70,0,10290,0.0
7378659,348,2009-01-10,4,20,-75,0,10289,0.0
7378660,348,2009-01-10,5,20,-73,0,10285,0.0
7378661,348,2009-01-10,6,10,-74,0,10284,0.0
7378662,348,2009-01-10,7,10,-76,0,10286,0.0
7378663,348,2009-01-10,8,20,-82,0,10289,0.0
7378664,348,2009-01-10,9,10,-74,20,10293,0.0
7378665,348,2009-01-10,10,20,-64,45,10292,0.0
7378666,348,2009-01-10,11,30,-58,70,10294,0.0
7378667,348,2009-01-10,12,20,-53,90,10284,539.0576906429294
7378668,348,2009-01-10,13,30,-48,90,10278,781.2207997617462
7378669,348,2009-01-10,14,30,-43,65,10274,330.0337927631584
7378670,348,2009-01-10,15,40,-46,35,10267,34.34303535141797
7378671,348,2009-01-10,16,30,-58,7,10269,-68.11921303520722
7378672,348,2009-01-10,17,30,-60,0,10280,0.0
7378673,348,2009-01-10,18,30,-65,0,10272,0.0
7378674,348,2009-01-10,19,30,-69,0,10277,0.0
7378675,348,2009-01-10,20,30,-72,0,10286,0.0
7378676,348,2009-01-10,21,30,-67,0,10282,0.0
7378677,348,2009-01-10,22,30,-68,0,10285,0.0
