,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
2060856,260,2016-01-01,1,40,74,0,10212,0.0
2060857,260,2016-01-01,2,40,65,0,10219,0.0
2060858,260,2016-01-01,3,30,55,0,10225,0.0
2060859,260,2016-01-01,4,30,55,0,10228,0.0
2060860,260,2016-01-01,5,10,21,0,10233,0.0
2060861,260,2016-01-01,6,10,27,0,10241,0.0
2060862,260,2016-01-01,7,10,8,0,10244,0.0
2060863,260,2016-01-01,8,10,0,0,10247,0.0
2060864,260,2016-01-01,9,10,4,11,10248,0.0
2060865,260,2016-01-01,10,10,20,19,10253,0.0
2060866,260,2016-01-01,11,10,35,39,10252,0.0
2060867,260,2016-01-01,12,10,36,44,10246,0.0
2060868,260,2016-01-01,13,20,44,32,10241,47.85185340445058
2060869,260,2016-01-01,14,30,46,21,10234,-12.90212052821982
2060870,260,2016-01-01,15,30,48,9,10230,-53.55973488596617
2060871,260,2016-01-01,16,40,44,1,10223,-127.297044291816
2060872,260,2016-01-01,17,40,45,0,10217,0.0
2060873,260,2016-01-01,18,40,48,0,10205,0.0
2060874,260,2016-01-01,19,60,54,0,10191,0.0
2060875,260,2016-01-01,20,40,54,0,10190,0.0
2060876,260,2016-01-01,21,50,52,0,10184,0.0
2060877,260,2016-01-01,22,50,50,0,10173,0.0
2060878,260,2016-01-01,23,60,52,0,10160,0.0
2060879,260,2016-01-01,24,50,51,0,10152,0.0
2060880,260,2016-01-02,1,60,53,0,10138,0.0
2060881,260,2016-01-02,2,60,53,0,10128,0.0
2060882,260,2016-01-02,3,60,52,0,10119,0.0
2060883,260,2016-01-02,4,60,52,0,10112,0.0
2060884,260,2016-01-02,5,60,50,0,10106,0.0
2060885,260,2016-01-02,6,60,50,0,10100,0.0
2060886,260,2016-01-02,7,60,47,0,10097,0.0
2060887,260,2016-01-02,8,60,47,0,10097,0.0
2060888,260,2016-01-02,9,60,46,3,10094,0.0
2060889,260,2016-01-02,10,60,49,9,10092,0.0
2060890,260,2016-01-02,11,50,49,6,10089,0.0
2060891,260,2016-01-02,12,50,51,12,10083,0.0
2060892,260,2016-01-02,13,60,55,18,10082,-19.13469160193716
2060893,260,2016-01-02,14,60,58,24,10081,-4.131839321478472
2060894,260,2016-01-02,15,50,59,12,10083,-39.69216137519029
2060895,260,2016-01-02,16,50,58,2,10081,-113.5658996228168
2060896,260,2016-01-02,17,50,60,0,10080,0.0
2060897,260,2016-01-02,18,50,60,0,10078,0.0
2060898,260,2016-01-02,19,50,59,0,10076,0.0
2060899,260,2016-01-02,20,60,58,0,10074,0.0
2060900,260,2016-01-02,21,50,58,0,10070,0.0
2060901,260,2016-01-02,22,60,59,0,10067,0.0
2060902,260,2016-01-02,23,60,61,0,10061,0.0
2060903,260,2016-01-02,24,60,62,0,10058,0.0
2060904,260,2016-01-03,1,70,64,0,10054,0.0
2060905,260,2016-01-03,2,60,67,0,10052,0.0
2060906,260,2016-01-03,3,50,69,0,10049,0.0
2060907,260,2016-01-03,4,50,73,0,10044,0.0
2060908,260,2016-01-03,5,40,76,0,10041,0.0
2060909,260,2016-01-03,6,40,80,0,10039,0.0
2060910,260,2016-01-03,7,50,78,0,10037,0.0
2060911,260,2016-01-03,8,50,76,0,10037,0.0
2060912,260,2016-01-03,9,50,75,5,10036,0.0
2060913,260,2016-01-03,10,50,74,11,10034,0.0
2060914,260,2016-01-03,11,50,74,19,10027,0.0
2060915,260,2016-01-03,12,50,77,33,10017,0.0
2060916,260,2016-01-03,13,40,79,48,10006,227.7091749443877
2060917,260,2016-01-03,14,40,78,41,9994,79.16161637879951
