,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
3067872,275,2015-01-01,1,50,9,0,10344,0.0
3067873,275,2015-01-01,2,40,11,0,10348,0.0
3067874,275,2015-01-01,3,40,10,0,10336,0.0
3067875,275,2015-01-01,4,30,2,0,10350,0.0
3067876,275,2015-01-01,5,30,5,0,10348,0.0
3067877,275,2015-01-01,6,50,7,0,10339,0.0
3067878,275,2015-01-01,7,60,9,0,10330,0.0
3067879,275,2015-01-01,8,50,5,1,10340,0.0
3067880,275,2015-01-01,9,50,11,12,10346,0.0
3067881,275,2015-01-01,10,50,19,39,10339,0.0
3067882,275,2015-01-01,11,60,22,49,10332,0.0
3067883,275,2015-01-01,12,60,29,52,10327,0.0
3067884,275,2015-01-01,13,50,32,50,10317,260.7172386179474
3067885,275,2015-01-01,14,60,36,25,10311,-1.767654822568359
3067886,275,2015-01-01,15,70,34,15,10297,-30.42896242016191
3067887,275,2015-01-01,16,60,34,2,10298,-117.7157501236871
3067888,275,2015-01-01,17,60,34,0,10286,0.0
3067889,275,2015-01-01,18,60,35,0,10280,0.0
3067890,275,2015-01-01,19,70,33,0,10273,0.0
3067891,275,2015-01-01,20,80,32,0,10267,0.0
3067892,275,2015-01-01,21,80,31,0,10255,0.0
3067893,275,2015-01-01,22,90,30,0,10249,0.0
3067894,275,2015-01-01,23,90,33,0,10238,0.0
3067895,275,2015-01-01,24,90,38,0,10229,0.0
3067896,275,2015-01-02,1,90,39,0,10213,0.0
3067897,275,2015-01-02,2,90,38,0,10212,0.0
3067898,275,2015-01-02,3,70,49,0,10205,0.0
3067899,275,2015-01-02,4,90,48,0,10196,0.0
3067900,275,2015-01-02,5,90,54,0,10193,0.0
3067901,275,2015-01-02,6,90,59,0,10192,0.0
3067902,275,2015-01-02,7,90,66,0,10198,0.0
3067903,275,2015-01-02,8,60,80,0,10212,0.0
3067904,275,2015-01-02,9,50,82,11,10225,0.0
3067905,275,2015-01-02,10,50,77,27,10236,0.0
3067906,275,2015-01-02,11,50,78,32,10248,0.0
3067907,275,2015-01-02,12,70,80,68,10253,0.0
3067908,275,2015-01-02,13,80,80,80,10254,774.722550686253
3067909,275,2015-01-02,14,80,77,51,10263,184.1328738289942
3067910,275,2015-01-02,15,70,69,29,10271,17.33186942397268
3067911,275,2015-01-02,16,70,61,4,10282,-96.35895610945839
3067912,275,2015-01-02,17,60,57,0,10290,0.0
3067913,275,2015-01-02,18,50,53,0,10294,0.0
3067914,275,2015-01-02,19,50,53,0,10299,0.0
3067915,275,2015-01-02,20,40,30,0,10303,0.0
3067916,275,2015-01-02,21,40,45,0,10309,0.0
3067917,275,2015-01-02,22,40,34,0,10309,0.0
3067918,275,2015-01-02,23,40,35,0,10311,0.0
3067919,275,2015-01-02,24,40,26,0,10307,0.0
3067920,275,2015-01-03,1,40,21,0,10307,0.0
3067921,275,2015-01-03,2,40,24,0,10299,0.0
3067922,275,2015-01-03,3,40,29,0,10289,0.0
3067923,275,2015-01-03,4,50,30,0,10282,0.0
3067924,275,2015-01-03,5,50,30,0,10265,0.0
3067925,275,2015-01-03,6,50,31,0,10264,0.0
3067926,275,2015-01-03,7,60,32,0,10255,0.0
3067927,275,2015-01-03,8,70,36,0,10246,0.0
3067928,275,2015-01-03,9,60,37,4,10243,0.0
3067929,275,2015-01-03,10,60,34,9,10234,0.0
3067930,275,2015-01-03,11,60,31,10,10222,0.0
3067931,275,2015-01-03,12,50,30,11,10204,0.0
3067932,275,2015-01-03,13,40,30,15,10186,-29.84856531166513
3067933,275,2015-01-03,14,50,28,9,10181,-51.4332783382398
3067934,275,2015-01-03,15,30,25,4,10173,-81.31215889575418
3067935,275,2015-01-03,16,20,22,1,10173,-126.0764264807671
3067936,275,2015-01-03,17,20,21,0,10176,0.0
3067937,275,2015-01-03,18,20,21,0,10184,0.0
3067938,275,2015-01-03,19,30,23,0,10195,0.0
3067939,275,2015-01-03,20,30,28,0,10205,0.0
3067940,275,2015-01-03,21,30,21,0,10215,0.0
3067941,275,2015-01-03,22,20,17,0,10231,0.0
3067942,275,2015-01-03,23,20,6,0,10244,0.0
3067943,275,2015-01-03,24,30,15,0,10253,0.0
3067944,275,2015-01-04,1,30,1,0,10264,0.0
3067945,275,2015-01-04,2,20,2,0,10275,0.0
3067946,275,2015-01-04,3,30,-7,0,10282,0.0
3067947,275,2015-01-04,4,20,-3,0,10288,0.0
3067948,275,2015-01-04,5,20,-11,0,10292,0.0
3067949,275,2015-01-04,6,10,-7,0,10300,0.0
3067950,275,2015-01-04,7,20,-15,0,10305,0.0
3067951,275,2015-01-04,8,20,-11,1,10315,0.0
3067952,275,2015-01-04,9,30,2,25,10322,0.0
3067953,275,2015-01-04,10,30,27,61,10331,0.0
3067954,275,2015-01-04,11,30,49,67,10335,0.0
3067955,275,2015-01-04,12,40,61,79,10337,0.0
3067956,275,2015-01-04,13,50,64,73,10339,705.8753248029489
3067957,275,2015-01-04,14,50,64,57,10340,257.8391099344863
3067958,275,2015-01-04,15,40,56,25,10342,-0.007085407938951704
3067959,275,2015-01-04,16,20,31,4,10347,-95.85036793991554
3067960,275,2015-01-04,17,10,6,0,10349,0.0
3067961,275,2015-01-04,18,20,8,0,10355,0.0
3067962,275,2015-01-04,19,30,5,0,10353,0.0
3067963,275,2015-01-04,20,30,-1,0,10355,0.0
3067964,275,2015-01-04,21,30,-5,0,10356,0.0
3067965,275,2015-01-04,22,30,-6,0,10356,0.0
3067966,275,2015-01-04,23,30,-8,0,10355,0.0
3067967,275,2015-01-04,24,30,-6,0,10352,0.0
3067968,275,2015-01-05,1,30,-10,0,10349,0.0
3067969,275,2015-01-05,2,30,-8,0,10344,0.0
3067970,275,2015-01-05,3,50,5,0,10341,0.0
3067971,275,2015-01-05,4,50,7,0,10340,0.0
3067972,275,2015-01-05,5,40,9,0,10337,0.0
3067973,275,2015-01-05,6,40,11,0,10335,0.0
3067974,275,2015-01-05,7,40,14,0,10336,0.0
3067975,275,2015-01-05,8,40,13,1,10332,0.0
3067976,275,2015-01-05,9,30,13,11,10327,0.0
3067977,275,2015-01-05,10,40,17,41,10323,0.0
3067978,275,2015-01-05,11,50,10,31,10322,0.0
3067979,275,2015-01-05,12,50,6,16,10315,0.0
3067980,275,2015-01-05,13,30,6,15,10310,-30.49201916487663
3067981,275,2015-01-05,14,20,12,20,10304,-16.24545390022923
