,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
3681480,280,2001-01-01,1,70,1,0,10059,0.0
3681481,280,2001-01-01,2,70,5,0,10046,0.0
3681482,280,2001-01-01,3,80,6,0,10027,0.0
3681483,280,2001-01-01,4,80,8,0,10017,0.0
3681484,280,2001-01-01,5,80,10,0,9999,0.0
3681485,280,2001-01-01,6,80,9,0,9990,0.0
3681486,280,2001-01-01,7,70,11,0,9982,0.0
3681487,280,2001-01-01,8,70,12,0,9975,0.0
3681488,280,2001-01-01,9,70,12,1,9973,0.0
3681489,280,2001-01-01,10,80,14,7,9966,0.0
3681490,280,2001-01-01,11,70,16,12,9965,0.0
3681491,280,2001-01-01,12,80,21,17,9951,0.0
3681492,280,2001-01-01,13,80,24,16,9950,-24.3660682615268
3681493,280,2001-01-01,14,80,24,13,9949,-35.52490898008293
3681494,280,2001-01-01,15,80,29,8,9951,-59.02775629369363
3681495,280,2001-01-01,16,70,28,1,9944,0.0
3681496,280,2001-01-01,17,70,31,0,9949,0.0
3681497,280,2001-01-01,18,60,32,0,9948,0.0
3681498,280,2001-01-01,19,60,34,0,9949,0.0
3681499,280,2001-01-01,20,60,33,0,9952,0.0
3681500,280,2001-01-01,21,60,35,0,9951,0.0
3681501,280,2001-01-01,22,50,36,0,9952,0.0
3681502,280,2001-01-01,23,60,40,0,9955,0.0
3681503,280,2001-01-01,24,50,39,0,9952,0.0
3681504,280,2001-01-02,1,40,38,0,9951,0.0
3681505,280,2001-01-02,2,50,42,0,9946,0.0
3681506,280,2001-01-02,3,50,42,0,9941,0.0
3681507,280,2001-01-02,4,50,43,0,9939,0.0
3681508,280,2001-01-02,5,50,46,0,9937,0.0
3681509,280,2001-01-02,6,50,48,0,9932,0.0
3681510,280,2001-01-02,7,50,48,0,9930,0.0
3681511,280,2001-01-02,8,60,51,0,9928,0.0
3681512,280,2001-01-02,9,60,53,4,9927,0.0
3681513,280,2001-01-02,10,60,56,8,9930,0.0
3681514,280,2001-01-02,11,60,66,40,9925,0.0
3681515,280,2001-01-02,12,60,76,73,9918,0.0
3681516,280,2001-01-02,13,60,77,59,9914,515.3317115838144
3681517,280,2001-01-02,14,50,81,41,9910,108.9566385855649
3681518,280,2001-01-02,15,50,82,16,9910,-24.85858494564513
3681519,280,2001-01-02,16,60,85,2,9909,-121.4216270770949
3681520,280,2001-01-02,17,60,83,0,9909,0.0
3681521,280,2001-01-02,18,60,82,0,9908,0.0
3681522,280,2001-01-02,19,60,83,0,9909,0.0
3681523,280,2001-01-02,20,60,77,0,9907,0.0
3681524,280,2001-01-02,21,60,79,0,9910,0.0
3681525,280,2001-01-02,22,70,81,0,9910,0.0
3681526,280,2001-01-02,23,70,79,0,9912,0.0
3681527,280,2001-01-02,24,70,89,0,9913,0.0
3681528,280,2001-01-03,1,70,82,0,9916,0.0
3681529,280,2001-01-03,2,70,82,0,9922,0.0
3681530,280,2001-01-03,3,60,76,0,9926,0.0
3681531,280,2001-01-03,4,70,74,0,9933,0.0
3681532,280,2001-01-03,5,60,75,0,9939,0.0
3681533,280,2001-01-03,6,60,71,0,9948,0.0
3681534,280,2001-01-03,7,60,69,0,9958,0.0
3681535,280,2001-01-03,8,60,68,0,9973,0.0
3681536,280,2001-01-03,9,50,60,4,9986,0.0
3681537,280,2001-01-03,10,50,62,23,10003,0.0
3681538,280,2001-01-03,11,50,61,30,10014,0.0
3681539,280,2001-01-03,12,60,63,73,10021,0.0
3681540,280,2001-01-03,13,60,65,72,10028,755.302210897138
3681541,280,2001-01-03,14,60,66,48,10036,190.9400020186637
3681542,280,2001-01-03,15,60,59,24,10042,3.326843653896974
3681543,280,2001-01-03,16,50,42,3,10046,-110.0877682152836
3681544,280,2001-01-03,17,30,32,0,10050,0.0
3681545,280,2001-01-03,18,40,31,0,10049,0.0
3681546,280,2001-01-03,19,50,38,0,10050,0.0
3681547,280,2001-01-03,20,50,33,0,10046,0.0
3681548,280,2001-01-03,21,50,32,0,10044,0.0
3681549,280,2001-01-03,22,50,38,0,10037,0.0
3681550,280,2001-01-03,23,50,38,0,10030,0.0
3681551,280,2001-01-03,24,50,46,0,10018,0.0
3681552,280,2001-01-04,1,60,47,0,10007,0.0
