,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
7851768,370,2000-01-01,1,30,45,0,10222,0.0
7851769,370,2000-01-01,2,30,47,0,10225,0.0
7851770,370,2000-01-01,3,40,49,0,10220,0.0
7851771,370,2000-01-01,4,30,51,0,10216,0.0
7851772,370,2000-01-01,5,30,52,0,10218,0.0
7851773,370,2000-01-01,6,30,54,0,10217,0.0
7851774,370,2000-01-01,7,40,56,0,10219,0.0
7851775,370,2000-01-01,8,40,57,0,10226,0.0
7851776,370,2000-01-01,9,40,60,1,10229,0.0
7851777,370,2000-01-01,10,40,65,6,10236,0.0
7851778,370,2000-01-01,11,30,70,12,10236,0.0
7851779,370,2000-01-01,12,30,74,16,10237,-15.89428292675437
7851780,370,2000-01-01,13,30,77,15,10241,-30.15729971497146
7851781,370,2000-01-01,14,40,78,11,10246,-42.89838938983878
7851782,370,2000-01-01,15,20,78,6,10252,-67.84975477067108
7851783,370,2000-01-01,16,20,73,1,10257,-123.1336049891732
7851784,370,2000-01-01,17,10,66,0,10261,0.0
7851785,370,2000-01-01,18,10,37,0,10265,0.0
7851786,370,2000-01-01,19,10,22,0,10266,0.0
7851787,370,2000-01-01,20,10,23,0,10270,0.0
7851788,370,2000-01-01,21,20,54,0,10278,0.0
7851789,370,2000-01-01,22,20,64,0,10281,0.0
7851790,370,2000-01-01,23,20,64,0,10285,0.0
7851791,370,2000-01-01,24,10,59,0,10284,0.0
7851792,370,2000-01-02,1,10,54,0,10284,0.0
7851793,370,2000-01-02,2,10,57,0,10283,0.0
7851794,370,2000-01-02,3,10,50,0,10281,0.0
7851795,370,2000-01-02,4,30,56,0,10280,0.0
7851796,370,2000-01-02,5,30,55,0,10282,0.0
7851797,370,2000-01-02,6,30,45,0,10282,0.0
7851798,370,2000-01-02,7,30,54,0,10281,0.0
7851799,370,2000-01-02,8,40,56,0,10279,0.0
7851800,370,2000-01-02,9,30,59,2,10289,0.0
7851801,370,2000-01-02,10,40,64,8,10283,0.0
7851802,370,2000-01-02,11,50,71,25,10280,0.0
7851803,370,2000-01-02,12,40,78,29,10281,110.2362948853067
7851804,370,2000-01-02,13,40,83,27,10279,10.42975434753993
7851805,370,2000-01-02,14,40,85,20,10276,-16.28773582756441
7851806,370,2000-01-02,15,40,83,6,10274,-67.74316729259537
7851807,370,2000-01-02,16,40,82,1,10274,-122.4564921695674
7851808,370,2000-01-02,17,30,83,0,10275,0.0
7851809,370,2000-01-02,18,40,85,0,10274,0.0
7851810,370,2000-01-02,19,50,84,0,10271,0.0
7851811,370,2000-01-02,20,40,83,0,10271,0.0
7851812,370,2000-01-02,21,50,83,0,10270,0.0
7851813,370,2000-01-02,22,50,83,0,10261,0.0
7851814,370,2000-01-02,23,50,80,0,10258,0.0
7851815,370,2000-01-02,24,40,76,0,10258,0.0
7851816,370,2000-01-03,1,40,74,0,10253,0.0
7851817,370,2000-01-03,2,50,70,0,10252,0.0
7851818,370,2000-01-03,3,50,67,0,10249,0.0
7851819,370,2000-01-03,4,50,71,0,10242,0.0
7851820,370,2000-01-03,5,50,75,0,10238,0.0
7851821,370,2000-01-03,6,60,79,0,10240,0.0
7851822,370,2000-01-03,7,60,78,0,10240,0.0
7851823,370,2000-01-03,8,60,77,0,10233,0.0
7851824,370,2000-01-03,9,60,79,9,10234,0.0
7851825,370,2000-01-03,10,60,82,9,10236,0.0
7851826,370,2000-01-03,11,60,87,17,10228,0.0
7851827,370,2000-01-03,12,70,87,19,10226,2.510575756437644
7851828,370,2000-01-03,13,70,85,16,10219,-26.7969393808769
7851829,370,2000-01-03,14,60,83,13,10214,-35.43344417558853
7851830,370,2000-01-03,15,70,81,8,10212,-56.51785970361381
7851831,370,2000-01-03,16,70,79,1,10209,-120.8173519143866
7851832,370,2000-01-03,17,70,78,0,10206,0.0
7851833,370,2000-01-03,18,70,78,0,10201,0.0
7851834,370,2000-01-03,19,80,76,0,10199,0.0
7851835,370,2000-01-03,20,80,74,0,10196,0.0
7851836,370,2000-01-03,21,80,72,0,10193,0.0
7851837,370,2000-01-03,22,70,73,0,10188,0.0
7851838,370,2000-01-03,23,70,73,0,10187,0.0
7851839,370,2000-01-03,24,60,72,0,10184,0.0
7851840,370,2000-01-04,1,60,70,0,10180,0.0
7851841,370,2000-01-04,2,60,72,0,10178,0.0
7851842,370,2000-01-04,3,60,70,0,10177,0.0
7851843,370,2000-01-04,4,50,71,0,10175,0.0
7851844,370,2000-01-04,5,50,71,0,10174,0.0
7851845,370,2000-01-04,6,50,72,0,10172,0.0
7851846,370,2000-01-04,7,30,72,0,10169,0.0
7851847,370,2000-01-04,8,30,72,0,10167,0.0
7851848,370,2000-01-04,9,30,75,2,10162,0.0
7851849,370,2000-01-04,10,40,79,4,10158,0.0
7851850,370,2000-01-04,11,50,78,7,10150,0.0
7851851,370,2000-01-04,12,60,78,8,10139,-64.59444703235157
7851852,370,2000-01-04,13,70,81,9,10127,-52.95138682781817
7851853,370,2000-01-04,14,70,81,8,10119,-54.01031494655824
7851854,370,2000-01-04,15,70,86,3,10115,-84.24520356545705
7851855,370,2000-01-04,16,80,94,1,10115,-118.8136951130662
7851856,370,2000-01-04,17,90,90,0,10125,0.0
7851857,370,2000-01-04,18,80,76,0,10131,0.0
7851858,370,2000-01-04,19,60,78,0,10135,0.0
7851859,370,2000-01-04,20,70,82,0,10137,0.0
7851860,370,2000-01-04,21,90,84,0,10141,0.0
7851861,370,2000-01-04,22,70,68,0,10157,0.0
7851862,370,2000-01-04,23,60,63,0,10169,0.0
7851863,370,2000-01-04,24,40,50,0,10179,0.0
7851864,370,2000-01-05,1,30,43,0,10185,0.0
7851865,370,2000-01-05,2,40,30,0,10191,0.0
7851866,370,2000-01-05,3,30,15,0,10195,0.0
7851867,370,2000-01-05,4,30,16,0,10201,0.0
7851868,370,2000-01-05,5,40,19,0,10206,0.0
7851869,370,2000-01-05,6,30,15,0,10209,0.0
7851870,370,2000-01-05,7,30,14,0,10210,0.0
7851871,370,2000-01-05,8,30,13,0,10214,0.0
7851872,370,2000-01-05,9,30,20,17,10217,0.0
7851873,370,2000-01-05,10,30,37,43,10215,0.0
7851874,370,2000-01-05,11,40,52,0,10211,0.0
7851875,370,2000-01-05,12,40,65,80,10207,685.127327186124
7851876,370,2000-01-05,13,50,74,76,10201,703.7072892091759
7851877,370,2000-01-05,14,50,79,56,10198,204.8133119197009
7851878,370,2000-01-05,15,40,73,31,10194,18.1733701020484
7851879,370,2000-01-05,16,40,65,5,10189,-82.5756303379626
7851880,370,2000-01-05,17,40,61,0,10189,0.0
7851881,370,2000-01-05,18,50,61,0,10187,0.0
7851882,370,2000-01-05,19,40,51,0,10184,0.0
7851883,370,2000-01-05,20,40,48,0,10184,0.0
7851884,370,2000-01-05,21,40,43,0,10180,0.0
7851885,370,2000-01-05,22,40,48,0,10179,0.0
7851886,370,2000-01-05,23,50,49,0,10175,0.0
7851887,370,2000-01-05,24,50,54,0,10171,0.0
7851888,370,2000-01-06,1,50,49,0,10167,0.0
7851889,370,2000-01-06,2,40,40,0,10167,0.0
7851890,370,2000-01-06,3,40,27,0,10164,0.0
7851891,370,2000-01-06,4,40,43,0,10161,0.0
7851892,370,2000-01-06,5,50,53,0,10157,0.0
7851893,370,2000-01-06,6,50,59,0,10153,0.0
7851894,370,2000-01-06,7,60,61,0,10156,0.0
7851895,370,2000-01-06,8,60,59,0,10156,0.0
7851896,370,2000-01-06,9,60,65,17,10158,0.0
7851897,370,2000-01-06,10,60,81,49,10156,0.0
7851898,370,2000-01-06,11,70,87,48,10152,0.0
7851899,370,2000-01-06,12,60,90,36,10154,219.0165366140499
7851900,370,2000-01-06,13,70,96,34,10149,43.89121822077556
7851901,370,2000-01-06,14,70,97,32,10148,16.85994449971076
7851902,370,2000-01-06,15,60,94,12,10151,-38.87040841103615
7851903,370,2000-01-06,16,60,86,0,10160,0.0
7851904,370,2000-01-06,17,60,80,0,10163,0.0
7851905,370,2000-01-06,18,60,79,0,10171,0.0
7851906,370,2000-01-06,19,60,79,0,10176,0.0
7851907,370,2000-01-06,20,50,76,0,10179,0.0
7851908,370,2000-01-06,21,50,69,0,10188,0.0
7851909,370,2000-01-06,22,50,76,0,10191,0.0
7851910,370,2000-01-06,23,50,76,0,10195,0.0
7851911,370,2000-01-06,24,50,71,0,10199,0.0
7851912,370,2000-01-07,1,40,61,0,10205,0.0
7851913,370,2000-01-07,2,30,60,0,10210,0.0
7851914,370,2000-01-07,3,40,54,0,10214,0.0
7851915,370,2000-01-07,4,40,59,0,10215,0.0
7851916,370,2000-01-07,5,50,67,0,10218,0.0
7851917,370,2000-01-07,6,40,56,0,10222,0.0
7851918,370,2000-01-07,7,40,51,0,10225,0.0
7851919,370,2000-01-07,8,40,59,0,10229,0.0
7851920,370,2000-01-07,9,40,63,8,10232,0.0
7851921,370,2000-01-07,10,50,66,28,10233,0.0
7851922,370,2000-01-07,11,60,65,41,10231,0.0
7851923,370,2000-01-07,12,60,70,30,10225,110.5442836477851
7851924,370,2000-01-07,13,60,76,50,10218,201.902753945189
7851925,370,2000-01-07,14,60,77,31,10215,12.65953965986317
7851926,370,2000-01-07,15,60,75,29,10212,9.151586122299749
7851927,370,2000-01-07,16,70,67,5,10211,-81.7108547114804
7851928,370,2000-01-07,17,60,60,0,10208,0.0
7851929,370,2000-01-07,18,60,65,0,10205,0.0
7851930,370,2000-01-07,19,60,65,0,10203,0.0
7851931,370,2000-01-07,20,60,64,0,10199,0.0
7851932,370,2000-01-07,21,50,57,0,10196,0.0
7851933,370,2000-01-07,22,60,54,0,10192,0.0
7851934,370,2000-01-07,23,50,51,0,10191,0.0
7851935,370,2000-01-07,24,60,53,0,10187,0.0
7851936,370,2000-01-08,1,60,51,0,10181,0.0
7851937,370,2000-01-08,2,60,54,0,10178,0.0
7851938,370,2000-01-08,3,60,55,0,10175,0.0
7851939,370,2000-01-08,4,60,55,0,10171,0.0
7851940,370,2000-01-08,5,50,56,0,10172,0.0
7851941,370,2000-01-08,6,50,59,0,10172,0.0
7851942,370,2000-01-08,7,60,60,0,10171,0.0
7851943,370,2000-01-08,8,60,60,0,10175,0.0
7851944,370,2000-01-08,9,60,62,8,10176,0.0
7851945,370,2000-01-08,10,60,67,21,10179,0.0
7851946,370,2000-01-08,11,60,67,23,10178,0.0
7851947,370,2000-01-08,12,50,66,17,10178,-13.13311896443373
7851948,370,2000-01-08,13,50,70,14,10178,-32.97045061214509
7851949,370,2000-01-08,14,50,72,6,10177,-62.96791123330458
7851950,370,2000-01-08,15,40,74,4,10182,-76.2670045669298
7851951,370,2000-01-08,16,40,71,2,10189,-105.7734100124166
7851952,370,2000-01-08,17,30,66,0,10194,0.0
7851953,370,2000-01-08,18,30,37,0,10196,0.0
7851954,370,2000-01-08,19,30,38,0,10199,0.0
7851955,370,2000-01-08,20,20,32,0,10202,0.0
7851956,370,2000-01-08,21,20,25,0,10205,0.0
