,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
8329560,377,2014-01-01,1,50,59,0,10110,0.0
8329561,377,2014-01-01,2,50,60,0,10110,0.0
8329562,377,2014-01-01,3,50,67,0,10110,0.0
8329563,377,2014-01-01,4,40,63,0,10110,0.0
8329564,377,2014-01-01,5,40,51,0,10110,0.0
8329565,377,2014-01-01,6,40,50,0,10110,0.0
8329566,377,2014-01-01,7,50,50,0,10110,0.0
8329567,377,2014-01-01,8,50,50,1,10110,0.0
8329568,377,2014-01-01,9,50,57,21,10110,0.0
8329569,377,2014-01-01,10,60,71,45,10110,0.0
8329570,377,2014-01-01,11,70,79,59,10110,0.0
8329571,377,2014-01-01,12,80,84,75,10110,699.4054510486611
8329572,377,2014-01-01,13,70,82,64,10110,451.0304350415459
8329573,377,2014-01-01,14,60,84,39,10110,51.37297885180092
8329574,377,2014-01-01,15,60,86,11,10110,-42.78012308085895
8329575,377,2014-01-01,16,60,88,2,10110,-109.996514577505
8329576,377,2014-01-01,17,60,88,0,10110,0.0
8329577,377,2014-01-01,18,70,88,0,10110,0.0
8329578,377,2014-01-01,19,70,93,0,10110,0.0
8329579,377,2014-01-01,20,90,96,0,10110,0.0
8329580,377,2014-01-01,21,80,97,0,10110,0.0
8329581,377,2014-01-01,22,90,103,0,10110,0.0
8329582,377,2014-01-01,23,90,96,0,10110,0.0
8329583,377,2014-01-01,24,80,96,0,10110,0.0
8329584,377,2014-01-02,1,80,99,0,10110,0.0
8329585,377,2014-01-02,2,90,103,0,10110,0.0
8329586,377,2014-01-02,3,90,100,0,10110,0.0
8329587,377,2014-01-02,4,80,103,0,10110,0.0
8329588,377,2014-01-02,5,80,103,0,10110,0.0
8329589,377,2014-01-02,6,70,103,0,10110,0.0
8329590,377,2014-01-02,7,70,105,0,10110,0.0
8329591,377,2014-01-02,8,70,100,0,10110,0.0
8329592,377,2014-01-02,9,60,101,6,10110,0.0
8329593,377,2014-01-02,10,70,99,11,10110,0.0
8329594,377,2014-01-02,11,70,99,14,10110,0.0
8329595,377,2014-01-02,12,70,104,43,10110,363.8888643812308
8329596,377,2014-01-02,13,70,103,55,10110,281.9836169850743
8329597,377,2014-01-02,14,70,100,42,10110,69.10520889383452
8329598,377,2014-01-02,15,50,97,12,10110,-38.92111565061587
8329599,377,2014-01-02,16,50,91,3,10110,-99.71924600745214
8329600,377,2014-01-02,17,50,92,0,10110,0.0
8329601,377,2014-01-02,18,50,81,0,10110,0.0
8329602,377,2014-01-02,19,40,75,0,10110,0.0
8329603,377,2014-01-02,20,50,70,0,10110,0.0
8329604,377,2014-01-02,21,40,56,0,10110,0.0
8329605,377,2014-01-02,22,50,59,0,10110,0.0
8329606,377,2014-01-02,23,40,60,0,10110,0.0
8329607,377,2014-01-02,24,40,60,0,10110,0.0
8329608,377,2014-01-03,1,50,72,0,10110,0.0
8329609,377,2014-01-03,2,50,70,0,10110,0.0
8329610,377,2014-01-03,3,50,82,0,10110,0.0
8329611,377,2014-01-03,4,50,88,0,10110,0.0
8329612,377,2014-01-03,5,60,96,0,10110,0.0
8329613,377,2014-01-03,6,70,101,0,10110,0.0
8329614,377,2014-01-03,7,70,93,0,10110,0.0
8329615,377,2014-01-03,8,60,90,0,10110,0.0
8329616,377,2014-01-03,9,70,99,3,10110,0.0
8329617,377,2014-01-03,10,80,104,8,10110,0.0
8329618,377,2014-01-03,11,70,112,36,10110,0.0
