,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
7632648,350,2017-01-01,1,50,-5,0,10244,0.0
7632649,350,2017-01-01,2,50,-5,0,10238,0.0
7632650,350,2017-01-01,3,40,-5,0,10228,0.0
7632651,350,2017-01-01,4,40,-7,0,10221,0.0
7632652,350,2017-01-01,5,40,-9,0,10212,0.0
7632653,350,2017-01-01,6,50,-12,0,10207,0.0
7632654,350,2017-01-01,7,40,-9,0,10199,0.0
7632655,350,2017-01-01,8,50,-8,1,10195,0.0
7632656,350,2017-01-01,9,40,-7,5,10195,0.0
7632657,350,2017-01-01,10,40,-6,9,10190,0.0
7632658,350,2017-01-01,11,50,-14,17,10187,0.0
7632659,350,2017-01-01,12,50,-22,24,10183,0.0
7632660,350,2017-01-01,13,50,-22,18,10178,-20.08703344965751
7632661,350,2017-01-01,14,50,-15,18,10174,-20.89708705533956
7632662,350,2017-01-01,15,50,-10,7,10172,-61.89458272956105
7632663,350,2017-01-01,16,50,-6,2,10173,-111.4317965714875
7632664,350,2017-01-01,17,50,-1,0,10171,0.0
7632665,350,2017-01-01,18,50,1,0,10174,0.0
7632666,350,2017-01-01,19,40,2,0,10177,0.0
7632667,350,2017-01-01,20,40,2,0,10183,0.0
7632668,350,2017-01-01,21,30,2,0,10188,0.0
7632669,350,2017-01-01,22,30,3,0,10192,0.0
7632670,350,2017-01-01,23,30,3,0,10198,0.0
7632671,350,2017-01-01,24,20,4,0,10201,0.0
7632672,350,2017-01-02,1,30,5,0,10201,0.0
7632673,350,2017-01-02,2,30,5,0,10208,0.0
7632674,350,2017-01-02,3,30,6,0,10211,0.0
7632675,350,2017-01-02,4,20,7,0,10214,0.0
7632676,350,2017-01-02,5,20,10,0,10216,0.0
7632677,350,2017-01-02,6,20,9,0,10218,0.0
7632678,350,2017-01-02,7,20,-8,0,10223,0.0
7632679,350,2017-01-02,8,30,4,1,10231,0.0
7632680,350,2017-01-02,9,30,12,24,10237,0.0
7632681,350,2017-01-02,10,30,12,28,10241,0.0
7632682,350,2017-01-02,11,30,42,72,10242,0.0
7632683,350,2017-01-02,12,30,57,91,10243,0.0
7632684,350,2017-01-02,13,40,44,66,10247,539.9680056275605
7632685,350,2017-01-02,14,30,45,54,10246,199.737745395199
7632686,350,2017-01-02,15,20,50,37,10247,54.54733405507911
7632687,350,2017-01-02,16,30,30,6,10251,-76.81940254527167
7632688,350,2017-01-02,17,30,21,0,10253,0.0
7632689,350,2017-01-02,18,20,27,0,10258,0.0
7632690,350,2017-01-02,19,30,29,0,10260,0.0
7632691,350,2017-01-02,20,30,23,0,10262,0.0
7632692,350,2017-01-02,21,30,20,0,10261,0.0
7632693,350,2017-01-02,22,30,16,0,10262,0.0
7632694,350,2017-01-02,23,20,11,0,10264,0.0
7632695,350,2017-01-02,24,20,13,0,10264,0.0
7632696,350,2017-01-03,1,30,15,0,10263,0.0
7632697,350,2017-01-03,2,30,16,0,10266,0.0
7632698,350,2017-01-03,3,30,14,0,10264,0.0
7632699,350,2017-01-03,4,30,17,0,10263,0.0
7632700,350,2017-01-03,5,30,11,0,10261,0.0
7632701,350,2017-01-03,6,30,12,0,10257,0.0
7632702,350,2017-01-03,7,40,15,0,10256,0.0
7632703,350,2017-01-03,8,30,10,1,10257,0.0
7632704,350,2017-01-03,9,40,15,21,10259,0.0
7632705,350,2017-01-03,10,40,24,46,10256,0.0
7632706,350,2017-01-03,11,40,34,48,10249,0.0
7632707,350,2017-01-03,12,50,38,34,10241,0.0
7632708,350,2017-01-03,13,50,44,19,10235,-17.33522073199333
7632709,350,2017-01-03,14,60,47,23,10228,-8.528374758147823
7632710,350,2017-01-03,15,50,48,9,10224,-52.0574785663691
7632711,350,2017-01-03,16,50,49,2,10220,-110.4374883836291
7632712,350,2017-01-03,17,50,49,0,10216,0.0
7632713,350,2017-01-03,18,50,53,0,10214,0.0
7632714,350,2017-01-03,19,50,54,0,10211,0.0
7632715,350,2017-01-03,20,50,55,0,10202,0.0
7632716,350,2017-01-03,21,50,57,0,10198,0.0
7632717,350,2017-01-03,22,60,57,0,10193,0.0
7632718,350,2017-01-03,23,50,54,0,10186,0.0
7632719,350,2017-01-03,24,50,55,0,10180,0.0
7632720,350,2017-01-04,1,50,59,0,10174,0.0
7632721,350,2017-01-04,2,50,59,0,10166,0.0
7632722,350,2017-01-04,3,60,60,0,10162,0.0
7632723,350,2017-01-04,4,70,63,0,10160,0.0
7632724,350,2017-01-04,5,60,64,0,10156,0.0
7632725,350,2017-01-04,6,50,65,0,10155,0.0
7632726,350,2017-01-04,7,60,63,0,10158,0.0
7632727,350,2017-01-04,8,60,64,0,10159,0.0
7632728,350,2017-01-04,9,50,65,6,10165,0.0
7632729,350,2017-01-04,10,60,68,28,10170,0.0
7632730,350,2017-01-04,11,70,59,29,10172,0.0
7632731,350,2017-01-04,12,60,63,53,10171,688.7110647503443
7632732,350,2017-01-04,13,90,59,63,10175,461.8689049553911
7632733,350,2017-01-04,14,60,57,49,10175,134.5571513221787
7632734,350,2017-01-04,15,70,59,31,10179,19.54537146082716
7632735,350,2017-01-04,16,60,46,4,10184,-91.03688132384882
7632736,350,2017-01-04,17,60,44,0,10194,0.0
7632737,350,2017-01-04,18,60,40,0,10196,0.0
7632738,350,2017-01-04,19,50,27,0,10206,0.0
7632739,350,2017-01-04,20,40,24,0,10212,0.0
7632740,350,2017-01-04,21,40,25,0,10219,0.0
7632741,350,2017-01-04,22,40,14,0,10226,0.0
7632742,350,2017-01-04,23,40,18,0,10234,0.0
7632743,350,2017-01-04,24,40,13,0,10240,0.0
7632744,350,2017-01-05,1,30,7,0,10244,0.0
7632745,350,2017-01-05,2,30,10,0,10250,0.0
7632746,350,2017-01-05,3,30,17,0,10257,0.0
7632747,350,2017-01-05,4,20,7,0,10262,0.0
7632748,350,2017-01-05,5,20,-1,0,10270,0.0
7632749,350,2017-01-05,6,30,17,0,10274,0.0
7632750,350,2017-01-05,7,20,3,0,10284,0.0
7632751,350,2017-01-05,8,20,4,1,10295,0.0
7632752,350,2017-01-05,9,20,10,21,10307,0.0
