,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
3322080,278,2002-01-01,1,40,4,0,10110,0.0
3322081,278,2002-01-01,2,40,1,0,10110,0.0
3322082,278,2002-01-01,3,40,6,0,10110,0.0
3322083,278,2002-01-01,4,30,6,0,10110,0.0
3322084,278,2002-01-01,5,30,6,0,10110,0.0
3322085,278,2002-01-01,6,30,1,0,10110,0.0
3322086,278,2002-01-01,7,30,-2,0,10110,0.0
3322087,278,2002-01-01,8,30,-9,0,10110,0.0
3322088,278,2002-01-01,9,40,-6,16,10110,0.0
3322089,278,2002-01-01,10,40,4,62,10110,0.0
3322090,278,2002-01-01,11,40,17,83,10110,0.0
3322091,278,2002-01-01,12,40,17,88,10110,0.0
3322092,278,2002-01-01,13,40,19,76,10110,767.1098347065495
3322093,278,2002-01-01,14,40,12,52,10110,219.4700793694462
3322094,278,2002-01-01,15,50,-2,27,10110,12.63144841166612
3322095,278,2002-01-01,16,50,-5,4,10110,-97.38248738224945
3322096,278,2002-01-01,17,60,1,0,10110,0.0
3322097,278,2002-01-01,18,60,4,0,10110,0.0
3322098,278,2002-01-01,19,60,2,0,10110,0.0
3322099,278,2002-01-01,20,50,-1,0,10110,0.0
3322100,278,2002-01-01,21,50,-2,0,10110,0.0
3322101,278,2002-01-01,22,60,0,0,10110,0.0
3322102,278,2002-01-01,23,60,-1,0,10110,0.0
3322103,278,2002-01-01,24,50,3,0,10110,0.0
3322104,278,2002-01-02,1,50,5,0,10110,0.0
3322105,278,2002-01-02,2,40,5,0,10110,0.0
3322106,278,2002-01-02,3,40,2,0,10110,0.0
3322107,278,2002-01-02,4,40,-1,0,10110,0.0
3322108,278,2002-01-02,5,40,-3,0,10110,0.0
3322109,278,2002-01-02,6,40,-3,0,10110,0.0
3322110,278,2002-01-02,7,40,-5,0,10110,0.0
3322111,278,2002-01-02,8,40,-3,0,10110,0.0
3322112,278,2002-01-02,9,40,-2,7,10110,0.0
3322113,278,2002-01-02,10,20,-1,27,10110,0.0
3322114,278,2002-01-02,11,20,2,24,10110,0.0
3322115,278,2002-01-02,12,30,4,36,10110,0.0
3322116,278,2002-01-02,13,30,8,53,10110,330.5413912326337
3322117,278,2002-01-02,14,20,3,35,10110,44.73843224400729
3322118,278,2002-01-02,15,10,-7,14,10110,-32.90766768537375
3322119,278,2002-01-02,16,10,-29,2,10110,-118.1998776751911
3322120,278,2002-01-02,17,10,-41,0,10110,0.0
3322121,278,2002-01-02,18,10,-23,0,10110,0.0
3322122,278,2002-01-02,19,10,-19,0,10110,0.0
3322123,278,2002-01-02,20,10,-13,0,10110,0.0
3322124,278,2002-01-02,21,10,-9,0,10110,0.0
3322125,278,2002-01-02,22,10,-5,0,10110,0.0
3322126,278,2002-01-02,23,30,4,0,10110,0.0
3322127,278,2002-01-02,24,30,3,0,10110,0.0
3322128,278,2002-01-03,1,30,4,0,10110,0.0
3322129,278,2002-01-03,2,30,4,0,10110,0.0
3322130,278,2002-01-03,3,30,-3,0,10110,0.0
3322131,278,2002-01-03,4,40,-10,0,10110,0.0
3322132,278,2002-01-03,5,40,-19,0,10110,0.0
3322133,278,2002-01-03,6,50,-29,0,10110,0.0
3322134,278,2002-01-03,7,40,-39,0,10110,0.0
3322135,278,2002-01-03,8,40,-34,0,10110,0.0
3322136,278,2002-01-03,9,50,-34,15,10110,0.0
3322137,278,2002-01-03,10,40,-28,55,10110,0.0
3322138,278,2002-01-03,11,40,-25,78,10110,0.0
3322139,278,2002-01-03,12,50,-20,91,10110,0.0
3322140,278,2002-01-03,13,60,-19,80,10110,774.4723658138689
3322141,278,2002-01-03,14,50,-19,53,10110,224.5730926488523
3322142,278,2002-01-03,15,50,-22,25,10110,3.025304184893328
3322143,278,2002-01-03,16,50,-27,3,10110,-106.3900610048082
3322144,278,2002-01-03,17,50,-30,0,10110,0.0
3322145,278,2002-01-03,18,40,-34,0,10110,0.0
