,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
7772880,356,2012-01-01,1,70,106,0,10091,0.0
7772881,356,2012-01-01,2,60,112,0,10091,0.0
7772882,356,2012-01-01,3,60,111,0,10081,0.0
7772883,356,2012-01-01,4,60,113,0,10084,0.0
7772884,356,2012-01-01,5,70,113,0,10083,0.0
7772885,356,2012-01-01,6,70,115,0,10084,0.0
7772886,356,2012-01-01,7,70,115,0,10089,0.0
7772887,356,2012-01-01,8,60,114,0,10095,0.0
7772888,356,2012-01-01,9,60,114,2,10099,0.0
7772889,356,2012-01-01,10,50,114,6,10098,0.0
7772890,356,2012-01-01,11,50,116,10,10091,0.0
7772891,356,2012-01-01,12,50,118,11,10085,0.0
7772892,356,2012-01-01,13,60,124,16,10077,-25.90693892248509
7772893,356,2012-01-01,14,50,125,15,10070,-28.83364125734989
7772894,356,2012-01-01,15,50,125,7,10065,-61.89366908053922
7772895,356,2012-01-01,16,50,126,1,10054,-123.40839826252
7772896,356,2012-01-01,17,70,124,0,10045,0.0
7772897,356,2012-01-01,18,70,125,0,10033,0.0
7772898,356,2012-01-01,19,80,127,0,10020,0.0
7772899,356,2012-01-01,20,80,130,0,10010,0.0
7772900,356,2012-01-01,21,100,128,0,10003,0.0
7772901,356,2012-01-01,22,90,113,0,10014,0.0
7772902,356,2012-01-01,23,80,105,0,10023,0.0
7772903,356,2012-01-01,24,60,103,0,10028,0.0
7772904,356,2012-01-02,1,70,100,0,10032,0.0
7772905,356,2012-01-02,2,60,97,0,10033,0.0
7772906,356,2012-01-02,3,60,98,0,10033,0.0
7772907,356,2012-01-02,4,60,96,0,10037,0.0
7772908,356,2012-01-02,5,60,90,0,10036,0.0
7772909,356,2012-01-02,6,40,86,0,10040,0.0
7772910,356,2012-01-02,7,50,81,0,10045,0.0
7772911,356,2012-01-02,8,40,73,0,10054,0.0
7772912,356,2012-01-02,9,40,72,8,10064,0.0
7772913,356,2012-01-02,10,40,78,27,10071,0.0
7772914,356,2012-01-02,11,50,83,47,10073,0.0
7772915,356,2012-01-02,12,60,83,54,10075,0.0
7772916,356,2012-01-02,13,70,87,51,10081,267.0587540996525
7772917,356,2012-01-02,14,80,82,31,10089,18.52320297296437
7772918,356,2012-01-02,15,90,70,27,10098,7.264736878583927
7772919,356,2012-01-02,16,80,67,3,10110,-102.2111215363864
7772920,356,2012-01-02,17,70,58,0,10120,0.0
7772921,356,2012-01-02,18,60,49,0,10128,0.0
7772922,356,2012-01-02,19,50,49,0,10135,0.0
7772923,356,2012-01-02,20,60,43,0,10140,0.0
7772924,356,2012-01-02,21,50,38,0,10145,0.0
7772925,356,2012-01-02,22,50,37,0,10148,0.0
7772926,356,2012-01-02,23,60,43,0,10148,0.0
7772927,356,2012-01-02,24,60,43,0,10145,0.0
7772928,356,2012-01-03,1,60,45,0,10144,0.0
7772929,356,2012-01-03,2,70,50,0,10142,0.0
7772930,356,2012-01-03,3,70,51,0,10137,0.0
7772931,356,2012-01-03,4,70,55,0,10128,0.0
7772932,356,2012-01-03,5,70,53,0,10113,0.0
7772933,356,2012-01-03,6,80,56,0,10098,0.0
7772934,356,2012-01-03,7,80,60,0,10079,0.0
7772935,356,2012-01-03,8,100,61,0,10061,0.0
7772936,356,2012-01-03,9,120,73,1,10046,0.0
7772937,356,2012-01-03,10,130,88,4,10033,0.0
7772938,356,2012-01-03,11,130,98,12,10017,0.0
7772939,356,2012-01-03,12,140,105,23,10001,0.0
7772940,356,2012-01-03,13,150,102,20,9987,-12.80827533611399
7772941,356,2012-01-03,14,140,105,13,9969,-34.38806602404688
7772942,356,2012-01-03,15,140,106,4,9964,-78.25538624445375
7772943,356,2012-01-03,16,110,85,0,9994,0.0
7772944,356,2012-01-03,17,110,81,0,10006,0.0
7772945,356,2012-01-03,18,110,88,0,10013,0.0
7772946,356,2012-01-03,19,120,64,0,10027,0.0
7772947,356,2012-01-03,20,120,73,0,10043,0.0
7772948,356,2012-01-03,21,100,66,0,10054,0.0
7772949,356,2012-01-03,22,90,61,0,10060,0.0
7772950,356,2012-01-03,23,80,60,0,10061,0.0
7772951,356,2012-01-03,24,70,57,0,10061,0.0
7772952,356,2012-01-04,1,70,53,0,10060,0.0
7772953,356,2012-01-04,2,70,59,0,10061,0.0
7772954,356,2012-01-04,3,80,58,0,10057,0.0
7772955,356,2012-01-04,4,100,63,0,10064,0.0
7772956,356,2012-01-04,5,110,63,0,10080,0.0
7772957,356,2012-01-04,6,110,52,0,10096,0.0
7772958,356,2012-01-04,7,100,58,0,10111,0.0
7772959,356,2012-01-04,8,90,62,0,10129,0.0
7772960,356,2012-01-04,9,90,63,7,10141,0.0
7772961,356,2012-01-04,10,90,68,19,10151,0.0
7772962,356,2012-01-04,11,100,72,33,10158,0.0
7772963,356,2012-01-04,12,90,74,39,10156,0.0
7772964,356,2012-01-04,13,90,76,52,10153,275.0473517211894
7772965,356,2012-01-04,14,100,74,31,10149,17.19176715608254
7772966,356,2012-01-04,15,90,71,15,10146,-29.45818330185084
7772967,356,2012-01-04,16,90,71,2,10136,-110.9295317995811
7772968,356,2012-01-04,17,80,68,0,10128,0.0
7772969,356,2012-01-04,18,90,68,0,10115,0.0
7772970,356,2012-01-04,19,90,72,0,10092,0.0
7772971,356,2012-01-04,20,110,71,0,10073,0.0
7772972,356,2012-01-04,21,110,73,0,10047,0.0
7772973,356,2012-01-04,22,130,78,0,10021,0.0
7772974,356,2012-01-04,23,140,79,0,9993,0.0
7772975,356,2012-01-04,24,130,83,0,9977,0.0
7772976,356,2012-01-05,1,130,87,0,9964,0.0
7772977,356,2012-01-05,2,140,87,0,9953,0.0
7772978,356,2012-01-05,3,130,87,0,9938,0.0
7772979,356,2012-01-05,4,130,97,0,9921,0.0
7772980,356,2012-01-05,5,150,102,0,9911,0.0
7772981,356,2012-01-05,6,150,71,0,9910,0.0
7772982,356,2012-01-05,7,100,73,0,9895,0.0
7772983,356,2012-01-05,8,100,88,0,9895,0.0
7772984,356,2012-01-05,9,140,80,11,9896,0.0
7772985,356,2012-01-05,10,120,84,14,9896,0.0
7772986,356,2012-01-05,11,150,82,48,9904,0.0
7772987,356,2012-01-05,12,140,81,34,9912,0.0
7772988,356,2012-01-05,13,140,79,29,9920,21.97663587474455
7772989,356,2012-01-05,14,130,77,29,9927,9.757884319874492
7772990,356,2012-01-05,15,130,76,14,9942,-31.38027743414353
7772991,356,2012-01-05,16,120,74,5,9955,-81.6857100358713
7772992,356,2012-01-05,17,90,60,0,9978,0.0
7772993,356,2012-01-05,18,90,61,0,9996,0.0
7772994,356,2012-01-05,19,110,60,0,10013,0.0
7772995,356,2012-01-05,20,110,49,0,10032,0.0
7772996,356,2012-01-05,21,110,43,0,10039,0.0
7772997,356,2012-01-05,22,110,50,0,10051,0.0
7772998,356,2012-01-05,23,90,43,0,10063,0.0
7772999,356,2012-01-05,24,70,39,0,10073,0.0
7773000,356,2012-01-06,1,80,50,0,10082,0.0
7773001,356,2012-01-06,2,90,56,0,10092,0.0
7773002,356,2012-01-06,3,90,60,0,10103,0.0
7773003,356,2012-01-06,4,90,64,0,10114,0.0
7773004,356,2012-01-06,5,100,67,0,10126,0.0
7773005,356,2012-01-06,6,90,70,0,10134,0.0
7773006,356,2012-01-06,7,90,64,0,10148,0.0
7773007,356,2012-01-06,8,70,66,0,10166,0.0
7773008,356,2012-01-06,9,70,71,10,10180,0.0
7773009,356,2012-01-06,10,70,73,17,10196,0.0
7773010,356,2012-01-06,11,70,79,37,10197,0.0
7773011,356,2012-01-06,12,80,79,45,10204,0.0
7773012,356,2012-01-06,13,80,78,41,10207,113.7754321000496
7773013,356,2012-01-06,14,60,76,25,10217,-3.259126665791645
7773014,356,2012-01-06,15,60,71,14,10221,-32.89990523094582
7773015,356,2012-01-06,16,60,63,3,10224,-100.5230618721804
7773016,356,2012-01-06,17,50,63,0,10222,0.0
7773017,356,2012-01-06,18,50,57,0,10221,0.0
7773018,356,2012-01-06,19,50,43,0,10222,0.0
7773019,356,2012-01-06,20,40,38,0,10223,0.0
7773020,356,2012-01-06,21,50,37,0,10214,0.0
7773021,356,2012-01-06,22,50,40,0,10209,0.0
7773022,356,2012-01-06,23,50,43,0,10197,0.0
7773023,356,2012-01-06,24,50,48,0,10185,0.0
7773024,356,2012-01-07,1,70,51,0,10171,0.0
7773025,356,2012-01-07,2,70,58,0,10163,0.0
7773026,356,2012-01-07,3,70,65,0,10151,0.0
7773027,356,2012-01-07,4,80,72,0,10140,0.0
7773028,356,2012-01-07,5,80,76,0,10132,0.0
7773029,356,2012-01-07,6,80,85,0,10130,0.0
7773030,356,2012-01-07,7,80,91,0,10130,0.0
7773031,356,2012-01-07,8,100,90,0,10138,0.0
7773032,356,2012-01-07,9,100,87,7,10146,0.0
7773033,356,2012-01-07,10,90,87,26,10148,0.0
7773034,356,2012-01-07,11,90,90,43,10149,0.0
7773035,356,2012-01-07,12,100,86,48,10153,547.178261357213
7773036,356,2012-01-07,13,100,84,20,10152,-14.06987040991186
7773037,356,2012-01-07,14,100,82,18,10157,-20.78088680109247
7773038,356,2012-01-07,15,100,79,9,10165,-51.31052076304649
7773039,356,2012-01-07,16,100,79,2,10174,-108.6145485997359
7773040,356,2012-01-07,17,90,76,0,10180,0.0
7773041,356,2012-01-07,18,80,75,0,10184,0.0
7773042,356,2012-01-07,19,70,71,0,10187,0.0
7773043,356,2012-01-07,20,60,65,0,10190,0.0
7773044,356,2012-01-07,21,60,64,0,10192,0.0
7773045,356,2012-01-07,22,60,64,0,10191,0.0
7773046,356,2012-01-07,23,60,63,0,10190,0.0
7773047,356,2012-01-07,24,60,69,0,10186,0.0
7773048,356,2012-01-08,1,70,74,0,10186,0.0
7773049,356,2012-01-08,2,70,71,0,10187,0.0
7773050,356,2012-01-08,3,70,70,0,10185,0.0
7773051,356,2012-01-08,4,60,66,0,10187,0.0
7773052,356,2012-01-08,5,60,63,0,10187,0.0
7773053,356,2012-01-08,6,60,66,0,10194,0.0
7773054,356,2012-01-08,7,50,59,0,10196,0.0
7773055,356,2012-01-08,8,50,53,1,10203,0.0
7773056,356,2012-01-08,9,40,54,12,10209,0.0
