,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
6431736,330,2006-01-01,1,70,40,0,9957,0.0
6431737,330,2006-01-01,2,70,44,0,9960,0.0
6431738,330,2006-01-01,3,60,43,0,9962,0.0
6431739,330,2006-01-01,4,60,35,0,9963,0.0
6431740,330,2006-01-01,5,60,31,0,9969,0.0
6431741,330,2006-01-01,6,70,28,0,9973,0.0
6431742,330,2006-01-01,7,70,23,0,9979,0.0
6431743,330,2006-01-01,8,70,28,0,9989,0.0
6431744,330,2006-01-01,9,70,34,3,9996,0.0
6431745,330,2006-01-01,10,70,40,9,10005,0.0
6431746,330,2006-01-01,11,50,44,10,10011,0.0
6431747,330,2006-01-01,12,40,47,13,10016,0.0
6431748,330,2006-01-01,13,30,48,10,10020,-49.03120607019549
6431749,330,2006-01-01,14,20,49,6,10029,-65.60519165831776
6431750,330,2006-01-01,15,10,50,3,10042,-86.75310185512664
6431751,330,2006-01-01,16,0,48,0,10056,0.0
6431752,330,2006-01-01,17,10,50,0,10068,0.0
6431753,330,2006-01-01,18,30,52,0,10080,0.0
6431754,330,2006-01-01,19,20,51,0,10092,0.0
6431755,330,2006-01-01,20,20,49,0,10104,0.0
6431756,330,2006-01-01,21,20,50,0,10115,0.0
6431757,330,2006-01-01,22,20,49,0,10125,0.0
6431758,330,2006-01-01,23,30,49,0,10134,0.0
6431759,330,2006-01-01,24,30,40,0,10140,0.0
6431760,330,2006-01-02,1,30,33,0,10149,0.0
6431761,330,2006-01-02,2,20,34,0,10161,0.0
6431762,330,2006-01-02,3,20,29,0,10167,0.0
6431763,330,2006-01-02,4,20,30,0,10175,0.0
6431764,330,2006-01-02,5,10,33,0,10180,0.0
6431765,330,2006-01-02,6,30,48,0,10189,0.0
6431766,330,2006-01-02,7,20,47,0,10196,0.0
6431767,330,2006-01-02,8,20,39,0,10206,0.0
6431768,330,2006-01-02,9,10,38,2,10215,0.0
6431769,330,2006-01-02,10,20,49,16,10227,0.0
6431770,330,2006-01-02,11,50,54,25,10230,0.0
6431771,330,2006-01-02,12,40,58,26,10233,0.0
6431772,330,2006-01-02,13,40,60,33,10236,56.2703224924049
6431773,330,2006-01-02,14,40,58,29,10239,11.64544941375892
6431774,330,2006-01-02,15,30,52,16,10244,-26.950714819765
6431775,330,2006-01-02,16,30,44,4,10251,-93.60691362387462
6431776,330,2006-01-02,17,20,45,0,10257,0.0
6431777,330,2006-01-02,18,30,46,0,10259,0.0
6431778,330,2006-01-02,19,10,42,0,10267,0.0
6431779,330,2006-01-02,20,20,35,0,10270,0.0
6431780,330,2006-01-02,21,20,38,0,10274,0.0
6431781,330,2006-01-02,22,20,36,0,10276,0.0
6431782,330,2006-01-02,23,10,31,0,10277,0.0
6431783,330,2006-01-02,24,0,24,0,10280,0.0
6431784,330,2006-01-03,1,10,7,0,10279,0.0
6431785,330,2006-01-03,2,20,8,0,10281,0.0
6431786,330,2006-01-03,3,20,0,0,10281,0.0
6431787,330,2006-01-03,4,20,-4,0,10283,0.0
6431788,330,2006-01-03,5,30,3,0,10288,0.0
6431789,330,2006-01-03,6,40,18,0,10292,0.0
6431790,330,2006-01-03,7,50,16,0,10291,0.0
6431791,330,2006-01-03,8,40,15,1,10294,0.0
6431792,330,2006-01-03,9,50,30,18,10299,0.0
6431793,330,2006-01-03,10,50,33,30,10306,0.0
6431794,330,2006-01-03,11,60,42,50,10297,0.0
6431795,330,2006-01-03,12,60,45,79,10294,0.0
6431796,330,2006-01-03,13,50,43,40,10295,123.7223631312286
6431797,330,2006-01-03,14,60,40,34,10292,33.12256417837065
6431798,330,2006-01-03,15,50,40,13,10293,-36.9916844268723
6431799,330,2006-01-03,16,60,38,1,10294,-123.1300876331487
6431800,330,2006-01-03,17,50,35,0,10295,0.0
6431801,330,2006-01-03,18,50,34,0,10293,0.0
