,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
3558744,279,2008-01-01,1,10,-33,0,10284,0.0
3558745,279,2008-01-01,2,10,-32,0,10284,0.0
3558746,279,2008-01-01,3,10,-30,0,10281,0.0
3558747,279,2008-01-01,4,10,-31,0,10279,0.0
3558748,279,2008-01-01,5,10,-30,0,10277,0.0
3558749,279,2008-01-01,6,10,-28,0,10275,0.0
3558750,279,2008-01-01,7,10,-28,0,10273,0.0
3558751,279,2008-01-01,8,10,-26,0,10273,0.0
3558752,279,2008-01-01,9,10,-25,5,10276,0.0
3558753,279,2008-01-01,10,20,-16,12,10277,0.0
3558754,279,2008-01-01,11,20,-8,19,10274,0.0
3558755,279,2008-01-01,12,20,-3,20,10271,0.0
3558756,279,2008-01-01,13,20,-1,19,10268,-15.3010825379408
3558757,279,2008-01-01,14,20,3,16,10266,-27.05459595811486
3558758,279,2008-01-01,15,20,6,12,10264,-41.57810371631008
3558759,279,2008-01-01,16,30,4,1,10264,-136.5847403502303
3558760,279,2008-01-01,17,30,2,0,10268,0.0
3558761,279,2008-01-01,18,30,1,0,10269,0.0
3558762,279,2008-01-01,19,30,-1,0,10269,0.0
3558763,279,2008-01-01,20,30,-3,0,10267,0.0
3558764,279,2008-01-01,21,30,-4,0,10268,0.0
3558765,279,2008-01-01,22,30,-2,0,10266,0.0
3558766,279,2008-01-01,23,30,-11,0,10266,0.0
3558767,279,2008-01-01,24,30,-24,0,10266,0.0
3558768,279,2008-01-02,1,20,-32,0,10264,0.0
3558769,279,2008-01-02,2,20,-25,0,10263,0.0
3558770,279,2008-01-02,3,30,-26,0,10261,0.0
3558771,279,2008-01-02,4,30,-31,0,10260,0.0
3558772,279,2008-01-02,5,30,-30,0,10256,0.0
3558773,279,2008-01-02,6,20,-36,0,10255,0.0
3558774,279,2008-01-02,7,30,-34,0,10253,0.0
3558775,279,2008-01-02,8,20,-36,0,10252,0.0
3558776,279,2008-01-02,9,10,-20,6,10252,0.0
3558777,279,2008-01-02,10,20,-9,6,10250,0.0
3558778,279,2008-01-02,11,20,-7,11,10244,0.0
3558779,279,2008-01-02,12,20,-3,13,10235,0.0
3558780,279,2008-01-02,13,30,4,13,10227,-37.45915869974838
3558781,279,2008-01-02,14,50,6,50,10222,205.0008281721486
3558782,279,2008-01-02,15,50,4,19,10217,-16.57716667583929
3558783,279,2008-01-02,16,50,0,2,10212,-122.1417473509822
3558784,279,2008-01-02,17,60,-1,0,10208,0.0
3558785,279,2008-01-02,18,70,-6,0,10204,0.0
3558786,279,2008-01-02,19,80,-7,0,10200,0.0
3558787,279,2008-01-02,20,80,-8,0,10195,0.0
3558788,279,2008-01-02,21,70,-4,0,10187,0.0
3558789,279,2008-01-02,22,80,-3,0,10180,0.0
3558790,279,2008-01-02,23,70,-4,0,10173,0.0
3558791,279,2008-01-02,24,60,-4,0,10164,0.0
3558792,279,2008-01-03,1,70,-2,0,10155,0.0
3558793,279,2008-01-03,2,70,0,0,10149,0.0
3558794,279,2008-01-03,3,70,-3,0,10143,0.0
3558795,279,2008-01-03,4,80,-2,0,10135,0.0
3558796,279,2008-01-03,5,80,-4,0,10129,0.0
3558797,279,2008-01-03,6,80,-6,0,10121,0.0
3558798,279,2008-01-03,7,80,-8,0,10119,0.0
3558799,279,2008-01-03,8,90,-11,0,10116,0.0
3558800,279,2008-01-03,9,90,-12,4,10111,0.0
3558801,279,2008-01-03,10,90,-11,24,10109,0.0
3558802,279,2008-01-03,11,90,-9,42,10103,0.0
3558803,279,2008-01-03,12,90,-9,31,10098,0.0
3558804,279,2008-01-03,13,90,-9,36,10093,88.70002176399815
3558805,279,2008-01-03,14,90,-11,33,10093,36.04354721474356
3558806,279,2008-01-03,15,80,-12,11,10095,-44.56388372396867
3558807,279,2008-01-03,16,90,-13,1,10095,-132.4935419573119
3558808,279,2008-01-03,17,80,-15,0,10098,0.0
3558809,279,2008-01-03,18,80,-14,0,10099,0.0
3558810,279,2008-01-03,19,80,-12,0,10100,0.0
3558811,279,2008-01-03,20,80,-10,0,10103,0.0
3558812,279,2008-01-03,21,70,-7,0,10102,0.0
3558813,279,2008-01-03,22,70,-6,0,10103,0.0
3558814,279,2008-01-03,23,70,-6,0,10102,0.0
3558815,279,2008-01-03,24,70,-5,0,10103,0.0
3558816,279,2008-01-04,1,70,-4,0,10102,0.0
3558817,279,2008-01-04,2,70,-6,0,10103,0.0
3558818,279,2008-01-04,3,60,-9,0,10109,0.0
3558819,279,2008-01-04,4,60,-6,0,10109,0.0
3558820,279,2008-01-04,5,60,-5,0,10111,0.0
3558821,279,2008-01-04,6,70,-5,0,10106,0.0
3558822,279,2008-01-04,7,70,-5,0,10112,0.0
3558823,279,2008-01-04,8,60,-4,0,10111,0.0
3558824,279,2008-01-04,9,60,-2,8,10115,0.0
3558825,279,2008-01-04,10,60,-2,17,10113,0.0
3558826,279,2008-01-04,11,60,5,40,10111,0.0
3558827,279,2008-01-04,12,60,7,42,10108,0.0
3558828,279,2008-01-04,13,50,9,21,10107,-8.125812284631253
3558829,279,2008-01-04,14,50,14,18,10106,-20.40000546433347
3558830,279,2008-01-04,15,50,14,11,10106,-44.51210122741507
3558831,279,2008-01-04,16,50,9,1,10106,-131.5025781266979
3558832,279,2008-01-04,17,50,10,0,10101,0.0
3558833,279,2008-01-04,18,70,9,0,10084,0.0
3558834,279,2008-01-04,19,70,10,0,10078,0.0
3558835,279,2008-01-04,20,70,11,0,10072,0.0
3558836,279,2008-01-04,21,60,17,0,10061,0.0
3558837,279,2008-01-04,22,60,21,0,10054,0.0
3558838,279,2008-01-04,23,60,25,0,10049,0.0
3558839,279,2008-01-04,24,50,29,0,10041,0.0
3558840,279,2008-01-05,1,50,45,0,10031,0.0
3558841,279,2008-01-05,2,70,52,0,10022,0.0
3558842,279,2008-01-05,3,80,49,0,10014,0.0
3558843,279,2008-01-05,4,70,49,0,10007,0.0
3558844,279,2008-01-05,5,80,52,0,9999,0.0
3558845,279,2008-01-05,6,80,56,0,9996,0.0
3558846,279,2008-01-05,7,80,62,0,9993,0.0
3558847,279,2008-01-05,8,80,64,0,9995,0.0
3558848,279,2008-01-05,9,80,63,2,9998,0.0
3558849,279,2008-01-05,10,70,63,15,10001,0.0
3558850,279,2008-01-05,11,70,68,35,10003,0.0
3558851,279,2008-01-05,12,60,74,36,10000,0.0
3558852,279,2008-01-05,13,60,79,40,9998,127.0861125593581
3558853,279,2008-01-05,14,60,73,12,10001,-38.81659312211639
3558854,279,2008-01-05,15,60,64,7,10004,-63.12103490181681
3558855,279,2008-01-05,16,50,60,1,10007,-129.1676567913171
3558856,279,2008-01-05,17,60,59,0,10011,0.0
3558857,279,2008-01-05,18,50,60,0,10014,0.0
3558858,279,2008-01-05,19,50,60,0,10015,0.0
3558859,279,2008-01-05,20,50,49,0,10018,0.0
3558860,279,2008-01-05,21,40,39,0,10020,0.0
