,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
1521024,251,2006-01-01,1,60,30,0,9938,0.0
1521025,251,2006-01-01,2,60,26,0,9943,0.0
1521026,251,2006-01-01,3,70,28,0,9949,0.0
1521027,251,2006-01-01,4,60,28,0,9953,0.0
1521028,251,2006-01-01,5,60,25,0,9957,0.0
1521029,251,2006-01-01,6,60,27,0,9964,0.0
1521030,251,2006-01-01,7,60,27,0,9975,0.0
1521031,251,2006-01-01,8,30,30,0,9983,0.0
1521032,251,2006-01-01,9,60,32,4,9995,0.0
1521033,251,2006-01-01,10,50,33,19,10007,0.0
1521034,251,2006-01-01,11,50,29,24,10014,0.0
1521035,251,2006-01-01,12,60,26,27,10021,0.0
1521036,251,2006-01-01,13,50,24,30,10028,56.92515923672487
1521037,251,2006-01-01,14,50,23,18,10037,-19.31430101529487
1521038,251,2006-01-01,15,40,22,3,10048,-94.49370774267422
1521039,251,2006-01-01,16,30,22,0,10062,0.0
1521040,251,2006-01-01,17,40,24,0,10072,0.0
1521041,251,2006-01-01,18,30,23,0,10083,0.0
1521042,251,2006-01-01,19,40,24,0,10093,0.0
1521043,251,2006-01-01,20,30,27,0,10103,0.0
1521044,251,2006-01-01,21,30,21,0,10113,0.0
1521045,251,2006-01-01,22,20,31,0,10122,0.0
1521046,251,2006-01-01,23,20,32,0,10130,0.0
1521047,251,2006-01-01,24,20,34,0,10139,0.0
1521048,251,2006-01-02,1,20,47,0,10147,0.0
1521049,251,2006-01-02,2,30,52,0,10160,0.0
1521050,251,2006-01-02,3,50,48,0,10168,0.0
1521051,251,2006-01-02,4,50,48,0,10175,0.0
1521052,251,2006-01-02,5,50,45,0,10182,0.0
1521053,251,2006-01-02,6,40,39,0,10192,0.0
1521054,251,2006-01-02,7,30,23,0,10201,0.0
1521055,251,2006-01-02,8,20,19,0,10209,0.0
1521056,251,2006-01-02,9,20,22,11,10217,0.0
1521057,251,2006-01-02,10,20,44,40,10225,0.0
1521058,251,2006-01-02,11,10,52,41,10231,0.0
1521059,251,2006-01-02,12,20,55,36,10232,0.0
1521060,251,2006-01-02,13,20,54,40,10236,179.6319492007275
1521061,251,2006-01-02,14,20,39,20,10240,-13.76688147308307
1521062,251,2006-01-02,15,10,31,6,10245,-73.51299439574119
1521063,251,2006-01-02,16,10,5,1,10252,-137.9420093342173
1521064,251,2006-01-02,17,0,-12,0,10257,0.0
1521065,251,2006-01-02,18,10,-15,0,10259,0.0
1521066,251,2006-01-02,19,20,-18,0,10264,0.0
1521067,251,2006-01-02,20,30,-21,0,10265,0.0
1521068,251,2006-01-02,21,20,15,0,10271,0.0
1521069,251,2006-01-02,22,30,7,0,10272,0.0
1521070,251,2006-01-02,23,30,-5,0,10274,0.0
1521071,251,2006-01-02,24,40,-7,0,10274,0.0
1521072,251,2006-01-03,1,30,-7,0,10273,0.0
1521073,251,2006-01-03,2,20,-14,0,10275,0.0
1521074,251,2006-01-03,3,20,2,0,10277,0.0
1521075,251,2006-01-03,4,20,-1,0,10278,0.0
1521076,251,2006-01-03,5,20,-4,0,10280,0.0
1521077,251,2006-01-03,6,40,-17,0,10281,0.0
1521078,251,2006-01-03,7,20,-14,0,10281,0.0
1521079,251,2006-01-03,8,20,-24,0,10284,0.0
1521080,251,2006-01-03,9,30,11,33,10288,0.0
1521081,251,2006-01-03,10,40,26,40,10291,0.0
1521082,251,2006-01-03,11,50,25,36,10287,0.0
1521083,251,2006-01-03,12,60,32,43,10288,0.0
1521084,251,2006-01-03,13,60,29,39,10282,160.9957259850119
1521085,251,2006-01-03,14,60,31,22,10281,-7.42646289289952
1521086,251,2006-01-03,15,50,25,7,10284,-67.18981257750183
1521087,251,2006-01-03,16,40,23,0,10290,0.0
1521088,251,2006-01-03,17,40,25,0,10292,0.0
1521089,251,2006-01-03,18,50,20,0,10290,0.0
1521090,251,2006-01-03,19,60,20,0,10290,0.0
1521091,251,2006-01-03,20,60,23,0,10291,0.0
1521092,251,2006-01-03,21,60,20,0,10294,0.0
1521093,251,2006-01-03,22,70,22,0,10297,0.0
1521094,251,2006-01-03,23,60,21,0,10299,0.0
1521095,251,2006-01-03,24,60,20,0,10301,0.0
1521096,251,2006-01-04,1,60,15,0,10304,0.0
1521097,251,2006-01-04,2,50,17,0,10306,0.0
1521098,251,2006-01-04,3,40,17,0,10308,0.0
1521099,251,2006-01-04,4,40,17,0,10311,0.0
1521100,251,2006-01-04,5,40,17,0,10313,0.0
1521101,251,2006-01-04,6,40,16,0,10319,0.0
1521102,251,2006-01-04,7,40,7,0,10324,0.0
1521103,251,2006-01-04,8,40,2,0,10331,0.0
1521104,251,2006-01-04,9,40,8,10,10335,0.0
1521105,251,2006-01-04,10,20,16,38,10340,0.0
1521106,251,2006-01-04,11,20,16,37,10342,0.0
1521107,251,2006-01-04,12,30,27,35,10337,0.0
1521108,251,2006-01-04,13,20,37,36,10333,116.6443992745071
1521109,251,2006-01-04,14,20,37,23,10331,-4.399777988034772
1521110,251,2006-01-04,15,20,37,10,10329,-51.05981984144459
1521111,251,2006-01-04,16,40,23,1,10330,-136.6154987346609
1521112,251,2006-01-04,17,60,19,0,10328,0.0
1521113,251,2006-01-04,18,90,10,0,10328,0.0
