,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
3848016,283,1999-01-01,1,30,47,0,10110,0.0
3848017,283,1999-01-01,2,30,45,0,10110,0.0
3848018,283,1999-01-01,3,20,41,0,10110,0.0
3848019,283,1999-01-01,4,30,38,0,10110,0.0
3848020,283,1999-01-01,5,30,37,0,10110,0.0
3848021,283,1999-01-01,6,30,38,0,10110,0.0
3848022,283,1999-01-01,7,30,29,0,10110,0.0
3848023,283,1999-01-01,8,20,29,0,10110,0.0
3848024,283,1999-01-01,9,20,34,8,10110,0.0
3848025,283,1999-01-01,10,20,47,24,10110,0.0
3848026,283,1999-01-01,11,20,53,17,10110,0.0
3848027,283,1999-01-01,12,20,64,24,10110,0.0
3848028,283,1999-01-01,13,30,77,51,10110,267.1317341966966
3848029,283,1999-01-01,14,30,81,29,10110,12.32840998892755
3848030,283,1999-01-01,15,30,74,21,10110,-10.9883077245338
3848031,283,1999-01-01,16,30,69,3,10110,-106.3763519944764
3848032,283,1999-01-01,17,30,64,0,10110,0.0
3848033,283,1999-01-01,18,30,58,0,10110,0.0
3848034,283,1999-01-01,19,30,54,0,10110,0.0
3848035,283,1999-01-01,20,30,66,0,10110,0.0
3848036,283,1999-01-01,21,30,66,0,10110,0.0
3848037,283,1999-01-01,22,40,70,0,10110,0.0
3848038,283,1999-01-01,23,40,66,0,10110,0.0
3848039,283,1999-01-01,24,40,53,0,10110,0.0
3848040,283,1999-01-02,1,40,48,0,10110,0.0
3848041,283,1999-01-02,2,40,49,0,10110,0.0
3848042,283,1999-01-02,3,40,49,0,10110,0.0
3848043,283,1999-01-02,4,40,48,0,10110,0.0
3848044,283,1999-01-02,5,50,49,0,10110,0.0
3848045,283,1999-01-02,6,50,49,0,10110,0.0
3848046,283,1999-01-02,7,40,58,0,10110,0.0
3848047,283,1999-01-02,8,40,69,0,10110,0.0
3848048,283,1999-01-02,9,50,72,4,10110,0.0
3848049,283,1999-01-02,10,60,81,19,10110,0.0
3848050,283,1999-01-02,11,70,86,31,10110,0.0
3848051,283,1999-01-02,12,70,83,21,10110,20.74146547780798
3848052,283,1999-01-02,13,60,88,17,10110,-22.86816918805695
3848053,283,1999-01-02,14,70,77,7,10110,-60.68999570945061
3848054,283,1999-01-02,15,60,71,4,10110,-81.65357221113895
3848055,283,1999-01-02,16,50,71,0,10110,0.0
3848056,283,1999-01-02,17,50,74,0,10110,0.0
3848057,283,1999-01-02,18,40,68,0,10110,0.0
3848058,283,1999-01-02,19,30,69,0,10110,0.0
3848059,283,1999-01-02,20,40,63,0,10110,0.0
3848060,283,1999-01-02,21,40,56,0,10110,0.0
3848061,283,1999-01-02,22,40,55,0,10110,0.0
3848062,283,1999-01-02,23,40,55,0,10110,0.0
3848063,283,1999-01-02,24,40,57,0,10110,0.0
3848064,283,1999-01-03,1,40,62,0,10110,0.0
3848065,283,1999-01-03,2,40,57,0,10110,0.0
3848066,283,1999-01-03,3,40,57,0,10110,0.0
3848067,283,1999-01-03,4,50,57,0,10110,0.0
3848068,283,1999-01-03,5,50,56,0,10110,0.0
3848069,283,1999-01-03,6,60,52,0,10110,0.0
3848070,283,1999-01-03,7,50,42,0,10110,0.0
3848071,283,1999-01-03,8,50,40,0,10110,0.0
3848072,283,1999-01-03,9,50,44,15,10110,0.0
3848073,283,1999-01-03,10,60,50,28,10110,0.0
3848074,283,1999-01-03,11,70,53,25,10110,0.0
3848075,283,1999-01-03,12,60,56,21,10110,19.84569622581578
3848076,283,1999-01-03,13,70,42,3,10110,-91.02344709973491
3848077,283,1999-01-03,14,70,40,4,10110,-77.63990991953048
3848078,283,1999-01-03,15,60,46,2,10110,-95.96330597761798
3848079,283,1999-01-03,16,50,54,0,10110,0.0
3848080,283,1999-01-03,17,40,58,0,10110,0.0
3848081,283,1999-01-03,18,30,60,0,10110,0.0
3848082,283,1999-01-03,19,40,68,0,10110,0.0
3848083,283,1999-01-03,20,30,71,0,10110,0.0
3848084,283,1999-01-03,21,60,67,0,10110,0.0
3848085,283,1999-01-03,22,60,53,0,10110,0.0
3848086,283,1999-01-03,23,40,50,0,10110,0.0
3848087,283,1999-01-03,24,30,50,0,10110,0.0
3848088,283,1999-01-04,1,50,56,0,10110,0.0
3848089,283,1999-01-04,2,40,55,0,10110,0.0
3848090,283,1999-01-04,3,30,55,0,10110,0.0
3848091,283,1999-01-04,4,40,53,0,10110,0.0
3848092,283,1999-01-04,5,50,55,0,10110,0.0
3848093,283,1999-01-04,6,60,59,0,10110,0.0
3848094,283,1999-01-04,7,70,67,0,10110,0.0
3848095,283,1999-01-04,8,70,73,0,10110,0.0
3848096,283,1999-01-04,9,70,81,1,10110,0.0
3848097,283,1999-01-04,10,70,95,5,10110,0.0
3848098,283,1999-01-04,11,70,103,11,10110,0.0
3848099,283,1999-01-04,12,60,109,11,10110,-44.50710622459233
3848100,283,1999-01-04,13,60,120,7,10110,-64.05749921331942
3848101,283,1999-01-04,14,80,121,6,10110,-65.50075866342516
3848102,283,1999-01-04,15,80,122,3,10110,-87.80566086647794
3848103,283,1999-01-04,16,60,126,0,10110,0.0
3848104,283,1999-01-04,17,80,127,0,10110,0.0
3848105,283,1999-01-04,18,70,124,0,10110,0.0
3848106,283,1999-01-04,19,60,123,0,10110,0.0
3848107,283,1999-01-04,20,70,121,0,10110,0.0
3848108,283,1999-01-04,21,50,114,0,10110,0.0
3848109,283,1999-01-04,22,40,106,0,10110,0.0
3848110,283,1999-01-04,23,40,103,0,10110,0.0
3848111,283,1999-01-04,24,40,105,0,10110,0.0
3848112,283,1999-01-05,1,30,105,0,10110,0.0
3848113,283,1999-01-05,2,60,103,0,10110,0.0
3848114,283,1999-01-05,3,40,102,0,10110,0.0
3848115,283,1999-01-05,4,40,114,0,10110,0.0
3848116,283,1999-01-05,5,60,119,0,10110,0.0
3848117,283,1999-01-05,6,70,121,0,10110,0.0
3848118,283,1999-01-05,7,70,122,0,10110,0.0
3848119,283,1999-01-05,8,70,122,0,10110,0.0
3848120,283,1999-01-05,9,70,124,7,10110,0.0
3848121,283,1999-01-05,10,80,126,25,10110,0.0
3848122,283,1999-01-05,11,80,127,62,10110,0.0
3848123,283,1999-01-05,12,70,130,60,10110,714.0522624929009
3848124,283,1999-01-05,13,60,136,53,10110,280.9573543752963
3848125,283,1999-01-05,14,50,137,48,10110,136.4706554386042
3848126,283,1999-01-05,15,40,131,21,10110,-11.81152395393548
3848127,283,1999-01-05,16,30,117,3,10110,-103.5811574565476
3848128,283,1999-01-05,17,30,107,0,10110,0.0
3848129,283,1999-01-05,18,30,109,0,10110,0.0
3848130,283,1999-01-05,19,30,107,0,10110,0.0
3848131,283,1999-01-05,20,40,109,0,10110,0.0
3848132,283,1999-01-05,21,30,101,0,10110,0.0
3848133,283,1999-01-05,22,30,98,0,10110,0.0
3848134,283,1999-01-05,23,40,101,0,10110,0.0
3848135,283,1999-01-05,24,40,98,0,10110,0.0
3848136,283,1999-01-06,1,40,95,0,10110,0.0
3848137,283,1999-01-06,2,40,93,0,10110,0.0
3848138,283,1999-01-06,3,40,90,0,10110,0.0
3848139,283,1999-01-06,4,50,90,0,10110,0.0
3848140,283,1999-01-06,5,50,91,0,10110,0.0
3848141,283,1999-01-06,6,50,91,0,10110,0.0
3848142,283,1999-01-06,7,50,86,0,10110,0.0
3848143,283,1999-01-06,8,40,77,0,10110,0.0
3848144,283,1999-01-06,9,50,86,14,10110,0.0
3848145,283,1999-01-06,10,60,97,38,10110,0.0
3848146,283,1999-01-06,11,60,113,70,10110,0.0
3848147,283,1999-01-06,12,60,121,73,10110,693.7578319867658
3848148,283,1999-01-06,13,60,124,69,10110,588.9071578276064
3848149,283,1999-01-06,14,50,128,57,10110,242.7221686223179
3848150,283,1999-01-06,15,50,125,28,10110,10.76794134990303
3848151,283,1999-01-06,16,50,119,3,10110,-102.7901359946838
3848152,283,1999-01-06,17,50,107,0,10110,0.0
3848153,283,1999-01-06,18,50,108,0,10110,0.0
3848154,283,1999-01-06,19,60,109,0,10110,0.0
3848155,283,1999-01-06,20,50,102,0,10110,0.0
3848156,283,1999-01-06,21,50,98,0,10110,0.0
3848157,283,1999-01-06,22,60,99,0,10110,0.0
3848158,283,1999-01-06,23,60,96,0,10110,0.0
3848159,283,1999-01-06,24,60,91,0,10110,0.0
3848160,283,1999-01-07,1,60,94,0,10110,0.0
3848161,283,1999-01-07,2,70,88,0,10110,0.0
3848162,283,1999-01-07,3,70,90,0,10110,0.0
3848163,283,1999-01-07,4,80,89,0,10110,0.0
3848164,283,1999-01-07,5,60,88,0,10110,0.0
3848165,283,1999-01-07,6,70,61,0,10110,0.0
3848166,283,1999-01-07,7,40,58,0,10110,0.0
3848167,283,1999-01-07,8,30,56,0,10110,0.0
3848168,283,1999-01-07,9,30,57,4,10110,0.0
3848169,283,1999-01-07,10,30,60,20,10110,0.0
3848170,283,1999-01-07,11,40,66,21,10110,0.0
3848171,283,1999-01-07,12,50,66,28,10110,87.57898131945959
3848172,283,1999-01-07,13,50,69,25,10110,2.473258604575556
3848173,283,1999-01-07,14,40,69,31,10110,16.2077726240793
3848174,283,1999-01-07,15,40,67,12,10110,-39.38994158746831
3848175,283,1999-01-07,16,40,63,1,10110,-122.8128935505925
3848176,283,1999-01-07,17,40,61,0,10110,0.0
3848177,283,1999-01-07,18,40,59,0,10110,0.0
3848178,283,1999-01-07,19,30,57,0,10110,0.0
3848179,283,1999-01-07,20,30,54,0,10110,0.0
3848180,283,1999-01-07,21,40,52,0,10110,0.0
3848181,283,1999-01-07,22,40,53,0,10110,0.0
3848182,283,1999-01-07,23,40,56,0,10110,0.0
3848183,283,1999-01-07,24,40,55,0,10110,0.0
3848184,283,1999-01-08,1,50,57,0,10110,0.0
3848185,283,1999-01-08,2,60,53,0,10110,0.0
3848186,283,1999-01-08,3,60,58,0,10110,0.0
3848187,283,1999-01-08,4,60,66,0,10110,0.0
3848188,283,1999-01-08,5,60,65,0,10110,0.0
3848189,283,1999-01-08,6,50,62,0,10110,0.0
3848190,283,1999-01-08,7,60,54,0,10110,0.0
3848191,283,1999-01-08,8,60,53,0,10110,0.0
3848192,283,1999-01-08,9,70,54,6,10110,0.0
3848193,283,1999-01-08,10,80,61,23,10110,0.0
3848194,283,1999-01-08,11,90,61,29,10110,0.0
3848195,283,1999-01-08,12,90,63,45,10110,421.5883830446584
3848196,283,1999-01-08,13,100,62,29,10110,18.42646811364139
3848197,283,1999-01-08,14,90,60,13,10110,-34.84134946420761
3848198,283,1999-01-08,15,90,61,9,10110,-51.42043110662646
3848199,283,1999-01-08,16,90,57,2,10110,-110.9397183013489
3848200,283,1999-01-08,17,70,50,0,10110,0.0
3848201,283,1999-01-08,18,80,47,0,10110,0.0
3848202,283,1999-01-08,19,60,46,0,10110,0.0
3848203,283,1999-01-08,20,40,45,0,10110,0.0
3848204,283,1999-01-08,21,40,45,0,10110,0.0
3848205,283,1999-01-08,22,40,42,0,10110,0.0
3848206,283,1999-01-08,23,30,42,0,10110,0.0
3848207,283,1999-01-08,24,30,42,0,10110,0.0
