,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
3260712,277,2016-01-01,1,70,56,0,10110,0.0
3260713,277,2016-01-01,2,60,62,0,10110,0.0
3260714,277,2016-01-01,3,60,60,0,10110,0.0
3260715,277,2016-01-01,4,60,58,0,10110,0.0
3260716,277,2016-01-01,5,40,55,0,10110,0.0
3260717,277,2016-01-01,6,30,51,0,10110,0.0
3260718,277,2016-01-01,7,30,49,0,10110,0.0
3260719,277,2016-01-01,8,30,42,0,10110,0.0
3260720,277,2016-01-01,9,30,45,13,10110,0.0
3260721,277,2016-01-01,10,30,56,24,10110,0.0
3260722,277,2016-01-01,11,30,66,51,10110,0.0
3260723,277,2016-01-01,12,20,76,72,10110,0.0
3260724,277,2016-01-01,13,20,83,57,10110,516.5348317573221
3260725,277,2016-01-01,14,10,79,40,10110,112.2052978098872
3260726,277,2016-01-01,15,10,61,9,10110,-55.21725620715096
3260727,277,2016-01-01,16,20,52,1,10110,0.0
3260728,277,2016-01-01,17,30,52,0,10110,0.0
3260729,277,2016-01-01,18,40,47,0,10110,0.0
3260730,277,2016-01-01,19,40,44,0,10110,0.0
3260731,277,2016-01-01,20,50,43,0,10110,0.0
3260732,277,2016-01-01,21,50,43,0,10110,0.0
3260733,277,2016-01-01,22,40,43,0,10110,0.0
3260734,277,2016-01-01,23,40,39,0,10110,0.0
3260735,277,2016-01-01,24,50,35,0,10110,0.0
3260736,277,2016-01-02,1,60,35,0,10110,0.0
3260737,277,2016-01-02,2,70,34,0,10110,0.0
3260738,277,2016-01-02,3,80,35,0,10110,0.0
3260739,277,2016-01-02,4,90,39,0,10110,0.0
3260740,277,2016-01-02,5,90,41,0,10110,0.0
3260741,277,2016-01-02,6,90,42,0,10110,0.0
3260742,277,2016-01-02,7,90,43,0,10110,0.0
3260743,277,2016-01-02,8,90,42,0,10110,0.0
3260744,277,2016-01-02,9,90,42,7,10110,0.0
3260745,277,2016-01-02,10,90,43,17,10110,0.0
3260746,277,2016-01-02,11,90,43,20,10110,0.0
3260747,277,2016-01-02,12,90,44,18,10110,0.0
3260748,277,2016-01-02,13,90,38,12,10110,-41.08996680440721
3260749,277,2016-01-02,14,90,35,12,10110,-40.44915069136209
3260750,277,2016-01-02,15,90,31,4,10110,-87.18200016173985
3260751,277,2016-01-02,16,90,27,1,10110,0.0
3260752,277,2016-01-02,17,100,26,0,10110,0.0
3260753,277,2016-01-02,18,110,23,0,10110,0.0
3260754,277,2016-01-02,19,100,23,0,10110,0.0
3260755,277,2016-01-02,20,100,22,0,10110,0.0
3260756,277,2016-01-02,21,100,21,0,10110,0.0
3260757,277,2016-01-02,22,110,17,0,10110,0.0
3260758,277,2016-01-02,23,110,16,0,10110,0.0
3260759,277,2016-01-02,24,110,12,0,10110,0.0
3260760,277,2016-01-03,1,110,3,0,10110,0.0
3260761,277,2016-01-03,2,110,-2,0,10110,0.0
3260762,277,2016-01-03,3,110,-7,0,10110,0.0
3260763,277,2016-01-03,4,110,-9,0,10110,0.0
3260764,277,2016-01-03,5,110,-13,0,10110,0.0
3260765,277,2016-01-03,6,110,-15,0,10110,0.0
3260766,277,2016-01-03,7,110,-15,0,10110,0.0
3260767,277,2016-01-03,8,110,-12,0,10110,0.0
3260768,277,2016-01-03,9,100,-10,3,10110,0.0
3260769,277,2016-01-03,10,90,-7,10,10110,0.0
3260770,277,2016-01-03,11,80,-5,12,10110,0.0
3260771,277,2016-01-03,12,70,-2,13,10110,0.0
3260772,277,2016-01-03,13,70,1,13,10110,-36.73849364804044
3260773,277,2016-01-03,14,70,0,8,10110,-58.62196930461043
3260774,277,2016-01-03,15,70,0,3,10110,-94.7429817972409
3260775,277,2016-01-03,16,70,-1,1,10110,0.0
3260776,277,2016-01-03,17,70,-1,0,10110,0.0
3260777,277,2016-01-03,18,70,-2,0,10110,0.0
3260778,277,2016-01-03,19,80,-3,0,10110,0.0
3260779,277,2016-01-03,20,80,-3,0,10110,0.0
3260780,277,2016-01-03,21,80,-4,0,10110,0.0
3260781,277,2016-01-03,22,80,-6,0,10110,0.0
3260782,277,2016-01-03,23,80,-6,0,10110,0.0
3260783,277,2016-01-03,24,80,-6,0,10110,0.0
3260784,277,2016-01-04,1,80,-6,0,10110,0.0
3260785,277,2016-01-04,2,80,-10,0,10110,0.0
3260786,277,2016-01-04,3,80,-15,0,10110,0.0
3260787,277,2016-01-04,4,70,-19,0,10110,0.0
3260788,277,2016-01-04,5,70,-21,0,10110,0.0
3260789,277,2016-01-04,6,70,-25,0,10110,0.0
