,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
2726016,270,2018-01-01,1,100,76,0,9919,0.0
2726017,270,2018-01-01,2,90,70,0,9914,0.0
2726018,270,2018-01-01,3,100,68,0,9917,0.0
2726019,270,2018-01-01,4,100,67,0,9928,0.0
2726020,270,2018-01-01,5,110,70,0,9941,0.0
2726021,270,2018-01-01,6,110,63,0,9954,0.0
2726022,270,2018-01-01,7,90,61,0,9961,0.0
2726023,270,2018-01-01,8,80,55,0,9968,0.0
2726024,270,2018-01-01,9,70,58,14,9972,0.0
2726025,270,2018-01-01,10,70,63,26,9971,0.0
2726026,270,2018-01-01,11,70,70,36,9967,0.0
2726027,270,2018-01-01,12,70,68,36,9966,0.0
2726028,270,2018-01-01,13,70,66,20,9962,-8.223177398693576
2726029,270,2018-01-01,14,70,70,21,9959,-9.834108088926898
2726030,270,2018-01-01,15,50,61,11,9959,-44.26010526234536
2726031,270,2018-01-01,16,40,52,1,9960,-134.9897188724065
2726032,270,2018-01-01,17,30,59,0,9962,0.0
2726033,270,2018-01-01,18,30,52,0,9963,0.0
2726034,270,2018-01-01,19,30,44,0,9969,0.0
2726035,270,2018-01-01,20,20,45,0,9975,0.0
2726036,270,2018-01-01,21,30,51,0,9976,0.0
2726037,270,2018-01-01,22,30,49,0,9986,0.0
2726038,270,2018-01-01,23,30,50,0,9993,0.0
2726039,270,2018-01-01,24,30,40,0,10003,0.0
2726040,270,2018-01-02,1,20,38,0,10012,0.0
2726041,270,2018-01-02,2,30,60,0,10020,0.0
2726042,270,2018-01-02,3,40,58,0,10027,0.0
2726043,270,2018-01-02,4,30,49,0,10034,0.0
2726044,270,2018-01-02,5,30,43,0,10042,0.0
2726045,270,2018-01-02,6,30,33,0,10049,0.0
2726046,270,2018-01-02,7,40,49,0,10056,0.0
2726047,270,2018-01-02,8,40,52,0,10066,0.0
2726048,270,2018-01-02,9,30,51,9,10076,0.0
2726049,270,2018-01-02,10,50,60,23,10082,0.0
2726050,270,2018-01-02,11,60,70,72,10084,0.0
2726051,270,2018-01-02,12,60,71,74,10078,0.0
2726052,270,2018-01-02,13,50,66,41,10077,180.8492859494517
2726053,270,2018-01-02,14,50,59,30,10072,26.48952767128008
2726054,270,2018-01-02,15,40,54,10,10067,-49.43950517958743
2726055,270,2018-01-02,16,50,54,1,10060,-135.171991285671
2726056,270,2018-01-02,17,50,56,0,10045,0.0
2726057,270,2018-01-02,18,60,55,0,10035,0.0
2726058,270,2018-01-02,19,70,52,0,10018,0.0
2726059,270,2018-01-02,20,80,50,0,9997,0.0
2726060,270,2018-01-02,21,80,55,0,9978,0.0
2726061,270,2018-01-02,22,80,63,0,9953,0.0
2726062,270,2018-01-02,23,80,70,0,9936,0.0
2726063,270,2018-01-02,24,70,75,0,9909,0.0
2726064,270,2018-01-03,1,80,80,0,9872,0.0
2726065,270,2018-01-03,2,90,79,0,9829,0.0
2726066,270,2018-01-03,3,100,85,0,9810,0.0
2726067,270,2018-01-03,4,90,90,0,9800,0.0
2726068,270,2018-01-03,5,100,84,0,9796,0.0
2726069,270,2018-01-03,6,90,80,0,9798,0.0
2726070,270,2018-01-03,7,110,73,0,9798,0.0
2726071,270,2018-01-03,8,110,69,0,9800,0.0
2726072,270,2018-01-03,9,120,65,3,9794,0.0
2726073,270,2018-01-03,10,150,61,4,9781,0.0
2726074,270,2018-01-03,11,180,61,5,9781,0.0
2726075,270,2018-01-03,12,180,61,13,9807,0.0
2726076,270,2018-01-03,13,160,70,12,9830,-39.47892271356946
2726077,270,2018-01-03,14,150,77,18,9851,-18.87980674247355
2726078,270,2018-01-03,15,130,77,18,9867,-18.09083931163627
2726079,270,2018-01-03,16,130,72,4,9879,-96.8925329307265
2726080,270,2018-01-03,17,120,77,0,9892,0.0
2726081,270,2018-01-03,18,120,78,0,9901,0.0
2726082,270,2018-01-03,19,120,78,0,9912,0.0
2726083,270,2018-01-03,20,120,76,0,9917,0.0
2726084,270,2018-01-03,21,110,77,0,9923,0.0
2726085,270,2018-01-03,22,100,77,0,9925,0.0
2726086,270,2018-01-03,23,100,76,0,9929,0.0
2726087,270,2018-01-03,24,100,74,0,9930,0.0
2726088,270,2018-01-04,1,100,77,0,9931,0.0
2726089,270,2018-01-04,2,90,77,0,9937,0.0
2726090,270,2018-01-04,3,90,76,0,9936,0.0
2726091,270,2018-01-04,4,90,75,0,9937,0.0
2726092,270,2018-01-04,5,90,75,0,9938,0.0
2726093,270,2018-01-04,6,80,74,0,9939,0.0
2726094,270,2018-01-04,7,70,71,0,9940,0.0
2726095,270,2018-01-04,8,60,61,0,9936,0.0
2726096,270,2018-01-04,9,40,66,5,9938,0.0
2726097,270,2018-01-04,10,40,68,7,9934,0.0
2726098,270,2018-01-04,11,40,70,10,9926,0.0
2726099,270,2018-01-04,12,40,68,13,9916,0.0
