,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
2489328,269,2012-01-01,1,60,101,0,10077,0.0
2489329,269,2012-01-01,2,70,101,0,10078,0.0
2489330,269,2012-01-01,3,70,105,0,10073,0.0
2489331,269,2012-01-01,4,70,107,0,10070,0.0
2489332,269,2012-01-01,5,70,108,0,10068,0.0
2489333,269,2012-01-01,6,70,109,0,10068,0.0
2489334,269,2012-01-01,7,80,112,0,10074,0.0
2489335,269,2012-01-01,8,70,112,0,10079,0.0
2489336,269,2012-01-01,9,70,112,4,10083,0.0
2489337,269,2012-01-01,10,80,112,18,10083,0.0
2489338,269,2012-01-01,11,70,114,25,10079,0.0
2489339,269,2012-01-01,12,70,117,30,10075,0.0
2489340,269,2012-01-01,13,70,115,9,10069,-54.58302615919236
2489341,269,2012-01-01,14,60,119,5,10064,-73.15238243457043
2489342,269,2012-01-01,15,60,116,3,10057,-89.94043359276357
2489343,269,2012-01-01,16,50,116,0,10047,0.0
2489344,269,2012-01-01,17,50,118,0,10034,0.0
2489345,269,2012-01-01,18,80,123,0,10020,0.0
2489346,269,2012-01-01,19,90,125,0,10006,0.0
2489347,269,2012-01-01,20,100,126,0,9996,0.0
2489348,269,2012-01-01,21,100,125,0,9996,0.0
2489349,269,2012-01-01,22,70,109,0,10000,0.0
2489350,269,2012-01-01,23,70,101,0,10007,0.0
2489351,269,2012-01-01,24,60,96,0,10013,0.0
2489352,269,2012-01-02,1,60,97,0,10016,0.0
2489353,269,2012-01-02,2,60,99,0,10022,0.0
2489354,269,2012-01-02,3,50,97,0,10022,0.0
2489355,269,2012-01-02,4,60,94,0,10025,0.0
2489356,269,2012-01-02,5,50,90,0,10026,0.0
2489357,269,2012-01-02,6,40,85,0,10030,0.0
2489358,269,2012-01-02,7,50,80,0,10037,0.0
2489359,269,2012-01-02,8,40,72,0,10044,0.0
2489360,269,2012-01-02,9,30,65,8,10053,0.0
2489361,269,2012-01-02,10,30,72,26,10059,0.0
2489362,269,2012-01-02,11,50,76,38,10061,0.0
2489363,269,2012-01-02,12,60,82,50,10064,0.0
2489364,269,2012-01-02,13,70,76,38,10068,108.8948397060114
2489365,269,2012-01-02,14,80,63,10,10075,-47.24044584745717
2489366,269,2012-01-02,15,60,67,12,10084,-40.0876970277121
2489367,269,2012-01-02,16,70,60,2,10095,-116.728611072777
2489368,269,2012-01-02,17,60,54,0,10103,0.0
2489369,269,2012-01-02,18,60,49,0,10113,0.0
2489370,269,2012-01-02,19,60,42,0,10121,0.0
2489371,269,2012-01-02,20,50,42,0,10125,0.0
2489372,269,2012-01-02,21,70,43,0,10130,0.0
2489373,269,2012-01-02,22,70,41,0,10132,0.0
2489374,269,2012-01-02,23,70,42,0,10130,0.0
2489375,269,2012-01-02,24,70,40,0,10131,0.0
2489376,269,2012-01-03,1,80,44,0,10128,0.0
2489377,269,2012-01-03,2,80,47,0,10126,0.0
2489378,269,2012-01-03,3,80,49,0,10121,0.0
2489379,269,2012-01-03,4,80,49,0,10110,0.0
2489380,269,2012-01-03,5,90,53,0,10097,0.0
2489381,269,2012-01-03,6,100,56,0,10078,0.0
2489382,269,2012-01-03,7,110,55,0,10059,0.0
2489383,269,2012-01-03,8,120,55,0,10032,0.0
2489384,269,2012-01-03,9,140,65,0,10016,0.0
2489385,269,2012-01-03,10,150,78,1,10003,0.0
2489386,269,2012-01-03,11,170,94,7,9985,0.0
2489387,269,2012-01-03,12,170,100,11,9972,0.0
2489388,269,2012-01-03,13,170,99,12,9956,-39.91738402827665
2489389,269,2012-01-03,14,170,99,8,9937,-55.1696310140909
2489390,269,2012-01-03,15,150,75,2,9958,-95.77928188613323
2489391,269,2012-01-03,16,90,76,0,9967,0.0
2489392,269,2012-01-03,17,110,78,0,9978,0.0
2489393,269,2012-01-03,18,110,83,0,9987,0.0
2489394,269,2012-01-03,19,120,61,0,10000,0.0
2489395,269,2012-01-03,20,120,69,0,10018,0.0
2489396,269,2012-01-03,21,110,67,0,10026,0.0
2489397,269,2012-01-03,22,100,63,0,10033,0.0
2489398,269,2012-01-03,23,100,64,0,10035,0.0
2489399,269,2012-01-03,24,80,54,0,10037,0.0
2489400,269,2012-01-04,1,80,60,0,10037,0.0
2489401,269,2012-01-04,2,80,65,0,10038,0.0
