,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
8382144,380,1999-01-01,1,40,43,0,10093,0.0
8382145,380,1999-01-01,2,30,45,0,10096,0.0
8382146,380,1999-01-01,3,20,46,0,10092,0.0
8382147,380,1999-01-01,4,30,49,0,10092,0.0
8382148,380,1999-01-01,5,20,73,0,10095,0.0
8382149,380,1999-01-01,6,20,48,0,10100,0.0
8382150,380,1999-01-01,7,10,78,0,10104,0.0
8382151,380,1999-01-01,8,30,67,0,10109,0.0
8382152,380,1999-01-01,9,40,89,4,10115,0.0
8382153,380,1999-01-01,10,40,97,15,10117,0.0
8382154,380,1999-01-01,11,40,103,30,10115,0.0
8382155,380,1999-01-01,12,50,114,87,10114,676.714256544777
8382156,380,1999-01-01,13,50,110,29,10111,15.18789764736493
8382157,380,1999-01-01,14,40,105,21,10111,-13.32621925585129
8382158,380,1999-01-01,15,40,103,33,10108,26.26272924195422
8382159,380,1999-01-01,16,40,98,12,10109,-41.0821135836617
8382160,380,1999-01-01,17,50,89,0,10111,0.0
8382161,380,1999-01-01,18,40,86,0,10117,0.0
8382162,380,1999-01-01,19,40,88,0,10113,0.0
8382163,380,1999-01-01,20,40,79,0,10114,0.0
8382164,380,1999-01-01,21,50,71,0,10112,0.0
8382165,380,1999-01-01,22,50,69,0,10115,0.0
8382166,380,1999-01-01,23,40,62,0,10112,0.0
8382167,380,1999-01-01,24,40,59,0,10108,0.0
8382168,380,1999-01-02,1,40,56,0,10104,0.0
8382169,380,1999-01-02,2,40,54,0,10098,0.0
8382170,380,1999-01-02,3,40,51,0,10089,0.0
8382171,380,1999-01-02,4,50,62,0,10079,0.0
8382172,380,1999-01-02,5,60,69,0,10072,0.0
8382173,380,1999-01-02,6,60,78,0,10064,0.0
8382174,380,1999-01-02,7,60,72,0,10058,0.0
8382175,380,1999-01-02,8,60,76,0,10052,0.0
8382176,380,1999-01-02,9,70,80,7,10052,0.0
8382177,380,1999-01-02,10,80,92,48,10043,0.0
8382178,380,1999-01-02,11,80,96,35,10035,0.0
8382179,380,1999-01-02,12,80,97,18,10028,-8.834604891039197
8382180,380,1999-01-02,13,90,83,13,10025,-35.42078572337705
8382181,380,1999-01-02,14,100,80,9,10025,-48.14730446943459
8382182,380,1999-01-02,15,80,77,6,10028,-64.24990041867986
8382183,380,1999-01-02,16,60,77,2,10032,-106.6902963310835
8382184,380,1999-01-02,17,70,75,0,10035,0.0
8382185,380,1999-01-02,18,70,68,0,10040,0.0
8382186,380,1999-01-02,19,50,61,0,10043,0.0
8382187,380,1999-01-02,20,50,62,0,10042,0.0
8382188,380,1999-01-02,21,60,61,0,10038,0.0
8382189,380,1999-01-02,22,60,68,0,10035,0.0
8382190,380,1999-01-02,23,60,68,0,10036,0.0
8382191,380,1999-01-02,24,60,57,0,10042,0.0
8382192,380,1999-01-03,1,80,58,0,10046,0.0
8382193,380,1999-01-03,2,80,56,0,10055,0.0
8382194,380,1999-01-03,3,80,57,0,10060,0.0
8382195,380,1999-01-03,4,80,52,0,10065,0.0
8382196,380,1999-01-03,5,80,55,0,10066,0.0
8382197,380,1999-01-03,6,70,49,0,10066,0.0
8382198,380,1999-01-03,7,70,50,0,10064,0.0
8382199,380,1999-01-03,8,60,46,0,10058,0.0
8382200,380,1999-01-03,9,80,50,8,10044,0.0
8382201,380,1999-01-03,10,70,55,15,10031,0.0
8382202,380,1999-01-03,11,80,55,8,10005,0.0
8382203,380,1999-01-03,12,80,58,6,9980,-77.8165574664505
8382204,380,1999-01-03,13,80,61,8,9967,-55.48217737097598
8382205,380,1999-01-03,14,90,62,17,9956,-22.03949192059679
8382206,380,1999-01-03,15,70,73,7,9956,-58.23247571392313
8382207,380,1999-01-03,16,90,84,0,9969,0.0
8382208,380,1999-01-03,17,100,76,0,9993,0.0
8382209,380,1999-01-03,18,100,62,0,10021,0.0
8382210,380,1999-01-03,19,90,67,0,10049,0.0
8382211,380,1999-01-03,20,80,64,0,10080,0.0
8382212,380,1999-01-03,21,70,62,0,10097,0.0
8382213,380,1999-01-03,22,80,62,0,10111,0.0
8382214,380,1999-01-03,23,80,59,0,10117,0.0
8382215,380,1999-01-03,24,70,58,0,10123,0.0
8382216,380,1999-01-04,1,60,58,0,10119,0.0
8382217,380,1999-01-04,2,60,61,0,10114,0.0
8382218,380,1999-01-04,3,60,58,0,10105,0.0
8382219,380,1999-01-04,4,60,62,0,10095,0.0
8382220,380,1999-01-04,5,80,67,0,10089,0.0
8382221,380,1999-01-04,6,90,76,0,10088,0.0
8382222,380,1999-01-04,7,90,84,0,10090,0.0
8382223,380,1999-01-04,8,70,90,0,10088,0.0
8382224,380,1999-01-04,9,80,103,6,10088,0.0
8382225,380,1999-01-04,10,80,111,13,10091,0.0
8382226,380,1999-01-04,11,90,123,29,10092,0.0
8382227,380,1999-01-04,12,110,126,16,10098,-20.05752474589095
8382228,380,1999-01-04,13,100,124,11,10097,-43.10688804679933
8382229,380,1999-01-04,14,90,127,6,10100,-62.01516696027444
8382230,380,1999-01-04,15,90,129,7,10104,-59.10895501440585
8382231,380,1999-01-04,16,90,128,1,10110,-115.7395826846199
8382232,380,1999-01-04,17,90,132,0,10114,0.0
8382233,380,1999-01-04,18,90,134,0,10119,0.0
8382234,380,1999-01-04,19,100,133,0,10128,0.0
8382235,380,1999-01-04,20,70,129,0,10137,0.0
8382236,380,1999-01-04,21,60,115,0,10143,0.0
8382237,380,1999-01-04,22,50,113,0,10148,0.0
8382238,380,1999-01-04,23,40,126,0,10149,0.0
8382239,380,1999-01-04,24,80,129,0,10149,0.0
8382240,380,1999-01-05,1,80,127,0,10150,0.0
8382241,380,1999-01-05,2,70,126,0,10152,0.0
8382242,380,1999-01-05,3,80,124,0,10152,0.0
8382243,380,1999-01-05,4,80,126,0,10154,0.0
8382244,380,1999-01-05,5,70,128,0,10156,0.0
8382245,380,1999-01-05,6,80,125,0,10163,0.0
8382246,380,1999-01-05,7,70,123,0,10166,0.0
8382247,380,1999-01-05,8,70,116,0,10166,0.0
8382248,380,1999-01-05,9,70,115,10,10168,0.0
8382249,380,1999-01-05,10,70,127,45,10170,0.0
8382250,380,1999-01-05,11,60,134,46,10167,0.0
8382251,380,1999-01-05,12,40,141,69,10161,714.613772302775
8382252,380,1999-01-05,13,50,146,70,10154,516.6414651501861
8382253,380,1999-01-05,14,60,153,62,10153,253.1985619873967
8382254,380,1999-01-05,15,50,145,29,10151,8.143352045755222
8382255,380,1999-01-05,16,50,135,8,10152,-61.19359951496424
8382256,380,1999-01-05,17,40,131,0,10155,0.0
8382257,380,1999-01-05,18,50,124,0,10157,0.0
8382258,380,1999-01-05,19,40,116,0,10157,0.0
8382259,380,1999-01-05,20,50,115,0,10157,0.0
8382260,380,1999-01-05,21,60,110,0,10158,0.0
8382261,380,1999-01-05,22,60,110,0,10161,0.0
8382262,380,1999-01-05,23,60,108,0,10164,0.0
8382263,380,1999-01-05,24,60,101,0,10166,0.0
8382264,380,1999-01-06,1,60,95,0,10166,0.0
8382265,380,1999-01-06,2,60,96,0,10168,0.0
8382266,380,1999-01-06,3,60,92,0,10164,0.0
8382267,380,1999-01-06,4,60,95,0,10163,0.0
8382268,380,1999-01-06,5,60,95,0,10162,0.0
8382269,380,1999-01-06,6,60,94,0,10162,0.0
8382270,380,1999-01-06,7,60,98,0,10162,0.0
8382271,380,1999-01-06,8,70,102,0,10162,0.0
8382272,380,1999-01-06,9,70,107,16,10161,0.0
8382273,380,1999-01-06,10,70,114,38,10156,0.0
8382274,380,1999-01-06,11,70,128,65,10154,0.0
8382275,380,1999-01-06,12,60,132,76,10150,711.3287506592138
8382276,380,1999-01-06,13,60,141,75,10140,610.3493595020487
8382277,380,1999-01-06,14,60,146,62,10129,247.0273585746182
8382278,380,1999-01-06,15,70,141,40,10127,56.8157444563932
8382279,380,1999-01-06,16,70,129,12,10123,-41.0452777910266
8382280,380,1999-01-06,17,80,119,0,10116,0.0
8382281,380,1999-01-06,18,80,118,0,10110,0.0
8382282,380,1999-01-06,19,70,114,0,10105,0.0
8382283,380,1999-01-06,20,80,109,0,10098,0.0
8382284,380,1999-01-06,21,70,108,0,10093,0.0
8382285,380,1999-01-06,22,80,102,0,10090,0.0
8382286,380,1999-01-06,23,80,96,0,10085,0.0
8382287,380,1999-01-06,24,80,100,0,10083,0.0
8382288,380,1999-01-07,1,90,95,0,10076,0.0
8382289,380,1999-01-07,2,90,104,0,10072,0.0
8382290,380,1999-01-07,3,90,107,0,10064,0.0
8382291,380,1999-01-07,4,100,102,0,10059,0.0
8382292,380,1999-01-07,5,100,95,0,10059,0.0
8382293,380,1999-01-07,6,90,97,0,10069,0.0
8382294,380,1999-01-07,7,70,73,0,10087,0.0
8382295,380,1999-01-07,8,40,66,0,10096,0.0
8382296,380,1999-01-07,9,40,63,1,10099,0.0
8382297,380,1999-01-07,10,40,63,12,10101,0.0
8382298,380,1999-01-07,11,40,65,21,10100,0.0
8382299,380,1999-01-07,12,40,69,58,10097,678.9739522134375
8382300,380,1999-01-07,13,30,70,41,10094,80.66454020682863
8382301,380,1999-01-07,14,30,71,27,10093,-0.05238710721069244
8382302,380,1999-01-07,15,40,68,20,10093,-15.55550004358914
8382303,380,1999-01-07,16,40,62,6,10096,-72.3590261105943
8382304,380,1999-01-07,17,40,56,0,10093,0.0
8382305,380,1999-01-07,18,40,59,0,10093,0.0
8382306,380,1999-01-07,19,50,50,0,10088,0.0
8382307,380,1999-01-07,20,40,57,0,10082,0.0
8382308,380,1999-01-07,21,50,58,0,10078,0.0
8382309,380,1999-01-07,22,50,59,0,10059,0.0
8382310,380,1999-01-07,23,60,62,0,10045,0.0
8382311,380,1999-01-07,24,70,60,0,10034,0.0
8382312,380,1999-01-08,1,70,59,0,10015,0.0
8382313,380,1999-01-08,2,90,68,0,10011,0.0
8382314,380,1999-01-08,3,100,69,0,10007,0.0
8382315,380,1999-01-08,4,90,69,0,10010,0.0
8382316,380,1999-01-08,5,70,67,0,10016,0.0
8382317,380,1999-01-08,6,70,63,0,10018,0.0
8382318,380,1999-01-08,7,70,62,0,10023,0.0
8382319,380,1999-01-08,8,70,55,0,10025,0.0
8382320,380,1999-01-08,9,60,54,16,10029,0.0
8382321,380,1999-01-08,10,70,55,37,10030,0.0
8382322,380,1999-01-08,11,80,61,50,10030,0.0
8382323,380,1999-01-08,12,90,69,88,10027,705.3065690126713
8382324,380,1999-01-08,13,90,70,53,10023,204.3237891070283
8382325,380,1999-01-08,14,80,68,41,10018,48.58579385381312
8382326,380,1999-01-08,15,80,64,33,10019,19.95384497514878
8382327,380,1999-01-08,16,80,57,6,10018,-71.23503618440405
8382328,380,1999-01-08,17,70,53,0,10018,0.0
8382329,380,1999-01-08,18,70,46,0,10018,0.0
8382330,380,1999-01-08,19,70,46,0,10023,0.0
8382331,380,1999-01-08,20,70,51,0,10027,0.0
8382332,380,1999-01-08,21,60,48,0,10030,0.0
8382333,380,1999-01-08,22,40,45,0,10033,0.0
8382334,380,1999-01-08,23,40,45,0,10031,0.0
8382335,380,1999-01-08,24,30,42,0,10031,0.0
8382336,380,1999-01-09,1,10,37,0,10028,0.0
8382337,380,1999-01-09,2,20,35,0,10027,0.0
8382338,380,1999-01-09,3,30,30,0,10030,0.0
8382339,380,1999-01-09,4,30,17,0,10031,0.0
8382340,380,1999-01-09,5,30,11,0,10036,0.0
8382341,380,1999-01-09,6,40,18,0,10039,0.0
8382342,380,1999-01-09,7,40,29,0,10043,0.0
8382343,380,1999-01-09,8,60,27,0,10053,0.0
8382344,380,1999-01-09,9,60,27,1,10063,0.0
8382345,380,1999-01-09,10,70,25,6,10073,0.0
8382346,380,1999-01-09,11,60,26,17,10079,0.0
8382347,380,1999-01-09,12,60,28,32,10084,104.2671237542348
8382348,380,1999-01-09,13,50,31,42,10086,83.63037840416071
8382349,380,1999-01-09,14,50,36,58,10090,180.9193941568184
8382350,380,1999-01-09,15,50,29,31,10096,12.17628962564939
8382351,380,1999-01-09,16,40,23,7,10103,-65.2949415910904
8382352,380,1999-01-09,17,20,13,0,10110,0.0
8382353,380,1999-01-09,18,20,10,0,10115,0.0
8382354,380,1999-01-09,19,30,1,0,10118,0.0
8382355,380,1999-01-09,20,30,0,0,10123,0.0
8382356,380,1999-01-09,21,30,4,0,10128,0.0
8382357,380,1999-01-09,22,40,3,0,10133,0.0
8382358,380,1999-01-09,23,20,1,0,10137,0.0
8382359,380,1999-01-09,24,10,-5,0,10139,0.0
8382360,380,1999-01-10,1,10,0,0,10140,0.0
8382361,380,1999-01-10,2,10,-2,0,10141,0.0
8382362,380,1999-01-10,3,10,3,0,10139,0.0
8382363,380,1999-01-10,4,20,1,0,10140,0.0
8382364,380,1999-01-10,5,20,1,0,10140,0.0
8382365,380,1999-01-10,6,20,2,0,10143,0.0
8382366,380,1999-01-10,7,30,2,0,10145,0.0
8382367,380,1999-01-10,8,30,-1,0,10147,0.0
8382368,380,1999-01-10,9,30,-1,10,10150,0.0
8382369,380,1999-01-10,10,40,-3,28,10151,0.0
8382370,380,1999-01-10,11,40,-2,27,10151,0.0
8382371,380,1999-01-10,12,40,-3,33,10146,113.8168059294199
8382372,380,1999-01-10,13,30,-2,27,10143,3.523216714166293
8382373,380,1999-01-10,14,40,1,26,10136,-3.022362670301427
8382374,380,1999-01-10,15,40,0,15,10133,-28.17278387706487
8382375,380,1999-01-10,16,40,-6,3,10133,-92.5388837495739
8382376,380,1999-01-10,17,60,-16,0,10129,0.0
8382377,380,1999-01-10,18,50,-16,0,10130,0.0
8382378,380,1999-01-10,19,60,-15,0,10132,0.0
8382379,380,1999-01-10,20,50,-13,0,10128,0.0
8382380,380,1999-01-10,21,60,-11,0,10125,0.0
8382381,380,1999-01-10,22,60,-12,0,10121,0.0
8382382,380,1999-01-10,23,60,-14,0,10122,0.0
8382383,380,1999-01-10,24,50,-14,0,10121,0.0
8382384,380,1999-01-11,1,60,-14,0,10114,0.0
8382385,380,1999-01-11,2,60,-12,0,10111,0.0
8382386,380,1999-01-11,3,70,-13,0,10109,0.0
8382387,380,1999-01-11,4,60,-15,0,10108,0.0
8382388,380,1999-01-11,5,60,-20,0,10106,0.0
8382389,380,1999-01-11,6,70,-21,0,10106,0.0
8382390,380,1999-01-11,7,60,-22,0,10108,0.0
8382391,380,1999-01-11,8,70,-24,0,10112,0.0
8382392,380,1999-01-11,9,70,-20,7,10116,0.0
8382393,380,1999-01-11,10,70,-20,21,10120,0.0
8382394,380,1999-01-11,11,60,-20,20,10119,0.0
8382395,380,1999-01-11,12,60,-19,13,10118,-36.04422401420459
8382396,380,1999-01-11,13,60,-12,18,10115,-20.58823050222509
8382397,380,1999-01-11,14,60,-6,27,10113,-0.9480076949360908
8382398,380,1999-01-11,15,70,-3,21,10114,-13.41181409695612
8382399,380,1999-01-11,16,70,-7,8,10118,-58.98500787081628
8382400,380,1999-01-11,17,50,-10,0,10123,0.0
8382401,380,1999-01-11,18,40,-20,0,10129,0.0
8382402,380,1999-01-11,19,30,-25,0,10134,0.0
8382403,380,1999-01-11,20,30,-27,0,10136,0.0
8382404,380,1999-01-11,21,30,-33,0,10137,0.0
8382405,380,1999-01-11,22,30,-33,0,10139,0.0
8382406,380,1999-01-11,23,30,-36,0,10143,0.0
8382407,380,1999-01-11,24,30,-32,0,10141,0.0
8382408,380,1999-01-12,1,30,-34,0,10143,0.0
8382409,380,1999-01-12,2,30,-39,0,10146,0.0
