,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
2804904,273,2006-01-01,1,50,35,0,10110,0.0
2804905,273,2006-01-01,2,50,36,0,10110,0.0
2804906,273,2006-01-01,3,50,37,0,10110,0.0
2804907,273,2006-01-01,4,40,36,0,10110,0.0
2804908,273,2006-01-01,5,50,35,0,10110,0.0
2804909,273,2006-01-01,6,50,34,0,10110,0.0
2804910,273,2006-01-01,7,40,34,0,10110,0.0
2804911,273,2006-01-01,8,40,33,0,10110,0.0
2804912,273,2006-01-01,9,50,32,4,10110,0.0
2804913,273,2006-01-01,10,50,33,14,10110,0.0
2804914,273,2006-01-01,11,50,31,14,10110,0.0
2804915,273,2006-01-01,12,40,34,12,10110,0.0
2804916,273,2006-01-01,13,30,38,17,10110,-21.83890299160592
2804917,273,2006-01-01,14,20,41,17,10110,-23.2500623940107
2804918,273,2006-01-01,15,20,40,6,10110,-70.7466803621646
2804919,273,2006-01-01,16,20,39,0,10110,0.0
2804920,273,2006-01-01,17,20,37,0,10110,0.0
2804921,273,2006-01-01,18,10,33,0,10110,0.0
2804922,273,2006-01-01,19,10,31,0,10110,0.0
2804923,273,2006-01-01,20,10,25,0,10110,0.0
2804924,273,2006-01-01,21,10,27,0,10110,0.0
2804925,273,2006-01-01,22,10,26,0,10110,0.0
2804926,273,2006-01-01,23,10,23,0,10110,0.0
2804927,273,2006-01-01,24,10,16,0,10110,0.0
2804928,273,2006-01-02,1,20,21,0,10110,0.0
2804929,273,2006-01-02,2,10,19,0,10110,0.0
2804930,273,2006-01-02,3,10,13,0,10110,0.0
2804931,273,2006-01-02,4,10,13,0,10110,0.0
2804932,273,2006-01-02,5,20,31,0,10110,0.0
2804933,273,2006-01-02,6,30,34,0,10110,0.0
2804934,273,2006-01-02,7,30,33,0,10110,0.0
2804935,273,2006-01-02,8,30,36,0,10110,0.0
2804936,273,2006-01-02,9,20,34,3,10110,0.0
2804937,273,2006-01-02,10,20,30,16,10110,0.0
2804938,273,2006-01-02,11,30,39,49,10110,0.0
2804939,273,2006-01-02,12,30,44,58,10110,0.0
2804940,273,2006-01-02,13,40,50,70,10110,720.2691249213275
2804941,273,2006-01-02,14,40,48,52,10110,231.0311550976554
2804942,273,2006-01-02,15,30,39,24,10110,0.8685044604790841
2804943,273,2006-01-02,16,20,21,1,10110,-131.6255422677174
2804944,273,2006-01-02,17,10,7,0,10110,0.0
2804945,273,2006-01-02,18,10,-1,0,10110,0.0
2804946,273,2006-01-02,19,10,2,0,10110,0.0
2804947,273,2006-01-02,20,10,2,0,10110,0.0
2804948,273,2006-01-02,21,20,3,0,10110,0.0
2804949,273,2006-01-02,22,20,4,0,10110,0.0
2804950,273,2006-01-02,23,20,12,0,10110,0.0
2804951,273,2006-01-02,24,30,19,0,10110,0.0
2804952,273,2006-01-03,1,30,20,0,10110,0.0
2804953,273,2006-01-03,2,20,12,0,10110,0.0
2804954,273,2006-01-03,3,10,6,0,10110,0.0
2804955,273,2006-01-03,4,10,-1,0,10110,0.0
2804956,273,2006-01-03,5,10,-2,0,10110,0.0
2804957,273,2006-01-03,6,20,1,0,10110,0.0
2804958,273,2006-01-03,7,20,-1,0,10110,0.0
2804959,273,2006-01-03,8,20,-3,0,10110,0.0
2804960,273,2006-01-03,9,20,-2,11,10110,0.0
2804961,273,2006-01-03,10,20,9,34,10110,0.0
2804962,273,2006-01-03,11,20,20,60,10110,0.0
2804963,273,2006-01-03,12,20,29,83,10110,0.0
2804964,273,2006-01-03,13,20,28,53,10110,352.3339499533573
2804965,273,2006-01-03,14,20,28,32,10110,30.14772601026529
2804966,273,2006-01-03,15,30,24,13,10110,-36.56852073209178
2804967,273,2006-01-03,16,30,21,0,10110,0.0
2804968,273,2006-01-03,17,30,17,0,10110,0.0
2804969,273,2006-01-03,18,30,21,0,10110,0.0
2804970,273,2006-01-03,19,20,16,0,10110,0.0
2804971,273,2006-01-03,20,30,18,0,10110,0.0
2804972,273,2006-01-03,21,30,18,0,10110,0.0
2804973,273,2006-01-03,22,30,17,0,10110,0.0
2804974,273,2006-01-03,23,20,19,0,10110,0.0
2804975,273,2006-01-03,24,20,14,0,10110,0.0
2804976,273,2006-01-04,1,10,14,0,10110,0.0
2804977,273,2006-01-04,2,10,13,0,10110,0.0
2804978,273,2006-01-04,3,20,12,0,10110,0.0
2804979,273,2006-01-04,4,30,12,0,10110,0.0
2804980,273,2006-01-04,5,20,4,0,10110,0.0
2804981,273,2006-01-04,6,20,5,0,10110,0.0
2804982,273,2006-01-04,7,20,4,0,10110,0.0
2804983,273,2006-01-04,8,20,2,0,10110,0.0
2804984,273,2006-01-04,9,20,4,5,10110,0.0
2804985,273,2006-01-04,10,20,8,11,10110,0.0
2804986,273,2006-01-04,11,20,15,19,10110,0.0
2804987,273,2006-01-04,12,20,20,18,10110,0.0
2804988,273,2006-01-04,13,20,26,16,10110,-25.67979347441505
