,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
4934976,420,2018-01-01,1,36,61,0,9965,0
4934977,420,2018-01-01,2,36,61,0,9985,0
4934978,420,2018-01-01,3,31,55,0,9997,0
4934979,420,2018-01-01,4,31,51,0,10004,0
4934980,420,2018-01-01,5,15,45,0,10008,0
4934981,420,2018-01-01,6,10,43,0,10013,0
4934982,420,2018-01-01,7,10,42,0,10013,0
4934983,420,2018-01-01,8,5,39,0,10013,0
4934984,420,2018-01-01,9,5,39,0,10010,0
4934985,420,2018-01-01,10,10,44,2,10004,0
4934986,420,2018-01-01,11,15,44,19,9995,2
4934987,420,2018-01-01,12,26,41,41,9980,6
4934988,420,2018-01-01,13,36,39,61,9968,10
4934989,420,2018-01-01,14,41,38,52,9959,8
4934990,420,2018-01-01,15,46,38,38,9950,7
4934991,420,2018-01-01,16,41,37,8,9948,1
4934992,420,2018-01-01,17,46,37,2,9957,7
4934993,420,2018-01-01,18,41,41,0,9966,0
4934994,420,2018-01-01,19,31,46,0,9982,0
4934995,420,2018-01-01,20,31,49,0,9993,0
4934996,420,2018-01-01,21,15,51,0,10014,0
4934997,420,2018-01-01,22,15,63,0,10019,0
4934998,420,2018-01-01,23,41,80,0,10026,0
4934999,420,2018-01-01,24,57,80,0,10032,0
4935000,420,2018-01-02,1,62,73,0,10046,0
4935001,420,2018-01-02,2,62,69,0,10061,0
4935002,420,2018-01-02,3,72,68,0,10076,0
4935003,420,2018-01-02,4,62,71,0,10084,0
4935004,420,2018-01-02,5,62,67,0,10095,0
4935005,420,2018-01-02,6,62,66,0,10101,0
4935006,420,2018-01-02,7,62,70,0,10110,0
4935007,420,2018-01-02,8,57,70,0,10114,0
4935008,420,2018-01-02,9,51,68,0,10116,0
4935009,420,2018-01-02,10,51,67,16,10122,9
4935010,420,2018-01-02,11,46,67,27,10118,5
4935011,420,2018-01-02,12,46,64,36,10110,4
4935012,420,2018-01-02,13,41,65,66,10104,12
4935013,420,2018-01-02,14,41,30,33,10093,3
4935014,420,2018-01-02,15,51,17,22,10083,2
4935015,420,2018-01-02,16,57,4,11,10067,2
4935016,420,2018-01-02,17,67,0,2,10052,4
4935017,420,2018-01-02,18,72,-3,0,10035,0
4935018,420,2018-01-02,19,77,-8,0,10024,0
