,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
4338912,286,2013-01-01,1,90,87,0,10110,0.0
4338913,286,2013-01-01,2,90,86,0,10110,0.0
4338914,286,2013-01-01,3,90,83,0,10110,0.0
4338915,286,2013-01-01,4,80,82,0,10110,0.0
4338916,286,2013-01-01,5,80,82,0,10110,0.0
4338917,286,2013-01-01,6,70,81,0,10110,0.0
4338918,286,2013-01-01,7,60,81,0,10110,0.0
4338919,286,2013-01-01,8,30,73,0,10110,0.0
4338920,286,2013-01-01,9,40,73,6,10110,0.0
4338921,286,2013-01-01,10,30,73,15,10110,0.0
4338922,286,2013-01-01,11,40,74,11,10110,0.0
4338923,286,2013-01-01,12,50,75,27,10110,0.0
4338924,286,2013-01-01,13,60,73,23,10110,3.266569539996278
4338925,286,2013-01-01,14,60,68,15,10110,-29.48767413143306
4338926,286,2013-01-01,15,50,59,19,10110,-14.72753881994703
4338927,286,2013-01-01,16,50,49,2,10110,0.0
4338928,286,2013-01-01,17,50,43,0,10110,0.0
4338929,286,2013-01-01,18,50,42,0,10110,0.0
4338930,286,2013-01-01,19,60,44,0,10110,0.0
4338931,286,2013-01-01,20,60,43,0,10110,0.0
4338932,286,2013-01-01,21,60,40,0,10110,0.0
4338933,286,2013-01-01,22,70,47,0,10110,0.0
4338934,286,2013-01-01,23,70,53,0,10110,0.0
4338935,286,2013-01-01,24,70,51,0,10110,0.0
4338936,286,2013-01-02,1,70,49,0,10110,0.0
4338937,286,2013-01-02,2,60,48,0,10110,0.0
4338938,286,2013-01-02,3,60,46,0,10110,0.0
4338939,286,2013-01-02,4,50,41,0,10110,0.0
4338940,286,2013-01-02,5,50,43,0,10110,0.0
4338941,286,2013-01-02,6,60,46,0,10110,0.0
4338942,286,2013-01-02,7,50,45,0,10110,0.0
4338943,286,2013-01-02,8,60,50,0,10110,0.0
4338944,286,2013-01-02,9,60,55,11,10110,0.0
4338945,286,2013-01-02,10,60,63,23,10110,0.0
4338946,286,2013-01-02,11,60,69,61,10110,0.0
4338947,286,2013-01-02,12,60,74,58,10110,0.0
4338948,286,2013-01-02,13,60,77,54,10110,403.9513042030954
4338949,286,2013-01-02,14,70,73,40,10110,101.7918730402604
4338950,286,2013-01-02,15,60,65,15,10110,-29.22189668155601
4338951,286,2013-01-02,16,50,63,1,10110,0.0
4338952,286,2013-01-02,17,50,54,0,10110,0.0
4338953,286,2013-01-02,18,50,59,0,10110,0.0
4338954,286,2013-01-02,19,60,63,0,10110,0.0
4338955,286,2013-01-02,20,60,63,0,10110,0.0
4338956,286,2013-01-02,21,60,63,0,10110,0.0
4338957,286,2013-01-02,22,60,63,0,10110,0.0
4338958,286,2013-01-02,23,70,64,0,10110,0.0
4338959,286,2013-01-02,24,80,62,0,10110,0.0
4338960,286,2013-01-03,1,80,66,0,10110,0.0
4338961,286,2013-01-03,2,80,72,0,10110,0.0
4338962,286,2013-01-03,3,80,80,0,10110,0.0
4338963,286,2013-01-03,4,90,84,0,10110,0.0
4338964,286,2013-01-03,5,80,90,0,10110,0.0
4338965,286,2013-01-03,6,80,97,0,10110,0.0
4338966,286,2013-01-03,7,80,98,0,10110,0.0
4338967,286,2013-01-03,8,70,101,1,10110,0.0
4338968,286,2013-01-03,9,80,104,6,10110,0.0
4338969,286,2013-01-03,10,70,102,19,10110,0.0
4338970,286,2013-01-03,11,80,108,29,10110,0.0
4338971,286,2013-01-03,12,80,110,23,10110,0.0
4338972,286,2013-01-03,13,80,111,19,10110,-14.15589647897587
4338973,286,2013-01-03,14,80,107,13,10110,-36.40283616674861
4338974,286,2013-01-03,15,70,102,4,10110,-86.32581164478187
4338975,286,2013-01-03,16,70,95,0,10110,0.0
4338976,286,2013-01-03,17,60,93,0,10110,0.0
4338977,286,2013-01-03,18,50,93,0,10110,0.0
4338978,286,2013-01-03,19,60,88,0,10110,0.0
4338979,286,2013-01-03,20,50,78,0,10110,0.0
4338980,286,2013-01-03,21,50,74,0,10110,0.0
4338981,286,2013-01-03,22,50,68,0,10110,0.0
4338982,286,2013-01-03,23,40,74,0,10110,0.0
4338983,286,2013-01-03,24,40,75,0,10110,0.0
4338984,286,2013-01-04,1,50,77,0,10110,0.0
4338985,286,2013-01-04,2,60,79,0,10110,0.0
4338986,286,2013-01-04,3,60,81,0,10110,0.0
4338987,286,2013-01-04,4,50,86,0,10110,0.0
4338988,286,2013-01-04,5,60,88,0,10110,0.0
4338989,286,2013-01-04,6,60,89,0,10110,0.0
4338990,286,2013-01-04,7,70,90,0,10110,0.0
4338991,286,2013-01-04,8,60,88,0,10110,0.0
4338992,286,2013-01-04,9,70,86,2,10110,0.0
4338993,286,2013-01-04,10,80,90,10,10110,0.0
4338994,286,2013-01-04,11,80,93,12,10110,0.0
4338995,286,2013-01-04,12,80,93,13,10110,0.0
4338996,286,2013-01-04,13,90,95,25,10110,11.41505554667689
4338997,286,2013-01-04,14,90,94,18,10110,-20.13522405843658
4338998,286,2013-01-04,15,80,95,8,10110,-59.88665435450001
4338999,286,2013-01-04,16,80,94,1,10110,-136.863990610407
4339000,286,2013-01-04,17,80,92,0,10110,0.0
4339001,286,2013-01-04,18,80,89,0,10110,0.0
4339002,286,2013-01-04,19,70,87,0,10110,0.0
4339003,286,2013-01-04,20,80,86,0,10110,0.0
4339004,286,2013-01-04,21,70,84,0,10110,0.0
4339005,286,2013-01-04,22,70,83,0,10110,0.0
4339006,286,2013-01-04,23,70,81,0,10110,0.0
4339007,286,2013-01-04,24,60,81,0,10110,0.0
4339008,286,2013-01-05,1,70,78,0,10110,0.0
4339009,286,2013-01-05,2,70,73,0,10110,0.0
4339010,286,2013-01-05,3,60,73,0,10110,0.0
4339011,286,2013-01-05,4,60,72,0,10110,0.0
4339012,286,2013-01-05,5,50,73,0,10110,0.0
4339013,286,2013-01-05,6,50,74,0,10110,0.0
4339014,286,2013-01-05,7,50,73,0,10110,0.0
4339015,286,2013-01-05,8,50,72,0,10110,0.0
4339016,286,2013-01-05,9,40,73,3,10110,0.0
4339017,286,2013-01-05,10,50,75,12,10110,0.0
4339018,286,2013-01-05,11,50,76,15,10110,0.0
4339019,286,2013-01-05,12,60,74,11,10110,0.0
4339020,286,2013-01-05,13,60,75,14,10110,-32.90252560109553
