,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
7124232,344,2001-01-01,1,80,20,0,10014,0.0
7124233,344,2001-01-01,2,90,18,0,10001,0.0
7124234,344,2001-01-01,3,90,17,0,9989,0.0
7124235,344,2001-01-01,4,90,13,0,9979,0.0
7124236,344,2001-01-01,5,80,13,0,9968,0.0
7124237,344,2001-01-01,6,80,17,0,9959,0.0
7124238,344,2001-01-01,7,80,21,0,9953,0.0
7124239,344,2001-01-01,8,80,24,0,9953,0.0
7124240,344,2001-01-01,9,60,31,0,9948,0.0
7124241,344,2001-01-01,10,60,40,3,9948,0.0
7124242,344,2001-01-01,11,60,48,12,9929,0.0
7124243,344,2001-01-01,12,80,58,21,9942,0.0
7124244,344,2001-01-01,13,80,64,17,9941,-21.7868586564212
7124245,344,2001-01-01,14,80,64,10,9941,-45.65209216075119
7124246,344,2001-01-01,15,80,67,6,9939,-66.48785500520493
7124247,344,2001-01-01,16,70,69,1,9938,-121.3427629244482
7124248,344,2001-01-01,17,60,70,0,9943,0.0
7124249,344,2001-01-01,18,70,70,0,9943,0.0
7124250,344,2001-01-01,19,60,74,0,9945,0.0
7124251,344,2001-01-01,20,70,78,0,9944,0.0
7124252,344,2001-01-01,21,80,80,0,9943,0.0
7124253,344,2001-01-01,22,70,81,0,9942,0.0
7124254,344,2001-01-01,23,80,83,0,9938,0.0
7124255,344,2001-01-01,24,70,83,0,9935,0.0
7124256,344,2001-01-02,1,70,84,0,9932,0.0
7124257,344,2001-01-02,2,60,82,0,9926,0.0
7124258,344,2001-01-02,3,50,76,0,9922,0.0
7124259,344,2001-01-02,4,60,69,0,9917,0.0
7124260,344,2001-01-02,5,60,73,0,9912,0.0
7124261,344,2001-01-02,6,60,72,0,9911,0.0
7124262,344,2001-01-02,7,60,71,0,9907,0.0
7124263,344,2001-01-02,8,50,72,0,9912,0.0
7124264,344,2001-01-02,9,60,77,7,9911,0.0
7124265,344,2001-01-02,10,60,85,34,9909,0.0
7124266,344,2001-01-02,11,60,93,30,9907,0.0
7124267,344,2001-01-02,12,90,106,57,9900,0.0
7124268,344,2001-01-02,13,90,105,56,9896,375.1336811420186
7124269,344,2001-01-02,14,90,105,19,9891,-16.90876722893205
7124270,344,2001-01-02,15,90,106,13,9892,-34.68476734353358
7124271,344,2001-01-02,16,90,106,4,9893,-90.4708736568652
7124272,344,2001-01-02,17,80,104,0,9893,0.0
7124273,344,2001-01-02,18,90,103,0,9894,0.0
7124274,344,2001-01-02,19,100,104,0,9896,0.0
7124275,344,2001-01-02,20,90,99,0,9897,0.0
7124276,344,2001-01-02,21,90,99,0,9902,0.0
7124277,344,2001-01-02,22,100,97,0,9906,0.0
7124278,344,2001-01-02,23,100,94,0,9914,0.0
7124279,344,2001-01-02,24,90,93,0,9918,0.0
7124280,344,2001-01-03,1,100,88,0,9922,0.0
7124281,344,2001-01-03,2,90,83,0,9930,0.0
7124282,344,2001-01-03,3,90,83,0,9938,0.0
7124283,344,2001-01-03,4,80,83,0,9948,0.0
7124284,344,2001-01-03,5,80,82,0,9960,0.0
7124285,344,2001-01-03,6,70,79,0,9973,0.0
7124286,344,2001-01-03,7,70,76,0,9988,0.0
7124287,344,2001-01-03,8,80,70,0,10003,0.0
7124288,344,2001-01-03,9,70,67,7,10016,0.0
7124289,344,2001-01-03,10,60,67,19,10027,0.0
7124290,344,2001-01-03,11,60,70,41,10035,0.0
7124291,344,2001-01-03,12,70,70,50,10040,0.0
7124292,344,2001-01-03,13,70,74,57,10043,390.8849713403187
7124293,344,2001-01-03,14,80,72,41,10046,76.7973257165275
7124294,344,2001-01-03,15,70,71,34,10047,39.23009769680912
7124295,344,2001-01-03,16,60,64,7,10048,-68.49935519948082
7124296,344,2001-01-03,17,50,57,0,10044,0.0
7124297,344,2001-01-03,18,50,56,0,10038,0.0
7124298,344,2001-01-03,19,50,58,0,10032,0.0
7124299,344,2001-01-03,20,60,57,0,10026,0.0
7124300,344,2001-01-03,21,70,62,0,10017,0.0
