,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
2157288,265,2006-01-01,1,40,40,0,9962,0.0
2157289,265,2006-01-01,2,40,38,0,9966,0.0
2157290,265,2006-01-01,3,30,36,0,9969,0.0
2157291,265,2006-01-01,4,40,39,0,9972,0.0
2157292,265,2006-01-01,5,30,36,0,9977,0.0
2157293,265,2006-01-01,6,40,33,0,9985,0.0
2157294,265,2006-01-01,7,40,30,0,9990,0.0
2157295,265,2006-01-01,8,40,28,0,9997,0.0
2157296,265,2006-01-01,9,40,33,3,10006,0.0
2157297,265,2006-01-01,10,30,40,12,10014,0.0
2157298,265,2006-01-01,11,30,45,17,10018,0.0
2157299,265,2006-01-01,12,20,49,19,10022,0.0
2157300,265,2006-01-01,13,20,52,18,10027,-18.80421515245251
2157301,265,2006-01-01,14,20,51,10,10035,-46.54764712354381
2157302,265,2006-01-01,15,20,47,3,10045,-88.0841225624604
2157303,265,2006-01-01,16,10,43,1,10056,-125.8266024750828
2157304,265,2006-01-01,17,20,43,0,10069,0.0
2157305,265,2006-01-01,18,10,44,0,10080,0.0
2157306,265,2006-01-01,19,10,42,0,10091,0.0
2157307,265,2006-01-01,20,10,36,0,10103,0.0
2157308,265,2006-01-01,21,20,38,0,10114,0.0
2157309,265,2006-01-01,22,20,41,0,10121,0.0
2157310,265,2006-01-01,23,20,32,0,10131,0.0
2157311,265,2006-01-01,24,10,25,0,10138,0.0
2157312,265,2006-01-02,1,0,18,0,10147,0.0
2157313,265,2006-01-02,2,10,8,0,10159,0.0
2157314,265,2006-01-02,3,10,13,0,10166,0.0
2157315,265,2006-01-02,4,10,5,0,10173,0.0
2157316,265,2006-01-02,5,0,7,0,10179,0.0
2157317,265,2006-01-02,6,0,13,0,10188,0.0
2157318,265,2006-01-02,7,0,20,0,10196,0.0
2157319,265,2006-01-02,8,10,24,0,10204,0.0
2157320,265,2006-01-02,9,20,31,2,10215,0.0
2157321,265,2006-01-02,10,20,37,8,10222,0.0
2157322,265,2006-01-02,11,20,45,20,10227,0.0
2157323,265,2006-01-02,12,30,50,34,10228,0.0
2157324,265,2006-01-02,13,30,55,69,10231,663.1131861011457
2157325,265,2006-01-02,14,30,46,42,10239,91.1450913072265
2157326,265,2006-01-02,15,30,38,29,10242,17.33992650026429
2157327,265,2006-01-02,16,20,18,3,10250,-105.2684433052702
