,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
2208840,267,2001-01-01,1,110,7,0,10110,0.0
2208841,267,2001-01-01,2,110,11,0,10110,0.0
2208842,267,2001-01-01,3,110,10,0,10110,0.0
2208843,267,2001-01-01,4,110,9,0,10110,0.0
2208844,267,2001-01-01,5,110,11,0,10110,0.0
2208845,267,2001-01-01,6,120,10,0,10110,0.0
2208846,267,2001-01-01,7,120,10,0,10110,0.0
2208847,267,2001-01-01,8,110,11,0,10110,0.0
2208848,267,2001-01-01,9,100,13,1,10110,0.0
2208849,267,2001-01-01,10,90,16,2,10110,0.0
2208850,267,2001-01-01,11,100,19,7,10110,0.0
2208851,267,2001-01-01,12,100,23,17,10110,0.0
2208852,267,2001-01-01,13,90,23,15,10110,-28.85935938682106
2208853,267,2001-01-01,14,90,27,14,10110,-32.81068831259623
2208854,267,2001-01-01,15,100,31,6,10110,-71.15676039955216
2208855,267,2001-01-01,16,90,28,1,10110,-133.0322944495997
2208856,267,2001-01-01,17,80,27,0,10110,0.0
2208857,267,2001-01-01,18,70,29,0,10110,0.0
2208858,267,2001-01-01,19,70,28,0,10110,0.0
2208859,267,2001-01-01,20,60,29,0,10110,0.0
2208860,267,2001-01-01,21,60,31,0,10110,0.0
2208861,267,2001-01-01,22,60,31,0,10110,0.0
2208862,267,2001-01-01,23,60,36,0,10110,0.0
2208863,267,2001-01-01,24,80,41,0,10110,0.0
2208864,267,2001-01-02,1,80,41,0,10110,0.0
2208865,267,2001-01-02,2,70,42,0,10110,0.0
2208866,267,2001-01-02,3,80,41,0,10110,0.0
2208867,267,2001-01-02,4,80,45,0,10110,0.0
2208868,267,2001-01-02,5,80,38,0,10110,0.0
2208869,267,2001-01-02,6,80,44,0,10110,0.0
2208870,267,2001-01-02,7,80,45,0,10110,0.0
2208871,267,2001-01-02,8,70,42,0,10110,0.0
2208872,267,2001-01-02,9,80,45,4,10110,0.0
2208873,267,2001-01-02,10,80,50,21,10110,0.0
2208874,267,2001-01-02,11,80,55,64,10110,0.0
2208875,267,2001-01-02,12,80,70,70,10110,0.0
2208876,267,2001-01-02,13,90,67,40,10110,153.2071775060177
2208877,267,2001-01-02,14,90,75,29,10110,18.21665716986817
2208878,267,2001-01-02,15,80,65,8,10110,-59.21808199217988
