,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
4470384,290,2007-01-01,1,100,99,0,10080,0.0
4470385,290,2007-01-01,2,90,100,0,10074,0.0
4470386,290,2007-01-01,3,80,95,0,10080,0.0
4470387,290,2007-01-01,4,80,91,0,10078,0.0
4470388,290,2007-01-01,5,80,94,0,10074,0.0
4470389,290,2007-01-01,6,90,93,0,10074,0.0
4470390,290,2007-01-01,7,80,95,0,10078,0.0
4470391,290,2007-01-01,8,90,87,0,10083,0.0
4470392,290,2007-01-01,9,70,89,2,10082,0.0
4470393,290,2007-01-01,10,70,86,9,10085,0.0
4470394,290,2007-01-01,11,80,72,19,10088,0.0
4470395,290,2007-01-01,12,60,73,11,10086,0.0
4470396,290,2007-01-01,13,60,74,18,10092,-19.27973407018487
4470397,290,2007-01-01,14,80,72,17,10104,-23.29734878137772
4470398,290,2007-01-01,15,80,70,9,10116,-53.4844003313916
4470399,290,2007-01-01,16,80,64,1,10129,-131.7562686672592
4470400,290,2007-01-01,17,60,61,0,10134,0.0
4470401,290,2007-01-01,18,50,59,0,10136,0.0
4470402,290,2007-01-01,19,50,54,0,10136,0.0
4470403,290,2007-01-01,20,60,55,0,10133,0.0
4470404,290,2007-01-01,21,60,50,0,10130,0.0
4470405,290,2007-01-01,22,60,47,0,10121,0.0
4470406,290,2007-01-01,23,60,52,0,10116,0.0
4470407,290,2007-01-01,24,50,52,0,10114,0.0
4470408,290,2007-01-02,1,60,57,0,10111,0.0
4470409,290,2007-01-02,2,60,54,0,10109,0.0
4470410,290,2007-01-02,3,60,50,0,10111,0.0
4470411,290,2007-01-02,4,60,37,0,10124,0.0
4470412,290,2007-01-02,5,40,39,0,10125,0.0
4470413,290,2007-01-02,6,50,35,0,10133,0.0
4470414,290,2007-01-02,7,50,38,0,10140,0.0
4470415,290,2007-01-02,8,40,41,0,10147,0.0
4470416,290,2007-01-02,9,50,45,11,10147,0.0
4470417,290,2007-01-02,10,60,54,34,10149,0.0
4470418,290,2007-01-02,11,50,57,27,10149,0.0
4470419,290,2007-01-02,12,60,60,18,10147,0.0
4470420,290,2007-01-02,13,60,58,14,10147,-33.17695039230557
4470421,290,2007-01-02,14,50,60,14,10155,-32.63760550749947
4470422,290,2007-01-02,15,50,62,18,10163,-20.1966622963342
4470423,290,2007-01-02,16,50,58,0,10174,0.0
4470424,290,2007-01-02,17,40,54,0,10183,0.0
4470425,290,2007-01-02,18,40,52,0,10196,0.0
4470426,290,2007-01-02,19,40,54,0,10206,0.0
4470427,290,2007-01-02,20,40,50,0,10215,0.0
4470428,290,2007-01-02,21,30,44,0,10227,0.0
4470429,290,2007-01-02,22,30,42,0,10236,0.0
4470430,290,2007-01-02,23,30,32,0,10242,0.0
4470431,290,2007-01-02,24,20,34,0,10253,0.0
4470432,290,2007-01-03,1,30,29,0,10257,0.0
4470433,290,2007-01-03,2,30,38,0,10264,0.0
4470434,290,2007-01-03,3,30,35,0,10269,0.0
4470435,290,2007-01-03,4,20,28,0,10268,0.0
4470436,290,2007-01-03,5,30,30,0,10272,0.0
4470437,290,2007-01-03,6,30,32,0,10271,0.0
4470438,290,2007-01-03,7,30,32,0,10274,0.0
4470439,290,2007-01-03,8,30,36,0,10273,0.0
4470440,290,2007-01-03,9,40,45,11,10269,0.0
4470441,290,2007-01-03,10,40,55,31,10267,0.0
4470442,290,2007-01-03,11,50,64,41,10257,0.0
4470443,290,2007-01-03,12,50,64,21,10249,0.0
4470444,290,2007-01-03,13,60,63,10,10236,-50.00498550959576
4470445,290,2007-01-03,14,60,61,8,10230,-56.88277353657862
4470446,290,2007-01-03,15,60,64,1,10220,-106.7925115932777
4470447,290,2007-01-03,16,70,69,0,10209,0.0
4470448,290,2007-01-03,17,70,69,0,10197,0.0
4470449,290,2007-01-03,18,70,71,0,10188,0.0
4470450,290,2007-01-03,19,70,73,0,10177,0.0
4470451,290,2007-01-03,20,70,78,0,10169,0.0
4470452,290,2007-01-03,21,70,80,0,10158,0.0
4470453,290,2007-01-03,22,80,80,0,10144,0.0
4470454,290,2007-01-03,23,80,80,0,10134,0.0
4470455,290,2007-01-03,24,80,81,0,10120,0.0
4470456,290,2007-01-04,1,80,83,0,10107,0.0
4470457,290,2007-01-04,2,80,74,0,10094,0.0
4470458,290,2007-01-04,3,80,77,0,10080,0.0
4470459,290,2007-01-04,4,80,82,0,10069,0.0
4470460,290,2007-01-04,5,80,84,0,10054,0.0
4470461,290,2007-01-04,6,80,85,0,10044,0.0
4470462,290,2007-01-04,7,70,86,0,10041,0.0
4470463,290,2007-01-04,8,70,86,0,10043,0.0
4470464,290,2007-01-04,9,60,89,1,10042,0.0
4470465,290,2007-01-04,10,60,92,11,10047,0.0
4470466,290,2007-01-04,11,70,94,17,10048,0.0
4470467,290,2007-01-04,12,70,94,22,10048,0.0
4470468,290,2007-01-04,13,70,89,26,10046,9.213037927689989
4470469,290,2007-01-04,14,70,85,15,10051,-28.80155781215576
4470470,290,2007-01-04,15,70,82,6,10058,-68.44855268432676
4470471,290,2007-01-04,16,70,80,0,10063,0.0
4470472,290,2007-01-04,17,60,80,0,10066,0.0
4470473,290,2007-01-04,18,70,83,0,10073,0.0
4470474,290,2007-01-04,19,70,82,0,10081,0.0
4470475,290,2007-01-04,20,70,82,0,10091,0.0
4470476,290,2007-01-04,21,70,81,0,10096,0.0
4470477,290,2007-01-04,22,60,77,0,10109,0.0
4470478,290,2007-01-04,23,60,75,0,10113,0.0
4470479,290,2007-01-04,24,60,77,0,10122,0.0
4470480,290,2007-01-05,1,60,76,0,10129,0.0
4470481,290,2007-01-05,2,60,75,0,10138,0.0
4470482,290,2007-01-05,3,60,73,0,10146,0.0
4470483,290,2007-01-05,4,50,71,0,10148,0.0
4470484,290,2007-01-05,5,50,64,0,10150,0.0
4470485,290,2007-01-05,6,50,61,0,10156,0.0
4470486,290,2007-01-05,7,40,63,0,10159,0.0
4470487,290,2007-01-05,8,40,64,0,10163,0.0
4470488,290,2007-01-05,9,40,69,8,10166,0.0
4470489,290,2007-01-05,10,40,76,12,10169,0.0
4470490,290,2007-01-05,11,50,81,12,10167,0.0
4470491,290,2007-01-05,12,50,82,12,10163,-38.67626590208879
4470492,290,2007-01-05,13,50,81,10,10158,-49.2530944482174
4470493,290,2007-01-05,14,50,82,5,10157,-71.92813573975897
4470494,290,2007-01-05,15,60,85,3,10157,-88.8115217058789
4470495,290,2007-01-05,16,50,89,1,10159,-127.8681793957826
4470496,290,2007-01-05,17,50,89,0,10161,0.0
4470497,290,2007-01-05,18,50,93,0,10160,0.0
4470498,290,2007-01-05,19,50,96,0,10160,0.0
4470499,290,2007-01-05,20,50,94,0,10159,0.0
4470500,290,2007-01-05,21,50,94,0,10160,0.0
4470501,290,2007-01-05,22,50,96,0,10159,0.0
