,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
4847304,310,2008-01-01,1,20,52,0,10272,0.0
4847305,310,2008-01-01,2,30,50,0,10271,0.0
4847306,310,2008-01-01,3,20,48,0,10266,0.0
4847307,310,2008-01-01,4,10,48,0,10261,0.0
4847308,310,2008-01-01,5,20,49,0,10260,0.0
4847309,310,2008-01-01,6,10,51,0,10257,0.0
4847310,310,2008-01-01,7,20,52,0,10253,0.0
4847311,310,2008-01-01,8,30,49,0,10252,0.0
4847312,310,2008-01-01,9,20,48,5,10252,0.0
4847313,310,2008-01-01,10,30,45,13,10252,0.0
4847314,310,2008-01-01,11,50,45,22,10249,0.0
4847315,310,2008-01-01,12,50,49,26,10245,0.0
4847316,310,2008-01-01,13,50,54,19,10240,-16.91081261154914
4847317,310,2008-01-01,14,60,52,15,10235,-29.52077263833171
4847318,310,2008-01-01,15,60,51,6,10236,-67.05209445091283
4847319,310,2008-01-01,16,60,49,1,10234,-119.0866222474527
4847320,310,2008-01-01,17,60,49,0,10235,0.0
4847321,310,2008-01-01,18,70,45,0,10234,0.0
4847322,310,2008-01-01,19,80,38,0,10235,0.0
4847323,310,2008-01-01,20,80,34,0,10236,0.0
4847324,310,2008-01-01,21,70,36,0,10233,0.0
4847325,310,2008-01-01,22,80,34,0,10232,0.0
4847326,310,2008-01-01,23,70,27,0,10233,0.0
4847327,310,2008-01-01,24,70,20,0,10227,0.0
4847328,310,2008-01-02,1,70,17,0,10226,0.0
4847329,310,2008-01-02,2,80,15,0,10224,0.0
4847330,310,2008-01-02,3,80,13,0,10222,0.0
4847331,310,2008-01-02,4,80,9,0,10219,0.0
4847332,310,2008-01-02,5,70,5,0,10218,0.0
4847333,310,2008-01-02,6,60,2,0,10218,0.0
4847334,310,2008-01-02,7,70,2,0,10215,0.0
4847335,310,2008-01-02,8,80,-2,0,10213,0.0
4847336,310,2008-01-02,9,80,-3,11,10210,0.0
4847337,310,2008-01-02,10,70,2,42,10208,0.0
4847338,310,2008-01-02,11,70,9,73,10199,0.0
4847339,310,2008-01-02,12,80,14,87,10186,0.0
4847340,310,2008-01-02,13,100,15,80,10179,776.7649892319001
4847341,310,2008-01-02,14,90,16,63,10171,325.2100801063283
4847342,310,2008-01-02,15,90,16,35,10166,38.21534389355048
4847343,310,2008-01-02,16,100,12,6,10160,-74.64786038971287
4847344,310,2008-01-02,17,110,12,0,10154,0.0
4847345,310,2008-01-02,18,90,8,0,10148,0.0
4847346,310,2008-01-02,19,80,6,0,10143,0.0
4847347,310,2008-01-02,20,90,4,0,10135,0.0
4847348,310,2008-01-02,21,120,1,0,10130,0.0
4847349,310,2008-01-02,22,100,-3,0,10126,0.0
4847350,310,2008-01-02,23,80,-2,0,10119,0.0
4847351,310,2008-01-02,24,90,-3,0,10110,0.0
4847352,310,2008-01-03,1,80,-3,0,10101,0.0
4847353,310,2008-01-03,2,80,-5,0,10093,0.0
4847354,310,2008-01-03,3,90,-3,0,10081,0.0
4847355,310,2008-01-03,4,100,-3,0,10074,0.0
4847356,310,2008-01-03,5,90,-1,0,10066,0.0
4847357,310,2008-01-03,6,90,3,0,10057,0.0
4847358,310,2008-01-03,7,90,7,0,10054,0.0
4847359,310,2008-01-03,8,90,9,0,10049,0.0
4847360,310,2008-01-03,9,110,12,4,10046,0.0
4847361,310,2008-01-03,10,110,10,8,10045,0.0
4847362,310,2008-01-03,11,90,13,31,10041,0.0
4847363,310,2008-01-03,12,100,14,22,10036,0.0
4847364,310,2008-01-03,13,100,4,20,10034,-13.18653439942256
4847365,310,2008-01-03,14,90,5,13,10034,-34.39775042485498
4847366,310,2008-01-03,15,90,7,9,10032,-50.12630126603337
4847367,310,2008-01-03,16,90,9,2,10035,-105.4646981032758
4847368,310,2008-01-03,17,80,13,0,10040,0.0
4847369,310,2008-01-03,18,90,12,0,10042,0.0
4847370,310,2008-01-03,19,70,14,0,10041,0.0
4847371,310,2008-01-03,20,70,13,0,10040,0.0
4847372,310,2008-01-03,21,70,17,0,10045,0.0
4847373,310,2008-01-03,22,60,16,0,10047,0.0
4847374,310,2008-01-03,23,70,21,0,10047,0.0
4847375,310,2008-01-03,24,70,21,0,10048,0.0
4847376,310,2008-01-04,1,80,22,0,10054,0.0
4847377,310,2008-01-04,2,80,22,0,10056,0.0
4847378,310,2008-01-04,3,80,22,0,10059,0.0
4847379,310,2008-01-04,4,80,27,0,10058,0.0
4847380,310,2008-01-04,5,80,27,0,10061,0.0
4847381,310,2008-01-04,6,70,34,0,10062,0.0
4847382,310,2008-01-04,7,70,33,0,10064,0.0
4847383,310,2008-01-04,8,70,35,0,10069,0.0
4847384,310,2008-01-04,9,60,41,3,10072,0.0
4847385,310,2008-01-04,10,70,50,14,10075,0.0
4847386,310,2008-01-04,11,70,52,16,10074,0.0
4847387,310,2008-01-04,12,60,56,27,10071,0.0
4847388,310,2008-01-04,13,60,60,32,10062,38.87226452315776
4847389,310,2008-01-04,14,60,62,28,10055,5.259259891836725
4847390,310,2008-01-04,15,80,61,17,10048,-22.94502231259718
4847391,310,2008-01-04,16,80,61,5,10050,-80.04195610440784
4847392,310,2008-01-04,17,80,56,0,10043,0.0
4847393,310,2008-01-04,18,80,55,0,10036,0.0
4847394,310,2008-01-04,19,80,66,0,10026,0.0
4847395,310,2008-01-04,20,100,67,0,10021,0.0
4847396,310,2008-01-04,21,110,65,0,10013,0.0
4847397,310,2008-01-04,22,110,67,0,10002,0.0
4847398,310,2008-01-04,23,110,77,0,9996,0.0
4847399,310,2008-01-04,24,120,74,0,9992,0.0
4847400,310,2008-01-05,1,120,75,0,9979,0.0
4847401,310,2008-01-05,2,130,78,0,9971,0.0
4847402,310,2008-01-05,3,140,81,0,9966,0.0
4847403,310,2008-01-05,4,120,78,0,9973,0.0
4847404,310,2008-01-05,5,100,77,0,9978,0.0
4847405,310,2008-01-05,6,100,72,0,9982,0.0
4847406,310,2008-01-05,7,90,69,0,9985,0.0
4847407,310,2008-01-05,8,90,68,0,9992,0.0
4847408,310,2008-01-05,9,100,68,4,9999,0.0
4847409,310,2008-01-05,10,110,69,8,10003,0.0
4847410,310,2008-01-05,11,100,69,18,10005,0.0
4847411,310,2008-01-05,12,100,70,50,10005,0.0
4847412,310,2008-01-05,13,110,72,53,10007,278.0403683768333
4847413,310,2008-01-05,14,110,74,51,10011,148.3468255103797
4847414,310,2008-01-05,15,100,72,25,10015,-2.306290575626111
4847415,310,2008-01-05,16,90,67,3,10021,-94.95885506412877
4847416,310,2008-01-05,17,100,66,0,10022,0.0
4847417,310,2008-01-05,18,100,62,0,10020,0.0
4847418,310,2008-01-05,19,100,55,0,10024,0.0
4847419,310,2008-01-05,20,80,51,0,10021,0.0
4847420,310,2008-01-05,21,70,50,0,10023,0.0
4847421,310,2008-01-05,22,40,49,0,10022,0.0
4847422,310,2008-01-05,23,30,50,0,10019,0.0
4847423,310,2008-01-05,24,40,46,0,10022,0.0
4847424,310,2008-01-06,1,50,51,0,10027,0.0
4847425,310,2008-01-06,2,50,55,0,10035,0.0
4847426,310,2008-01-06,3,50,58,0,10046,0.0
