,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
8035848,375,2000-01-01,1,30,45,0,10220,0.0
8035849,375,2000-01-01,2,30,46,0,10222,0.0
8035850,375,2000-01-01,3,30,46,0,10218,0.0
8035851,375,2000-01-01,4,40,48,0,10215,0.0
8035852,375,2000-01-01,5,40,50,0,10216,0.0
8035853,375,2000-01-01,6,40,51,0,10215,0.0
8035854,375,2000-01-01,7,40,53,0,10216,0.0
8035855,375,2000-01-01,8,40,55,0,10223,0.0
8035856,375,2000-01-01,9,40,59,1,10227,0.0
8035857,375,2000-01-01,10,40,62,5,10233,0.0
8035858,375,2000-01-01,11,30,66,12,10232,0.0
8035859,375,2000-01-01,12,30,74,20,10232,12.19719186041065
8035860,375,2000-01-01,13,30,78,14,10239,-33.61248294498579
8035861,375,2000-01-01,14,30,78,8,10243,-55.97984917731153
8035862,375,2000-01-01,15,20,78,9,10248,-52.97618044044835
8035863,375,2000-01-01,16,20,72,2,10255,-114.3354843970311
8035864,375,2000-01-01,17,20,53,0,10259,0.0
8035865,375,2000-01-01,18,20,29,0,10262,0.0
8035866,375,2000-01-01,19,20,24,0,10264,0.0
8035867,375,2000-01-01,20,20,22,0,10269,0.0
8035868,375,2000-01-01,21,20,17,0,10275,0.0
8035869,375,2000-01-01,22,20,45,0,10280,0.0
8035870,375,2000-01-01,23,20,56,0,10284,0.0
8035871,375,2000-01-01,24,20,59,0,10284,0.0
8035872,375,2000-01-02,1,20,56,0,10281,0.0
8035873,375,2000-01-02,2,20,55,0,10281,0.0
8035874,375,2000-01-02,3,10,57,0,10279,0.0
8035875,375,2000-01-02,4,20,44,0,10278,0.0
8035876,375,2000-01-02,5,20,50,0,10281,0.0
8035877,375,2000-01-02,6,40,55,0,10281,0.0
8035878,375,2000-01-02,7,40,53,0,10277,0.0
8035879,375,2000-01-02,8,40,54,0,10281,0.0
8035880,375,2000-01-02,9,30,56,2,10288,0.0
8035881,375,2000-01-02,10,40,60,14,10282,0.0
8035882,375,2000-01-02,11,40,67,23,10278,0.0
8035883,375,2000-01-02,12,40,72,20,10280,11.58359193114024
8035884,375,2000-01-02,13,40,78,22,10278,-7.774018774563725
8035885,375,2000-01-02,14,40,81,12,10273,-39.56582850222853
8035886,375,2000-01-02,15,40,81,8,10272,-57.76631830693687
8035887,375,2000-01-02,16,40,81,1,10273,-124.7380961941567
8035888,375,2000-01-02,17,40,80,0,10272,0.0
8035889,375,2000-01-02,18,40,80,0,10271,0.0
8035890,375,2000-01-02,19,40,83,0,10272,0.0
8035891,375,2000-01-02,20,40,82,0,10268,0.0
8035892,375,2000-01-02,21,50,81,0,10264,0.0
8035893,375,2000-01-02,22,50,78,0,10260,0.0
8035894,375,2000-01-02,23,50,80,0,10255,0.0
8035895,375,2000-01-02,24,50,79,0,10253,0.0
8035896,375,2000-01-03,1,50,77,0,10250,0.0
8035897,375,2000-01-03,2,50,73,0,10250,0.0
8035898,375,2000-01-03,3,50,71,0,10243,0.0
8035899,375,2000-01-03,4,60,73,0,10240,0.0
8035900,375,2000-01-03,5,60,75,0,10235,0.0
8035901,375,2000-01-03,6,60,76,0,10237,0.0
8035902,375,2000-01-03,7,60,75,0,10235,0.0
8035903,375,2000-01-03,8,70,77,0,10229,0.0
8035904,375,2000-01-03,9,70,80,7,10230,0.0
8035905,375,2000-01-03,10,70,83,7,10230,0.0
8035906,375,2000-01-03,11,70,87,23,10223,0.0
