,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
5922144,319,2007-01-01,1,100,104,0,10110,0.0
5922145,319,2007-01-01,2,90,96,0,10110,0.0
5922146,319,2007-01-01,3,80,97,0,10110,0.0
5922147,319,2007-01-01,4,90,102,0,10110,0.0
5922148,319,2007-01-01,5,90,89,0,10110,0.0
5922149,319,2007-01-01,6,80,94,0,10110,0.0
5922150,319,2007-01-01,7,80,89,0,10110,0.0
5922151,319,2007-01-01,8,70,82,0,10110,0.0
5922152,319,2007-01-01,9,90,79,5,10110,0.0
5922153,319,2007-01-01,10,80,73,7,10110,0.0
5922154,319,2007-01-01,11,70,85,21,10110,0.0
5922155,319,2007-01-01,12,110,87,40,10110,0.0
5922156,319,2007-01-01,13,100,88,64,10110,489.3639508409434
5922157,319,2007-01-01,14,100,88,52,10110,164.4809386253937
5922158,319,2007-01-01,15,80,81,26,10110,0.9138585138772953
5922159,319,2007-01-01,16,70,68,4,10110,-89.16796819031833
5922160,319,2007-01-01,17,50,69,0,10110,0.0
5922161,319,2007-01-01,18,60,71,0,10110,0.0
5922162,319,2007-01-01,19,60,67,0,10110,0.0
5922163,319,2007-01-01,20,60,68,0,10110,0.0
5922164,319,2007-01-01,21,60,67,0,10110,0.0
5922165,319,2007-01-01,22,60,69,0,10110,0.0
5922166,319,2007-01-01,23,70,60,0,10110,0.0
5922167,319,2007-01-01,24,70,51,0,10110,0.0
5922168,319,2007-01-02,1,60,55,0,10110,0.0
5922169,319,2007-01-02,2,80,64,0,10110,0.0
5922170,319,2007-01-02,3,80,64,0,10110,0.0
5922171,319,2007-01-02,4,80,61,0,10110,0.0
5922172,319,2007-01-02,5,70,59,0,10110,0.0
5922173,319,2007-01-02,6,60,57,0,10110,0.0
5922174,319,2007-01-02,7,60,50,0,10110,0.0
5922175,319,2007-01-02,8,70,50,0,10110,0.0
5922176,319,2007-01-02,9,70,54,6,10110,0.0
5922177,319,2007-01-02,10,70,66,29,10110,0.0
5922178,319,2007-01-02,11,90,57,16,10110,0.0
5922179,319,2007-01-02,12,70,68,22,10110,0.0
5922180,319,2007-01-02,13,80,78,40,10110,101.1069253436905
5922181,319,2007-01-02,14,80,79,27,10110,2.023611182941112
5922182,319,2007-01-02,15,70,80,7,10110,-59.9395703759722
5922183,319,2007-01-02,16,70,80,0,10110,0.0
5922184,319,2007-01-02,17,70,79,0,10110,0.0
5922185,319,2007-01-02,18,60,79,0,10110,0.0
5922186,319,2007-01-02,19,60,78,0,10110,0.0
5922187,319,2007-01-02,20,50,77,0,10110,0.0
5922188,319,2007-01-02,21,50,78,0,10110,0.0
5922189,319,2007-01-02,22,50,77,0,10110,0.0
5922190,319,2007-01-02,23,40,70,0,10110,0.0
5922191,319,2007-01-02,24,40,69,0,10110,0.0
5922192,319,2007-01-03,1,40,66,0,10110,0.0
5922193,319,2007-01-03,2,30,49,0,10110,0.0
5922194,319,2007-01-03,3,30,38,0,10110,0.0
5922195,319,2007-01-03,4,30,44,0,10110,0.0
5922196,319,2007-01-03,5,40,45,0,10110,0.0
5922197,319,2007-01-03,6,40,54,0,10110,0.0
5922198,319,2007-01-03,7,40,58,0,10110,0.0
5922199,319,2007-01-03,8,50,62,0,10110,0.0
5922200,319,2007-01-03,9,50,69,6,10110,0.0
5922201,319,2007-01-03,10,50,66,13,10110,0.0
5922202,319,2007-01-03,11,60,73,16,10110,0.0
5922203,319,2007-01-03,12,70,76,20,10110,0.0
5922204,319,2007-01-03,13,70,82,24,10110,-0.9190275262458768
5922205,319,2007-01-03,14,80,83,20,10110,-15.6205860622998
5922206,319,2007-01-03,15,80,88,10,10110,-46.11537448574619
5922207,319,2007-01-03,16,80,89,2,10110,-105.4009473056961
5922208,319,2007-01-03,17,90,88,0,10110,0.0
5922209,319,2007-01-03,18,90,89,0,10110,0.0
5922210,319,2007-01-03,19,90,90,0,10110,0.0
5922211,319,2007-01-03,20,90,91,0,10110,0.0
5922212,319,2007-01-03,21,90,88,0,10110,0.0
5922213,319,2007-01-03,22,90,91,0,10110,0.0
5922214,319,2007-01-03,23,90,89,0,10110,0.0
5922215,319,2007-01-03,24,100,89,0,10110,0.0
5922216,319,2007-01-04,1,100,90,0,10110,0.0
5922217,319,2007-01-04,2,90,93,0,10110,0.0
5922218,319,2007-01-04,3,100,98,0,10110,0.0
5922219,319,2007-01-04,4,110,101,0,10110,0.0
5922220,319,2007-01-04,5,100,99,0,10110,0.0
5922221,319,2007-01-04,6,80,94,0,10110,0.0
5922222,319,2007-01-04,7,70,101,0,10110,0.0
5922223,319,2007-01-04,8,80,100,0,10110,0.0
5922224,319,2007-01-04,9,80,98,7,10110,0.0
5922225,319,2007-01-04,10,70,97,13,10110,0.0
5922226,319,2007-01-04,11,80,101,38,10110,0.0
5922227,319,2007-01-04,12,90,100,25,10110,0.0
5922228,319,2007-01-04,13,90,99,20,10110,-14.08608168887721
5922229,319,2007-01-04,14,90,101,15,10110,-28.45286665697749
5922230,319,2007-01-04,15,90,101,9,10110,-50.1026701592452
5922231,319,2007-01-04,16,80,97,2,10110,-104.6409817529333
5922232,319,2007-01-04,17,80,101,0,10110,0.0
5922233,319,2007-01-04,18,80,100,0,10110,0.0
5922234,319,2007-01-04,19,90,98,0,10110,0.0
5922235,319,2007-01-04,20,80,98,0,10110,0.0
5922236,319,2007-01-04,21,80,96,0,10110,0.0
5922237,319,2007-01-04,22,70,95,0,10110,0.0
5922238,319,2007-01-04,23,60,92,0,10110,0.0
5922239,319,2007-01-04,24,70,92,0,10110,0.0
5922240,319,2007-01-05,1,60,89,0,10110,0.0
5922241,319,2007-01-05,2,50,89,0,10110,0.0
5922242,319,2007-01-05,3,60,86,0,10110,0.0
