,STN,YYYYMMDD,HH,FH,T,Q,P,DNI
6150048,323,2012-01-01,1,70,113,0,10096,0.0
6150049,323,2012-01-01,2,60,113,0,10094,0.0
6150050,323,2012-01-01,3,60,114,0,10092,0.0
6150051,323,2012-01-01,4,70,117,0,10091,0.0
6150052,323,2012-01-01,5,80,117,0,10087,0.0
6150053,323,2012-01-01,6,80,119,0,10088,0.0
6150054,323,2012-01-01,7,70,119,0,10093,0.0
6150055,323,2012-01-01,8,60,119,0,10101,0.0
6150056,323,2012-01-01,9,60,117,1,10100,0.0
6150057,323,2012-01-01,10,60,122,7,10097,0.0
6150058,323,2012-01-01,11,70,121,8,10092,0.0
6150059,323,2012-01-01,12,60,124,25,10084,0.0
6150060,323,2012-01-01,13,50,124,20,10076,-13.01626171528175
6150061,323,2012-01-01,14,50,123,16,10066,-25.75483403712077
6150062,323,2012-01-01,15,50,128,6,10057,-65.94311847884936
6150063,323,2012-01-01,16,70,130,1,10047,-118.1950798582629
6150064,323,2012-01-01,17,80,128,0,10036,0.0
6150065,323,2012-01-01,18,80,129,0,10022,0.0
6150066,323,2012-01-01,19,90,129,0,10014,0.0
6150067,323,2012-01-01,20,90,128,0,10009,0.0
6150068,323,2012-01-01,21,100,109,0,10013,0.0
6150069,323,2012-01-01,22,90,104,0,10014,0.0
6150070,323,2012-01-01,23,90,102,0,10024,0.0
6150071,323,2012-01-01,24,90,104,0,10032,0.0
6150072,323,2012-01-02,1,60,100,0,10033,0.0
6150073,323,2012-01-02,2,60,101,0,10039,0.0
6150074,323,2012-01-02,3,60,96,0,10043,0.0
6150075,323,2012-01-02,4,50,92,0,10044,0.0
6150076,323,2012-01-02,5,50,88,0,10040,0.0
6150077,323,2012-01-02,6,40,84,0,10049,0.0
6150078,323,2012-01-02,7,40,78,0,10053,0.0
6150079,323,2012-01-02,8,40,73,0,10062,0.0
6150080,323,2012-01-02,9,30,72,10,10072,0.0
6150081,323,2012-01-02,10,40,76,30,10078,0.0
6150082,323,2012-01-02,11,50,79,39,10081,0.0
6150083,323,2012-01-02,12,70,81,63,10083,0.0
6150084,323,2012-01-02,13,80,79,35,10088,63.34917427172208
6150085,323,2012-01-02,14,90,79,62,10099,313.3535066086589
6150086,323,2012-01-02,15,80,73,38,10110,58.18419709616882
6150087,323,2012-01-02,16,60,64,7,10120,-68.02826982830665
6150088,323,2012-01-02,17,40,58,0,10130,0.0
6150089,323,2012-01-02,18,40,58,0,10135,0.0
6150090,323,2012-01-02,19,50,52,0,10141,0.0
6150091,323,2012-01-02,20,60,53,0,10145,0.0
6150092,323,2012-01-02,21,60,52,0,10149,0.0
6150093,323,2012-01-02,22,60,52,0,10153,0.0
6150094,323,2012-01-02,23,70,51,0,10150,0.0
6150095,323,2012-01-02,24,70,53,0,10147,0.0
6150096,323,2012-01-03,1,80,52,0,10145,0.0
6150097,323,2012-01-03,2,70,57,0,10139,0.0
6150098,323,2012-01-03,3,70,58,0,10131,0.0
6150099,323,2012-01-03,4,80,56,0,10121,0.0
6150100,323,2012-01-03,5,90,62,0,10106,0.0
6150101,323,2012-01-03,6,90,66,0,10086,0.0
6150102,323,2012-01-03,7,110,71,0,10066,0.0
6150103,323,2012-01-03,8,120,80,0,10056,0.0
6150104,323,2012-01-03,9,130,84,1,10044,0.0
6150105,323,2012-01-03,10,130,95,6,10033,0.0
6150106,323,2012-01-03,11,130,92,21,10019,0.0
6150107,323,2012-01-03,12,130,94,19,10000,0.0
6150108,323,2012-01-03,13,120,98,11,9986,-43.71924461306672
6150109,323,2012-01-03,14,120,103,6,9975,-63.31461626458356
6150110,323,2012-01-03,15,120,74,2,9995,-90.18996110757699
6150111,323,2012-01-03,16,100,86,3,10013,-97.03571667799983
6150112,323,2012-01-03,17,110,91,0,10024,0.0
6150113,323,2012-01-03,18,120,89,0,10031,0.0
6150114,323,2012-01-03,19,130,87,0,10046,0.0
6150115,323,2012-01-03,20,130,74,0,10061,0.0
6150116,323,2012-01-03,21,100,71,0,10068,0.0
6150117,323,2012-01-03,22,100,69,0,10072,0.0
6150118,323,2012-01-03,23,100,68,0,10074,0.0
6150119,323,2012-01-03,24,100,67,0,10072,0.0
6150120,323,2012-01-04,1,100,70,0,10070,0.0
6150121,323,2012-01-04,2,120,75,0,10073,0.0
6150122,323,2012-01-04,3,140,74,0,10079,0.0
6150123,323,2012-01-04,4,140,67,0,10092,0.0
6150124,323,2012-01-04,5,130,67,0,10109,0.0
6150125,323,2012-01-04,6,120,68,0,10124,0.0
6150126,323,2012-01-04,7,120,65,0,10142,0.0
6150127,323,2012-01-04,8,100,63,0,10153,0.0
6150128,323,2012-01-04,9,90,65,8,10164,0.0
6150129,323,2012-01-04,10,100,71,43,10174,0.0
6150130,323,2012-01-04,11,100,77,63,10180,0.0
6150131,323,2012-01-04,12,100,77,57,10174,0.0
6150132,323,2012-01-04,13,100,74,44,10169,152.2918949976033
6150133,323,2012-01-04,14,100,76,33,10165,23.16434011234946
6150134,323,2012-01-04,15,100,75,17,10160,-23.54052063988018
6150135,323,2012-01-04,16,90,74,3,10150,-97.73909019738156
6150136,323,2012-01-04,17,80,77,0,10138,0.0
6150137,323,2012-01-04,18,80,77,0,10127,0.0
6150138,323,2012-01-04,19,90,80,0,10103,0.0
6150139,323,2012-01-04,20,110,84,0,10084,0.0
6150140,323,2012-01-04,21,120,82,0,10064,0.0
6150141,323,2012-01-04,22,130,84,0,10037,0.0
6150142,323,2012-01-04,23,150,89,0,10016,0.0
6150143,323,2012-01-04,24,150,94,0,9992,0.0
6150144,323,2012-01-05,1,160,95,0,9980,0.0
6150145,323,2012-01-05,2,160,95,0,9977,0.0
6150146,323,2012-01-05,3,150,96,0,9967,0.0
6150147,323,2012-01-05,4,140,97,0,9953,0.0
6150148,323,2012-01-05,5,140,98,0,9942,0.0
6150149,323,2012-01-05,6,160,97,0,9927,0.0
6150150,323,2012-01-05,7,160,101,0,9924,0.0
6150151,323,2012-01-05,8,150,100,0,9926,0.0
6150152,323,2012-01-05,9,140,97,4,9922,0.0
6150153,323,2012-01-05,10,150,92,16,9931,0.0
6150154,323,2012-01-05,11,150,89,70,9937,0.0
6150155,323,2012-01-05,12,150,88,73,9942,0.0
6150156,323,2012-01-05,13,160,85,61,9951,427.3042296331843
6150157,323,2012-01-05,14,150,80,13,9959,-33.79563159448465
6150158,323,2012-01-05,15,140,77,17,9974,-22.56301688905873
6150159,323,2012-01-05,16,150,77,3,9991,-95.47424920168166
6150160,323,2012-01-05,17,140,64,0,10012,0.0
6150161,323,2012-01-05,18,130,68,0,10033,0.0
6150162,323,2012-01-05,19,150,67,0,10049,0.0
6150163,323,2012-01-05,20,140,61,0,10065,0.0
6150164,323,2012-01-05,21,140,48,0,10076,0.0
6150165,323,2012-01-05,22,130,50,0,10083,0.0
6150166,323,2012-01-05,23,140,47,0,10093,0.0
6150167,323,2012-01-05,24,110,64,0,10101,0.0
6150168,323,2012-01-06,1,150,38,0,10114,0.0
6150169,323,2012-01-06,2,120,51,0,10128,0.0
6150170,323,2012-01-06,3,110,61,0,10137,0.0
6150171,323,2012-01-06,4,110,67,0,10149,0.0
6150172,323,2012-01-06,5,110,68,0,10162,0.0
6150173,323,2012-01-06,6,100,68,0,10171,0.0
6150174,323,2012-01-06,7,100,72,0,10182,0.0
6150175,323,2012-01-06,8,100,70,0,10197,0.0
6150176,323,2012-01-06,9,90,71,7,10212,0.0
6150177,323,2012-01-06,10,90,73,13,10220,0.0
6150178,323,2012-01-06,11,80,72,26,10225,0.0
6150179,323,2012-01-06,12,90,72,41,10228,0.0
6150180,323,2012-01-06,13,90,70,32,10232,36.94234354730816
6150181,323,2012-01-06,14,80,69,26,10236,-1.280564830137418
6150182,323,2012-01-06,15,60,64,24,10243,-5.754281463971719
6150183,323,2012-01-06,16,50,55,7,10240,-67.73443106311477
6150184,323,2012-01-06,17,40,44,0,10238,0.0
6150185,323,2012-01-06,18,40,38,0,10234,0.0
6150186,323,2012-01-06,19,40,42,0,10234,0.0
6150187,323,2012-01-06,20,50,47,0,10230,0.0
6150188,323,2012-01-06,21,50,50,0,10221,0.0
6150189,323,2012-01-06,22,50,49,0,10214,0.0
6150190,323,2012-01-06,23,50,51,0,10203,0.0
6150191,323,2012-01-06,24,60,56,0,10193,0.0
6150192,323,2012-01-07,1,60,64,0,10181,0.0
6150193,323,2012-01-07,2,70,70,0,10173,0.0
6150194,323,2012-01-07,3,70,79,0,10165,0.0
6150195,323,2012-01-07,4,90,83,0,10156,0.0
6150196,323,2012-01-07,5,90,84,0,10150,0.0
6150197,323,2012-01-07,6,100,91,0,10150,0.0
6150198,323,2012-01-07,7,100,94,0,10153,0.0
6150199,323,2012-01-07,8,90,96,0,10160,0.0
6150200,323,2012-01-07,9,80,86,9,10167,0.0
6150201,323,2012-01-07,10,80,91,44,10171,0.0
6150202,323,2012-01-07,11,90,91,72,10176,0.0
6150203,323,2012-01-07,12,100,91,87,10177,0.0
6150204,323,2012-01-07,13,110,91,84,10178,785.8111038880936
6150205,323,2012-01-07,14,100,88,65,10184,327.9296292517055
6150206,323,2012-01-07,15,100,83,33,10189,23.81086955975194
6150207,323,2012-01-07,16,90,81,7,10196,-67.02779056389421
6150208,323,2012-01-07,17,80,76,0,10201,0.0
6150209,323,2012-01-07,18,80,78,0,10205,0.0
6150210,323,2012-01-07,19,80,76,0,10207,0.0
6150211,323,2012-01-07,20,70,75,0,10210,0.0
6150212,323,2012-01-07,21,70,73,0,10211,0.0
6150213,323,2012-01-07,22,70,77,0,10208,0.0
6150214,323,2012-01-07,23,80,71,0,10208,0.0
6150215,323,2012-01-07,24,70,72,0,10206,0.0
6150216,323,2012-01-08,1,70,69,0,10205,0.0
6150217,323,2012-01-08,2,70,73,0,10206,0.0
6150218,323,2012-01-08,3,80,75,0,10205,0.0
6150219,323,2012-01-08,4,80,77,0,10204,0.0
6150220,323,2012-01-08,5,80,77,0,10205,0.0
6150221,323,2012-01-08,6,70,76,0,10211,0.0
6150222,323,2012-01-08,7,70,75,0,10215,0.0
6150223,323,2012-01-08,8,50,71,0,10223,0.0
6150224,323,2012-01-08,9,50,70,15,10227,0.0
6150225,323,2012-01-08,10,70,77,41,10235,0.0
6150226,323,2012-01-08,11,70,83,68,10236,0.0
6150227,323,2012-01-08,12,70,84,83,10240,0.0
6150228,323,2012-01-08,13,70,84,85,10239,786.2245453502703
6150229,323,2012-01-08,14,70,81,65,10243,320.4297296865883
6150230,323,2012-01-08,15,60,73,33,10248,22.66195817609365
6150231,323,2012-01-08,16,50,67,5,10257,-80.34864054788147
6150232,323,2012-01-08,17,40,58,0,10260,0.0
6150233,323,2012-01-08,18,30,49,0,10264,0.0
