,STN,LON,LAT,ALT,NAME,COMPLETE,BEGIN,END,Terrain
1,210,4.430,52.171,-0.20,VALKENBURG,True,1998,2016,0.15
5,235,4.781,52.928,1.20,DEKOOY,True,1998,2018,0.15
6,240,4.790,52.318,-3.30,SCHIPHOL,True,1998,2018,0.15
10,251,5.346,53.392,0.70,HOORNTERSCHELLING,True,1998,2018,0.15
13,260,5.180,52.100,1.90,DEBILT,True,1998,2018,0.19
14,265,5.274,52.130,13.90,SOESTERBERG,True,1998,2007,0.19
15,267,5.384,52.898,-1.30,STAVOREN,True,1998,2018,0.13
16,269,5.520,52.458,-3.70,LELYSTAD,True,1998,2018,0.15
17,270,5.752,53.224,1.20,LEEUWARDEN,True,1998,2018,0.15
18,273,5.888,52.703,-3.30,MARKNESSE,True,1998,2018,0.15
19,275,5.873,52.056,48.20,DEELEN,True,1998,2018,0.15
20,277,6.200,53.413,2.90,LAUWERSOOG,True,1998,2018,0.12
21,278,6.259,52.435,3.60,HEINO,True,1998,2018,0.19
22,279,6.574,52.750,15.80,HOOGEVEEN,True,1999,2018,0.14
23,280,6.585,53.125,5.20,EELDE,True,1998,2018,0.15
24,283,6.657,52.069,29.10,HUPSEL,True,1998,2018,0.17
26,286,7.150,53.196,-0.20,NIEUWBEERTA,True,1998,2018,0.14
27,290,6.891,52.274,34.80,TWENTHE,True,1998,2018,0.16
29,310,3.596,51.442,8.00,VLISSINGEN,True,1998,2018,0.14
35,319,3.861,51.226,1.70,WESTDORPE,True,1998,2018,0.15
36,323,3.884,51.527,1.40,WILHELMINADORP,True,1998,2018,0.14
38,330,4.122,51.992,11.90,HOEKVANHOLLAND,True,1998,2018,0.12
42,344,4.447,51.962,-4.30,ROTTERDAM,True,1998,2018,0.15
43,348,4.926,51.970,-0.70,CABAUW,True,1998,2018,0.14
44,350,4.936,51.566,14.90,GILZERIJEN,True,1998,2018,0.17
45,356,5.146,51.859,0.70,HERWIJNEN,True,1998,2018,0.15
46,370,5.377,51.451,22.60,EINDHOVEN,True,1998,2018,0.17
47,375,5.707,51.659,22.00,VOLKEL,True,1998,2018,0.17
48,377,5.763,51.198,30.00,ELL,True,1999,2018,0.15
49,380,5.762,50.906,114.30,MAASTRICHT,True,1998,2018,0.15
50,391,6.197,51.498,19.50,ARCEN,True,1999,2018,0.19
51,420,4.45,51.95,20,NEN,True,2018,2018,0.15
